date,commit,workload,metric,value,notes
2026-09-23,84b008ce,gl-replay-venus,fps,46.5956,trend b0-9c5b3e2: virglrs 9c5b3e2 + libkrun f393db7f; host mesa f3a220f279c; limina 84b008ce; run 1/3 
2026-09-23,84b008ce,gl-replay-llvmpipe,fps,722.581,trend b0-9c5b3e2: virglrs 9c5b3e2 + libkrun f393db7f; host mesa f3a220f279c; limina 84b008ce; run 1/3 
2026-09-23,84b008ce,vk-replay-venus-headless,fps,1802.146807,trend b0-9c5b3e2: virglrs 9c5b3e2 + libkrun f393db7f; host mesa f3a220f279c; limina 84b008ce; run 1/3 
2026-09-23,84b008ce,glmark2-wayland-venus,score,2500,trend b0-9c5b3e2: virglrs 9c5b3e2 + libkrun f393db7f; host mesa f3a220f279c; limina 84b008ce; run 1/3 
2026-09-23,84b008ce,gl-replay-venus,fps,46.3006,trend b0-9c5b3e2: virglrs 9c5b3e2 + libkrun f393db7f; host mesa f3a220f279c; limina 84b008ce; run 2/3 
2026-09-23,84b008ce,gl-replay-llvmpipe,fps,739.613,trend b0-9c5b3e2: virglrs 9c5b3e2 + libkrun f393db7f; host mesa f3a220f279c; limina 84b008ce; run 2/3 
2026-09-23,84b008ce,vk-replay-venus-headless,fps,1919.571545,trend b0-9c5b3e2: virglrs 9c5b3e2 + libkrun f393db7f; host mesa f3a220f279c; limina 84b008ce; run 2/3 
2026-09-23,84b008ce,glmark2-wayland-venus,score,2511,trend b0-9c5b3e2: virglrs 9c5b3e2 + libkrun f393db7f; host mesa f3a220f279c; limina 84b008ce; run 2/3 
2026-09-23,84b008ce,gl-replay-venus,fps,46.3979,trend b0-9c5b3e2: virglrs 9c5b3e2 + libkrun f393db7f; host mesa f3a220f279c; limina 84b008ce; run 3/3 
2026-09-23,84b008ce,gl-replay-llvmpipe,fps,737.539,trend b0-9c5b3e2: virglrs 9c5b3e2 + libkrun f393db7f; host mesa f3a220f279c; limina 84b008ce; run 3/3 
2026-09-23,84b008ce,vk-replay-venus-headless,fps,1913.509376,trend b0-9c5b3e2: virglrs 9c5b3e2 + libkrun f393db7f; host mesa f3a220f279c; limina 84b008ce; run 3/3 
2026-09-23,84b008ce,glmark2-wayland-venus,score,2495,trend b0-9c5b3e2: virglrs 9c5b3e2 + libkrun f393db7f; host mesa f3a220f279c; limina 84b008ce; run 3/3 
2026-09-23,84b008ce,vkmark-default-venus,score,2375,"trend b0-9c5b3e2: virglrs 9c5b3e2 + libkrun f393db7f; host mesa f3a220f279c; limina 84b008ce; run 1/3 "
2026-09-23,84b008ce,vkmark-default-venus,score,2373,"trend b0-9c5b3e2: virglrs 9c5b3e2 + libkrun f393db7f; host mesa f3a220f279c; limina 84b008ce; run 2/3 "
2026-09-23,84b008ce,vkmark-default-venus,score,2384,"trend b0-9c5b3e2: virglrs 9c5b3e2 + libkrun f393db7f; host mesa f3a220f279c; limina 84b008ce; run 3/3 "
2026-09-23,84b008ce,vkmark-under-aquarium25k-venus,score,978,"trend b0-9c5b3e2: virglrs 9c5b3e2 + libkrun f393db7f; host mesa f3a220f279c; limina 84b008ce; run 1/2  "
2026-09-23,84b008ce,vkmark-under-aquarium25k-venus,score,973,"trend b0-9c5b3e2: virglrs 9c5b3e2 + libkrun f393db7f; host mesa f3a220f279c; limina 84b008ce; run 2/2  "
2026-09-23,84b008ce,gl-replay-venus,fps,45.4546,trend n0-d57be22: virglrs d57be22 + libkrun 32cc3776; host mesa f3a220f279c; limina 84b008ce; run 1/3 
2026-09-23,84b008ce,gl-replay-llvmpipe,fps,719.247,trend n0-d57be22: virglrs d57be22 + libkrun 32cc3776; host mesa f3a220f279c; limina 84b008ce; run 1/3 
2026-09-23,84b008ce,vk-replay-venus-headless,fps,1795.923260,trend n0-d57be22: virglrs d57be22 + libkrun 32cc3776; host mesa f3a220f279c; limina 84b008ce; run 1/3 
2026-09-23,84b008ce,glmark2-wayland-venus,score,2501,trend n0-d57be22: virglrs d57be22 + libkrun 32cc3776; host mesa f3a220f279c; limina 84b008ce; run 1/3 
2026-09-23,84b008ce,gl-replay-venus,fps,46.2932,trend n0-d57be22: virglrs d57be22 + libkrun 32cc3776; host mesa f3a220f279c; limina 84b008ce; run 2/3 
2026-09-23,84b008ce,gl-replay-llvmpipe,fps,726.493,trend n0-d57be22: virglrs d57be22 + libkrun 32cc3776; host mesa f3a220f279c; limina 84b008ce; run 2/3 
2026-09-23,84b008ce,vk-replay-venus-headless,fps,1808.002893,trend n0-d57be22: virglrs d57be22 + libkrun 32cc3776; host mesa f3a220f279c; limina 84b008ce; run 2/3 
2026-09-23,84b008ce,glmark2-wayland-venus,score,2528,trend n0-d57be22: virglrs d57be22 + libkrun 32cc3776; host mesa f3a220f279c; limina 84b008ce; run 2/3 
2026-09-23,84b008ce,gl-replay-venus,fps,45.9192,trend n0-d57be22: virglrs d57be22 + libkrun 32cc3776; host mesa f3a220f279c; limina 84b008ce; run 3/3 
2026-09-23,84b008ce,gl-replay-llvmpipe,fps,729.588,trend n0-d57be22: virglrs d57be22 + libkrun 32cc3776; host mesa f3a220f279c; limina 84b008ce; run 3/3 
2026-09-23,84b008ce,vk-replay-venus-headless,fps,1863.916969,trend n0-d57be22: virglrs d57be22 + libkrun 32cc3776; host mesa f3a220f279c; limina 84b008ce; run 3/3 
2026-09-23,84b008ce,glmark2-wayland-venus,score,2509,trend n0-d57be22: virglrs d57be22 + libkrun 32cc3776; host mesa f3a220f279c; limina 84b008ce; run 3/3 
2026-09-23,84b008ce,vkmark-default-venus,score,2194,"trend n0-d57be22: virglrs d57be22 + libkrun 32cc3776; host mesa f3a220f279c; limina 84b008ce; run 1/3 "
