date,commit,workload,metric,value,notes
2026-06-12,05c3a28,gl-replay-venus,fps,49.7313,first ledger run (clone of dev-enh golden)
2026-06-12,05c3a28,gl-replay-llvmpipe,fps,829.298,first ledger run (clone of dev-enh golden)
2026-06-12,05c3a28,vk-replay-venus-headless,fps,1425.733963,first ledger run (clone of dev-enh golden)
2026-06-12,05c3a28,glmark2-wayland-venus,score,1968,first ledger run (clone of dev-enh golden)
2026-06-14,703943d,gl-replay-venus,fps,50.7274,post-rename: limina libkrun+KK rebuild (LIMINA_* envs)
2026-06-14,703943d,gl-replay-llvmpipe,fps,818.068,post-rename: limina libkrun+KK rebuild (LIMINA_* envs)
2026-06-14,703943d,vk-replay-venus-headless,fps,1423.409029,post-rename: limina libkrun+KK rebuild (LIMINA_* envs)
2026-06-14,703943d,glmark2-wayland-venus,score,1962,post-rename: limina libkrun+KK rebuild (LIMINA_* envs)
2026-06-25,284b758,glmark2-display-venus,score,2784,3-tier compare; enhanced 16k guest; zink->venus->KK->M1Max; on-display seated wayland; scenes build+shading+texture
2026-06-25,284b758,glmark2-display-software,score,454,3-tier compare; stock 4k guest --gpu-software-2d + LIBGL_ALWAYS_SOFTWARE; llvmpipe CPU; on-display seated wayland; same scenes
2026-06-25,284b758,glmark2-display-virgl,score,56,3-tier compare; stock 4k guest coexist; virgl->vrend->zink->KK->M1Max; on-display seated wayland; same scenes. NOTE slower than llvmpipe: copy/transfer overhead dominates this workload
2026-06-25,284b758,aquarium-virgl-5000,fps,37,stock 4k guest coexist; virgl->vrend->zink->KK->M1Max; firefox kiosk WebGL on-display; MOZ_DISABLE_GPU_SANDBOX=1
2026-06-25,284b758,aquarium-virgl-10000,fps,28,stock 4k guest coexist; virgl WebGL on-display
2026-06-25,284b758,aquarium-virgl-15000,fps,22,stock 4k guest coexist; virgl WebGL on-display
2026-06-25,284b758,aquarium-software-5000,fps,17,stock 4k guest --gpu-software-2d + LIBGL_ALWAYS_SOFTWARE; llvmpipe CPU; firefox kiosk WebGL on-display
2026-06-25,7727724,aquarium-venus-5000,fps,60,enhanced 16k guest (RPM image); zink->venus->KK->M1Max; firefox kiosk WebGL on-display; vsync-capped
2026-06-25,7727724,aquarium-venus-10000,fps,57,enhanced 16k guest; venus WebGL on-display
2026-06-25,7727724,aquarium-venus-15000,fps,45,enhanced 16k guest; venus WebGL on-display
2026-06-25,6183e74,gl-replay-venus,fps,57.6349,RPM-enhanced image (mesa 26.2.0-1.limina /usr); apitrace eglretrace glmark2-build.trace headless; NEW baseline on shipped product image (was dev-enh /opt/mesa-zink)
2026-06-25,6183e74,gl-replay-llvmpipe,fps,537.271,RPM-enhanced image; llvmpipe CPU control (MESA_LOADER_DRIVER_OVERRIDE unset to escape global zink env); NEW baseline on RPM image
2026-06-25,6183e74,glmark2-wayland-venus,score,1306,RPM-enhanced image; glmark2-es2-wayland -b build:duration=3 --size 512x512 on venus; NEW baseline on RPM image
2026-06-25,4792178,vk-replay-venus-headless,fps,1601.063106,RPM-enhanced image; gfxrecon-replay vkcube.gfxr --wsi headless on venus; gfxreconstruct built in-guest; NEW baseline (was dev-enh /opt 1425)
