date,commit,workload,metric,value,notes
2026-09-25,87d241c4,gl-replay-venus,fps,46.3147,trend b0-b900066: virglrs b900066 + libkrun 32cc3776; host mesa f3a220f279c; limina 87d241c4; run 1/3 
2026-09-25,87d241c4,gl-replay-llvmpipe,fps,724.1,trend b0-b900066: virglrs b900066 + libkrun 32cc3776; host mesa f3a220f279c; limina 87d241c4; run 1/3 
2026-09-25,87d241c4,vk-replay-venus-headless,fps,1638.470743,trend b0-b900066: virglrs b900066 + libkrun 32cc3776; host mesa f3a220f279c; limina 87d241c4; run 1/3 
2026-09-25,87d241c4,glmark2-wayland-venus,score,2411,trend b0-b900066: virglrs b900066 + libkrun 32cc3776; host mesa f3a220f279c; limina 87d241c4; run 1/3 
2026-09-25,87d241c4,gl-replay-venus,fps,46.1768,trend b0-b900066: virglrs b900066 + libkrun 32cc3776; host mesa f3a220f279c; limina 87d241c4; run 2/3 
2026-09-25,87d241c4,gl-replay-llvmpipe,fps,705.98,trend b0-b900066: virglrs b900066 + libkrun 32cc3776; host mesa f3a220f279c; limina 87d241c4; run 2/3 
2026-09-25,87d241c4,vk-replay-venus-headless,fps,1410.502310,trend b0-b900066: virglrs b900066 + libkrun 32cc3776; host mesa f3a220f279c; limina 87d241c4; run 2/3 
2026-09-25,87d241c4,glmark2-wayland-venus,score,2420,trend b0-b900066: virglrs b900066 + libkrun 32cc3776; host mesa f3a220f279c; limina 87d241c4; run 2/3 
2026-09-25,87d241c4,gl-replay-venus,fps,45.462,trend b0-b900066: virglrs b900066 + libkrun 32cc3776; host mesa f3a220f279c; limina 87d241c4; run 3/3 
2026-09-25,87d241c4,gl-replay-llvmpipe,fps,704.03,trend b0-b900066: virglrs b900066 + libkrun 32cc3776; host mesa f3a220f279c; limina 87d241c4; run 3/3 
2026-09-25,87d241c4,vk-replay-venus-headless,fps,1614.542181,trend b0-b900066: virglrs b900066 + libkrun 32cc3776; host mesa f3a220f279c; limina 87d241c4; run 3/3 
2026-09-25,87d241c4,glmark2-wayland-venus,score,2424,trend b0-b900066: virglrs b900066 + libkrun 32cc3776; host mesa f3a220f279c; limina 87d241c4; run 3/3 
2026-09-25,87d241c4,vkmark-default-venus,score,2281,"trend b0-b900066: virglrs b900066 + libkrun 32cc3776; host mesa f3a220f279c; limina 87d241c4; run 1/3 "
2026-09-25,87d241c4,vkmark-default-venus,score,2288,"trend b0-b900066: virglrs b900066 + libkrun 32cc3776; host mesa f3a220f279c; limina 87d241c4; run 2/3 "
2026-09-25,87d241c4,vkmark-default-venus,score,2298,"trend b0-b900066: virglrs b900066 + libkrun 32cc3776; host mesa f3a220f279c; limina 87d241c4; run 3/3 "
2026-09-25,87d241c4,vkmark-under-aquarium25k-venus,score,1161,"trend b0-b900066: virglrs b900066 + libkrun 32cc3776; host mesa f3a220f279c; limina 87d241c4; run 1/2  "
2026-09-25,87d241c4,vkmark-under-aquarium25k-venus,score,1158,"trend b0-b900066: virglrs b900066 + libkrun 32cc3776; host mesa f3a220f279c; limina 87d241c4; run 2/2  "
2026-09-25,87d241c4,gl-replay-venus,fps,45.6956,trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; run 1/3 
2026-09-25,87d241c4,gl-replay-llvmpipe,fps,720.029,trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; run 1/3 
2026-09-25,87d241c4,vk-replay-venus-headless,fps,1760.008203,trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; run 1/3 
2026-09-25,87d241c4,glmark2-wayland-venus,score,2425,trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; run 1/3 
2026-09-25,87d241c4,gl-replay-venus,fps,46.0261,trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; run 2/3 
2026-09-25,87d241c4,gl-replay-llvmpipe,fps,727.429,trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; run 2/3 
2026-09-25,87d241c4,vk-replay-venus-headless,fps,1628.817031,trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; run 2/3 
2026-09-25,87d241c4,glmark2-wayland-venus,score,2416,trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; run 2/3 
2026-09-25,87d241c4,gl-replay-venus,fps,46.0428,trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; run 3/3 
2026-09-25,87d241c4,gl-replay-llvmpipe,fps,726.734,trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; run 3/3 
2026-09-25,87d241c4,vk-replay-venus-headless,fps,1622.919966,trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; run 3/3 
2026-09-25,87d241c4,glmark2-wayland-venus,score,2421,trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; run 3/3 
2026-09-25,87d241c4,vkmark-default-venus,score,2294,"trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; run 1/3 "
2026-09-25,87d241c4,vkmark-default-venus,score,2280,"trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; run 2/3 "
2026-09-25,87d241c4,vkmark-default-venus,score,2303,"trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; run 3/3 "
2026-09-25,87d241c4,vkmark-under-aquarium25k-venus,score,775,"trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; run 1/2  "
2026-09-25,87d241c4,vkmark-under-aquarium25k-venus,score,799,"trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; run 2/2  "
2026-09-25,87d241c4,basemark-webgl102-vrend,score,3540.41,"trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; stock guest; second suite run scored "
2026-09-25,87d241c4,basemark-webgl20-vrend,score,3884.21,"trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; stock guest; second suite run scored "
2026-09-25,87d241c4,basemark-shader-pipeline-vrend,score,1494.02,"trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; stock guest; second suite run scored "
2026-09-25,87d241c4,basemark-drawcall-stress-vrend,score,77.58,"trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; stock guest; second suite run scored "
2026-09-25,87d241c4,basemark-geometry-stress-vrend,score,1729.94,"trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; stock guest; second suite run scored "
2026-09-25,87d241c4,basemark-canvas-vrend,score,1136.78,"trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; stock guest; second suite run scored "
2026-09-25,87d241c4,basemark-svg-vrend,score,993.44,"trend n0-828a05b: virglrs 828a05b + libkrun 26450d76; host mesa f3a220f279c; limina 87d241c4; stock guest; second suite run scored "
2026-09-25,87d241c4,gl-replay-venus,fps,46.0041,trend b1-b900066: virglrs b900066 + libkrun 32cc3776; host mesa f3a220f279c; limina 87d241c4; run 1/3 
