date,commit,workload,metric,value,notes
2026-09-16,1d955098,gl-replay-venus,fps,56.6917,trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; run 1/3 
2026-09-16,1d955098,gl-replay-llvmpipe,fps,730.335,trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; run 1/3 
2026-09-16,1d955098,vk-replay-venus-headless,fps,2129.793151,trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; run 1/3 
2026-09-16,1d955098,glmark2-wayland-venus,score,3057,trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; run 1/3 
2026-09-16,1d955098,gl-replay-venus,fps,56.7545,trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; run 2/3 
2026-09-16,1d955098,gl-replay-llvmpipe,fps,727.646,trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; run 2/3 
2026-09-16,1d955098,vk-replay-venus-headless,fps,2242.414316,trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; run 2/3 
2026-09-16,1d955098,glmark2-wayland-venus,score,3078,trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; run 2/3 
2026-09-16,1d955098,gl-replay-venus,fps,56.7284,trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; run 3/3 
2026-09-16,1d955098,gl-replay-llvmpipe,fps,739.612,trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; run 3/3 
2026-09-16,1d955098,vk-replay-venus-headless,fps,2268.393481,trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; run 3/3 
2026-09-16,1d955098,glmark2-wayland-venus,score,3159,trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; run 3/3 
2026-09-16,1d955098,vkmark-default-venus,score,4161,"trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; run 1/3 "
2026-09-16,1d955098,vkmark-default-venus,score,4249,"trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; run 2/3 "
2026-09-16,1d955098,vkmark-default-venus,score,4160,"trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; run 3/3 "
2026-09-16,1d955098,vkmark-under-aquarium25k-venus,score,1309,"trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; run 1/2 "
2026-09-16,1d955098,vkmark-under-aquarium25k-venus,score,1295,"trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; run 2/2 "
2026-09-16,1d955098,basemark-webgl102-vrend,score,3626.41,"trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; stock guest; second suite run scored "
2026-09-16,1d955098,basemark-webgl20-vrend,score,4516.40,"trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; stock guest; second suite run scored "
2026-09-16,1d955098,basemark-shader-pipeline-vrend,score,1759.73,"trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; stock guest; second suite run scored "
2026-09-16,1d955098,basemark-drawcall-stress-vrend,score,79.86,"trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; stock guest; second suite run scored "
2026-09-16,1d955098,basemark-geometry-stress-vrend,score,1724.30,"trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; stock guest; second suite run scored "
2026-09-16,1d955098,basemark-canvas-vrend,score,1167.01,"trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; stock guest; second suite run scored "
2026-09-16,1d955098,basemark-svg-vrend,score,995.65,"trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; stock guest; second suite run scored "
2026-09-16,1d955098,aquarium-25k-vrend,fps,48,"trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; run 1/2; read off the fps crop"
2026-09-16,1d955098,aquarium-30k-vrend,fps,38,"trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; run 1/2; read off the fps crop"
2026-09-16,1d955098,aquarium-25k-vrend,fps,51,"trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; run 2/2; read off the fps crop"
2026-09-16,1d955098,aquarium-30k-vrend,fps,39,"trend b0-deb095b: virglrs deb095b + libkrun debc082c; host mesa bb3994fc6db; limina 1d955098; run 2/2; read off the fps crop"
2026-09-16,1d955098,gl-replay-venus,fps,56.7119,trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; run 1/3 
2026-09-16,1d955098,gl-replay-llvmpipe,fps,732.007,trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; run 1/3 
2026-09-16,1d955098,vk-replay-venus-headless,fps,2087.696292,trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; run 1/3 
2026-09-16,1d955098,glmark2-wayland-venus,score,3125,trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; run 1/3 
2026-09-16,1d955098,gl-replay-venus,fps,56.7171,trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; run 2/3 
2026-09-16,1d955098,gl-replay-llvmpipe,fps,736.508,trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; run 2/3 
2026-09-16,1d955098,vk-replay-venus-headless,fps,2006.585795,trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; run 2/3 
2026-09-16,1d955098,glmark2-wayland-venus,score,3152,trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; run 2/3 
2026-09-16,1d955098,gl-replay-venus,fps,56.6816,trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; run 3/3 
2026-09-16,1d955098,gl-replay-llvmpipe,fps,730.599,trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; run 3/3 
2026-09-16,1d955098,vk-replay-venus-headless,fps,2216.797227,trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; run 3/3 
2026-09-16,1d955098,glmark2-wayland-venus,score,3142,trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; run 3/3 
2026-09-16,1d955098,vkmark-default-venus,score,4195,"trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; run 1/3 "
2026-09-16,1d955098,vkmark-default-venus,score,4245,"trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; run 2/3 "
2026-09-16,1d955098,vkmark-default-venus,score,4195,"trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; run 3/3 "
2026-09-16,1d955098,vkmark-under-aquarium25k-venus,score,1635,"trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; run 1/2 load UNPROVEN: the proof capture read empty"
2026-09-16,1d955098,vkmark-under-aquarium25k-venus,score,1638,"trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; run 2/2 load UNPROVEN: the proof capture read empty"
2026-09-16,1d955098,basemark-webgl102-vrend,score,3493.74,"trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; stock guest; second suite run scored "
2026-09-16,1d955098,basemark-webgl20-vrend,score,4284.56,"trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; stock guest; second suite run scored "
2026-09-16,1d955098,basemark-shader-pipeline-vrend,score,1579.52,"trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; stock guest; second suite run scored "
2026-09-16,1d955098,basemark-drawcall-stress-vrend,score,80.03,"trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; stock guest; second suite run scored "
2026-09-16,1d955098,basemark-geometry-stress-vrend,score,1729.10,"trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; stock guest; second suite run scored "
2026-09-16,1d955098,basemark-canvas-vrend,score,1179.28,"trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; stock guest; second suite run scored "
2026-09-16,1d955098,basemark-svg-vrend,score,1002.07,"trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; stock guest; second suite run scored "
2026-09-16,1d955098,aquarium-25k-vrend,fps,45,"trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; run 1/2; read off the fps crop"
2026-09-16,1d955098,aquarium-30k-vrend,fps,43,"trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; run 1/2; read off the fps crop"
2026-09-16,1d955098,aquarium-25k-vrend,fps,45,"trend l0-f0fdc66: virglrs f0fdc66 + libkrun debc082c patched with libkrun-debc082c-surface-rename.patch; host mesa bb3994fc6db; limina 1d955098; run 2/2; read off the fps crop"
