date,commit,workload,metric,value,notes
2026-09-17,9125bdd3,gl-replay-venus,fps,56.8086,trend b0-d833259: virglrs d833259 + libkrun 3fa4cd9b; host mesa bb3994fc6db; limina 9125bdd3; run 1/3 
2026-09-17,9125bdd3,gl-replay-llvmpipe,fps,728.558,trend b0-d833259: virglrs d833259 + libkrun 3fa4cd9b; host mesa bb3994fc6db; limina 9125bdd3; run 1/3 
2026-09-17,9125bdd3,vk-replay-venus-headless,fps,2258.701277,trend b0-d833259: virglrs d833259 + libkrun 3fa4cd9b; host mesa bb3994fc6db; limina 9125bdd3; run 1/3 
2026-09-17,9125bdd3,glmark2-wayland-venus,score,3108,trend b0-d833259: virglrs d833259 + libkrun 3fa4cd9b; host mesa bb3994fc6db; limina 9125bdd3; run 1/3 
2026-09-17,9125bdd3,gl-replay-venus,fps,56.8038,trend b0-d833259: virglrs d833259 + libkrun 3fa4cd9b; host mesa bb3994fc6db; limina 9125bdd3; run 2/3 
2026-09-17,9125bdd3,gl-replay-llvmpipe,fps,727.98,trend b0-d833259: virglrs d833259 + libkrun 3fa4cd9b; host mesa bb3994fc6db; limina 9125bdd3; run 2/3 
2026-09-17,9125bdd3,vk-replay-venus-headless,fps,2220.972925,trend b0-d833259: virglrs d833259 + libkrun 3fa4cd9b; host mesa bb3994fc6db; limina 9125bdd3; run 2/3 
2026-09-17,9125bdd3,glmark2-wayland-venus,score,3138,trend b0-d833259: virglrs d833259 + libkrun 3fa4cd9b; host mesa bb3994fc6db; limina 9125bdd3; run 2/3 
2026-09-17,9125bdd3,gl-replay-venus,fps,56.7792,trend b0-d833259: virglrs d833259 + libkrun 3fa4cd9b; host mesa bb3994fc6db; limina 9125bdd3; run 3/3 
2026-09-17,9125bdd3,gl-replay-llvmpipe,fps,728.59,trend b0-d833259: virglrs d833259 + libkrun 3fa4cd9b; host mesa bb3994fc6db; limina 9125bdd3; run 3/3 
2026-09-17,9125bdd3,vk-replay-venus-headless,fps,2254.709886,trend b0-d833259: virglrs d833259 + libkrun 3fa4cd9b; host mesa bb3994fc6db; limina 9125bdd3; run 3/3 
2026-09-17,9125bdd3,glmark2-wayland-venus,score,3135,trend b0-d833259: virglrs d833259 + libkrun 3fa4cd9b; host mesa bb3994fc6db; limina 9125bdd3; run 3/3 
2026-09-17,9125bdd3,vkmark-default-venus,score,4045,"trend b0-d833259: virglrs d833259 + libkrun 3fa4cd9b; host mesa bb3994fc6db; limina 9125bdd3; run 1/3 "
2026-09-17,9125bdd3,vkmark-default-venus,score,4104,"trend b0-d833259: virglrs d833259 + libkrun 3fa4cd9b; host mesa bb3994fc6db; limina 9125bdd3; run 2/3 "
2026-09-17,9125bdd3,vkmark-default-venus,score,4183,"trend b0-d833259: virglrs d833259 + libkrun 3fa4cd9b; host mesa bb3994fc6db; limina 9125bdd3; run 3/3 "
2026-09-17,9125bdd3,vkmark-under-aquarium25k-venus,score,1514,"trend b0-d833259: virglrs d833259 + libkrun 3fa4cd9b; host mesa bb3994fc6db; limina 9125bdd3; run 1/2  "
2026-09-17,9125bdd3,vkmark-under-aquarium25k-venus,score,1526,"trend b0-d833259: virglrs d833259 + libkrun 3fa4cd9b; host mesa bb3994fc6db; limina 9125bdd3; run 2/2  "
2026-09-17,9125bdd3,basemark-webgl102-vrend,score,3286.82,"trend b0-d833259: virglrs d833259 + libkrun 3fa4cd9b; host mesa bb3994fc6db; limina 9125bdd3; stock guest; second suite run scored "
2026-09-17,9125bdd3,basemark-webgl20-vrend,score,3885.63,"trend b0-d833259: virglrs d833259 + libkrun 3fa4cd9b; host mesa bb3994fc6db; limina 9125bdd3; stock guest; second suite run scored "
