ts,ic_bal_g,ic_cred_g,ic_deb_g,int_bal_g,reus_bal_g,pf_g,comp_sys_pages,swap_used_mb
1786455625,,,,1.653,0.110,1.655,217673,free
1786455635,,,,2.934,0.142,2.937,217669,free
1786455645,,,,4.095,0.272,4.099,217665,free
1786455655,,,,4.022,0.384,4.026,217665,free
1786455665,,,,3.978,0.437,3.982,217665,free
1786455675,,,,4.018,0.518,4.022,217662,free
1786455686,,,,4.023,0.526,4.028,217659,free
1786455696,,,,4.021,0.551,4.026,217659,free
1786455706,,,,4.204,0.587,4.209,217656,free
1786455716,,,,4.314,0.693,4.319,217656,free
1786455726,,,,4.296,0.714,4.301,217655,free
1786455736,,,,4.299,0.720,4.304,217654,free
1786455747,,,,4.617,0.732,4.622,217644,free
1786455757,,,,4.563,0.834,4.568,217643,free
1786455767,,,,4.566,0.859,4.572,217642,free
1786455777,,,,4.573,0.865,4.578,217642,free
1786455787,,,,4.567,0.877,4.572,217641,free
1786455797,,,,4.606,0.877,4.612,217640,free
1786455808,,,,4.638,0.883,4.644,217640,free
1786455818,,,,4.651,0.885,4.657,217639,free
1786455828,,,,4.913,0.908,4.919,217637,free
1786455838,,,,4.891,0.947,4.897,217637,free
1786455848,,,,5.267,0.969,5.273,217637,free
1786455858,,,,5.503,1.885,5.510,217630,free
1786455868,,,,5.952,2.464,5.959,217628,free
1786455879,,,,6.725,2.523,6.732,217627,free
1786455889,,,,6.826,2.936,6.833,217627,free
1786455899,,,,7.095,3.093,7.103,217627,free
1786455909,,,,7.042,3.148,7.049,217626,free
1786455919,,,,7.069,3.216,7.077,217625,free
1786455930,,,,8.107,3.369,8.116,217612,free
1786455940,,,,8.049,3.579,8.058,217612,free
1786455950,,,,8.181,3.668,8.190,217611,free
1786455960,,,,8.227,3.785,8.237,217610,free
1786455970,,,,9.058,3.846,9.068,217610,free
1786455980,,,,9.315,4.845,9.326,217610,free
1786455990,,,,9.265,4.895,9.276,217610,free
1786456001,,,,9.240,4.921,9.251,217609,free
1786456011,,,,10.350,4.975,10.361,217609,free
1786456021,,,,10.515,5.159,10.527,217609,free
1786456031,,,,10.553,5.194,10.565,217609,free
1786456041,,,,10.447,5.317,10.458,217608,free
1786456051,,,,10.051,6.024,10.063,217607,free
1786456061,,,,10.052,6.024,10.065,217604,free
1786456071,,,,9.924,6.187,9.936,217604,free
1786456082,,,,9.970,6.298,9.982,217603,free
1786456092,,,,9.950,6.317,9.962,217601,free
1786456102,,,,9.941,6.327,9.953,217601,free
1786456112,,,,10.004,6.332,10.016,217601,free
1786456122,,,,9.693,6.673,9.705,217601,free
1786456133,,,,9.572,6.795,9.584,217601,free
1786456143,,,,9.573,6.795,9.585,217601,free
1786456153,,,,9.685,6.829,9.697,217599,free
1786456163,,,,9.685,6.829,9.697,217599,free
1786456173,,,,9.685,6.829,9.697,217592,free
1786456183,,,,9.685,6.829,9.697,217592,free
1786456194,,,,9.685,6.829,9.697,217592,free
