ts,ic_bal_g,ic_cred_g,ic_deb_g,int_bal_g,reus_bal_g,pf_g,comp_sys_pages,swap_used_mb
1786455077,,,,3.903,0.030,3.906,218728,free
1786455087,,,,4.036,0.030,4.039,218719,free
1786455097,,,,4.201,0.030,4.204,218671,free
1786455107,,,,4.209,0.030,4.213,218644,free
1786455117,,,,4.256,0.030,4.261,218643,free
1786455128,,,,4.271,0.030,4.276,218642,free
1786455138,,,,4.311,0.030,4.316,218642,free
1786455148,,,,4.506,0.030,4.510,218642,free
1786455158,,,,4.504,0.030,4.509,218641,free
1786455168,,,,4.555,0.030,4.559,218641,free
1786455178,,,,4.555,0.030,4.560,218641,free
1786455189,,,,4.565,0.030,4.570,218640,free
1786455199,,,,4.552,0.030,4.557,218640,free
1786455209,,,,4.567,0.030,4.571,218640,free
1786455219,,,,4.651,0.030,4.656,218640,free
1786455229,,,,4.631,0.030,4.636,218636,free
1786455239,,,,4.659,0.030,4.664,218613,free
1786455250,,,,4.643,0.030,4.648,218613,free
1786455260,,,,4.914,0.030,4.919,218613,free
1786455270,,,,4.919,0.030,4.924,218611,free
1786455280,,,,4.877,0.030,4.882,218610,free
1786455290,,,,5.417,0.030,5.422,218609,free
1786455300,,,,5.156,0.030,5.162,218609,free
1786455310,,,,6.798,0.030,6.804,218607,free
1786455321,,,,7.202,0.030,7.208,218606,free
1786455331,,,,7.203,0.030,7.210,218604,free
1786455341,,,,7.469,0.030,7.475,218595,free
1786455351,,,,7.524,0.030,7.531,218595,free
1786455361,,,,8.109,0.026,8.117,218594,free
1786455372,,,,9.135,0.000,9.143,218593,free
1786455382,,,,11.092,0.000,11.101,218592,free
1786455392,,,,11.108,0.024,11.118,218592,free
1786455402,,,,11.388,0.021,11.397,218592,free
1786455412,,,,13.632,0.010,13.643,218591,free
1786455422,,,,13.043,0.013,13.054,218591,free
1786455432,,,,13.061,0.007,13.071,218030,free
1786455443,,,,13.793,0.002,13.804,218029,free
1786455453,,,,15.290,0.000,15.301,218028,free
1786455463,,,,15.448,0.000,15.460,217723,free
1786455473,,,,15.572,0.001,15.584,217723,free
1786455483,,,,15.405,0.015,15.417,217721,free
1786455493,,,,15.909,0.000,15.921,217720,free
1786455503,,,,15.294,0.046,15.306,217720,free
1786455513,,,,15.219,0.036,15.231,217719,free
1786455524,,,,15.292,0.053,15.304,217718,free
1786455534,,,,15.236,0.062,15.248,217714,free
1786455544,,,,15.258,0.067,15.270,217712,free
1786455554,,,,16.297,0.000,16.309,217712,free
1786455564,,,,14.105,0.213,14.117,217711,free
1786455574,,,,14.090,0.212,14.102,217708,free
1786455585,,,,14.115,0.213,14.127,217695,free
