ts_ms,mem_total_kib,mem_free_kib,mem_available_kib,cached_kib,swap_free_kib,mem_some_avg10,mem_some_total_us,mem_full_avg10,mem_full_total_us,io_some_avg10,io_some_total_us,io_full_avg10,io_full_total_us,pgmajfault,pswpin,pswpout
1786366432261,6036756,5291912,5503596,339288,6036476,0,30,0,6,141,614704,98,497339,285,0,0
1786366432512,6036756,5213848,5487300,400716,6036476,0,30,0,6,141,643909,98,525022,302,0,0
1786366432763,5595412,4819864,5053156,358816,6036476,0,30,0,6,297,656690,243,537319,303,0,0
1786366433017,5129492,4352132,4587324,358896,6036476,0,30,0,6,297,664333,243,544913,303,0,0
1786366433269,4621588,3844100,4081344,358968,6036476,0,30,0,6,297,664376,243,544954,303,0,0
1786366433526,4198676,3424772,3663668,358968,6036476,0,30,0,6,297,664376,243,544954,303,0,0
1786366433778,3724552,2941184,3181308,358968,6036476,0,30,0,6,297,664376,243,544954,303,0,0
1786366434028,3246356,2457344,2697468,358968,6036476,0,30,0,6,297,664376,243,544954,303,0,0
1786366434289,2891028,2102276,2342404,358972,6036476,0,30,0,6,297,664376,243,544954,303,0,0
1786366434549,2891028,2102276,2342404,358972,6036476,0,30,0,6,297,664376,243,544954,303,0,0
1786366434802,2891028,2102276,2342404,358972,6036476,0,30,0,6,243,664376,199,544954,303,0,0
1786366435057,2891028,2102276,2342404,358972,6036476,0,30,0,6,243,664376,199,544954,303,0,0
1786366435310,2891028,2101772,2341900,358972,6036476,0,30,0,6,243,664376,199,544954,303,0,0
1786366435569,2891028,2093972,2334100,358972,6036476,0,30,0,6,243,664376,199,544954,303,0,0
1786366435831,2891028,2093972,2334100,358972,6036476,0,30,0,6,243,664376,199,544954,303,0,0
1786366436082,2891028,2100088,2340092,358972,6036476,0,30,0,6,243,664376,199,544954,303,0,0
1786366436340,2891028,2100332,2340336,358972,6036476,0,30,0,6,243,664376,199,544954,303,0,0
1786366436593,2891028,2100332,2340336,358972,6036476,0,30,0,6,243,664376,199,544954,303,0,0
1786366436854,2891028,2100332,2340336,358972,6036476,0,30,0,6,199,664376,163,544954,303,0,0
1786366437114,2891028,2100332,2340336,358972,6036476,0,30,0,6,199,664376,163,544954,303,0,0
1786366437370,2891028,2100332,2340336,358972,6036476,0,30,0,6,199,664376,163,544954,303,0,0
1786366437629,2891028,2100332,2340336,358972,6036476,0,30,0,6,199,664376,163,544954,303,0,0
1786366437883,2891028,2100332,2340336,358972,6036476,0,30,0,6,199,664376,163,544954,303,0,0
1786366438144,2891028,2104472,2344476,358972,6036476,0,30,0,6,199,664376,163,544954,303,0,0
1786366438395,2891028,2104472,2344476,358972,6036476,0,30,0,6,199,664376,163,544954,303,0,0
1786366438649,2891028,2104472,2344476,358972,6036476,0,30,0,6,163,664376,133,544954,303,0,0
1786366438905,2891028,2104472,2344476,358972,6036476,0,30,0,6,163,664376,133,544954,303,0,0
1786366439158,2891028,2104472,2344476,358972,6036476,0,30,0,6,163,664376,133,544954,303,0,0
1786366439419,3364116,2540216,2780220,358972,6036476,0,30,0,6,163,664376,133,544954,303,0,0
1786366439672,4090132,3274040,3513240,358972,6036476,0,30,0,6,163,664376,133,544954,303,0,0
1786366439933,4857108,4040120,4276324,358972,6036476,0,30,0,6,163,664376,133,544954,303,0,0
1786366440193,5628692,4814264,5047456,358972,6036476,0,30,0,6,163,664376,133,544954,303,0,0
1786366440446,6036756,5226652,5458248,358972,6036476,0,30,0,6,163,664376,133,544954,303,0,0
1786366440709,6036756,5226652,5458248,358972,6036476,0,30,0,6,133,664376,109,544954,303,0,0
1786366440963,6036756,5230896,5462492,358972,6036476,0,30,0,6,133,664376,109,544954,303,0,0
1786366441219,6036756,5230896,5462492,358972,6036476,0,30,0,6,133,664376,109,544954,303,0,0
1786366441474,6036756,5236812,5468408,358972,6036476,0,30,0,6,133,664376,109,544954,303,0,0
1786366441726,6036756,5236812,5468408,358972,6036476,0,30,0,6,133,664376,109,544954,303,0,0
1786366441980,6036756,5236812,5468408,358972,6036476,0,30,0,6,133,664376,109,544954,303,0,0
1786366442234,6036756,5240528,5472124,358972,6036476,0,30,0,6,133,664376,109,544954,303,0,0
1786366442486,6036756,5239772,5471416,358984,6036476,0,30,0,6,133,665869,109,546128,303,0,0
1786366442736,6036756,5186540,5419268,359988,6036476,0,30,0,6,127,714722,107,593556,303,0,0
1786366442987,6036756,5134272,5410604,403508,6036476,0,30,0,6,127,716496,107,595119,303,0,0
1786366443241,6036756,5190020,5422748,359996,6036476,0,30,0,6,127,729580,107,608102,303,0,0
1786366443501,6036756,5195196,5427924,359996,6036476,0,30,0,6,127,729580,107,608102,303,0,0
1786366443762,6036756,5195196,5427924,359996,6036476,0,30,0,6,127,729580,107,608102,303,0,0
1786366444024,6036756,5195196,5427924,359996,6036476,0,30,0,6,127,729580,107,608102,303,0,0
1786366444287,6036756,5201744,5434472,359996,6036476,0,30,0,6,127,729580,107,608102,303,0,0
1786366444539,6036756,5206352,5439080,359996,6036476,0,30,0,6,127,729580,107,608102,303,0,0
1786366444800,6036756,5206352,5439080,359996,6036476,0,30,0,6,140,729580,106,608102,303,0,0
1786366445057,6036756,5206352,5439080,359996,6036476,0,30,0,6,140,729580,106,608102,303,0,0
1786366445311,6036756,5217476,5450204,359996,6036476,0,30,0,6,140,729580,106,608102,303,0,0
1786366445569,5910804,5088704,5321924,359996,6036476,0,30,0,6,140,729580,106,608102,303,0,0
1786366445821,5424404,4604864,4839984,359996,6036476,0,30,0,6,140,729580,106,608102,303,0,0
1786366446075,4915476,4088768,4325876,359996,6036476,0,30,0,6,140,729580,106,608102,303,0,0
1786366446331,4398356,3583592,3822720,359996,6036476,0,30,0,6,140,729580,106,608102,303,0,0
1786366446592,3876116,3075560,3316668,359996,6036476,0,30,0,6,140,729580,106,608102,303,0,0
1786366446852,3363092,2567780,2808888,359996,6036476,0,30,0,6,114,729580,87,608102,303,0,0
1786366447113,2891028,2101676,2342816,359996,6036476,0,30,0,6,114,729580,87,608102,303,0,0
1786366447369,2891028,2101676,2342816,359996,6036476,0,30,0,6,114,729580,87,608102,303,0,0
1786366447622,2891028,2107004,2348144,359996,6036476,0,30,0,6,114,729580,87,608102,303,0,0
1786366447875,2891028,2107004,2348144,359996,6036476,0,30,0,6,114,729580,87,608102,303,0,0
1786366448127,2891028,2107004,2348144,359996,6036476,0,30,0,6,114,729580,87,608102,303,0,0
1786366448383,2891028,2112392,2353516,360076,6036476,0,30,0,6,114,813050,87,690030,303,0,0
1786366448643,2891028,2112392,2353516,360076,6036476,0,30,0,6,166,813050,143,690030,303,0,0
1786366448901,2891028,2112392,2353516,360076,6036476,0,30,0,6,166,813050,143,690030,303,0,0
1786366449162,2891028,2112392,2353516,360076,6036476,0,30,0,6,166,813050,143,690030,303,0,0
1786366449414,2891028,2115368,2356492,360076,6036476,0,30,0,6,166,813050,143,690030,303,0,0
1786366449676,2891028,2115368,2356492,360076,6036476,0,30,0,6,166,813050,143,690030,303,0,0
1786366449933,2891028,2115368,2356492,360076,6036476,0,30,0,6,166,813050,143,690030,303,0,0
1786366450185,2891028,2119168,2360292,360076,6036476,0,30,0,6,166,813050,143,690030,303,0,0
