ts_ms,target,actual,reclaimed,worker_footprint
1786367500364,0,0,0,1554303616
1786367500568,3221225472,397410304,390365184,1539115960
1786367500778,3221225472,805306368,798343168,1542032624
1786367500989,3221225472,1231028224,1223901184,1544998440
1786367501199,3221225472,1691353088,1684062208,1542279008
1786367501409,3221225472,2069889024,2061762560,1457033248
1786367501620,3221225472,2490368000,2482651136,1316491440
1786367501830,3221225472,2905604096,2897969152,1316557264
1786367502040,3221225472,3221225472,3213082624,1316606632
1786367507053,3221225472,3221225472,3213082624,1316704960
1786367507260,0,2747269120,3213082624,1316704960
1786367507467,0,2114977792,3213082624,1316704960
1786367507672,0,1502609408,3213082624,1316704960
1786367507882,0,855638016,3213082624,1316704960
1786367508092,0,205520896,3213082624,1316704960
1786367508302,0,0,3213082624,1316704960
1786367513314,0,0,3213082624,1320587992
1786367513520,3221225472,336592896,3536125952,1299206872
1786367513728,3221225472,762314752,3962634240,1299206872
1786367513939,3221225472,1207959552,4407492608,1299206872
1786367514141,3221225472,1620049920,4819582976,1299206872
1786367514351,3221225472,2047868928,5246517248,1298485976
1786367514556,3221225472,2467299328,5665931264,1285853912
1786367514758,3221225472,2873098240,6071762944,1285853912
1786367514968,3221225472,3221225472,6419857408,1277596376
1786367519979,3221225472,3221225472,6419857408,1281020632
1786367520181,0,2768240640,6419857408,1281020632
1786367520391,0,2129657856,6419857408,1281020632
1786367520601,0,1484783616,6419857408,1281020632
1786367520802,0,867172352,6419857408,1281037040
1786367521012,0,218103808,6419857408,1281037040
1786367521223,0,0,6419857408,1281037040
