ts_ms,target,actual,reclaimed,worker_footprint
1786377304825,0,0,0,1547160216
1786377305028,3221225472,445644800,446562304,1523731384
1786377305239,3221225472,931135488,931528704,1523944736
1786377305441,3221225472,1372585984,1373143040,1526304344
1786377305644,3221225472,1844445184,1845395456,1527091112
1786377305854,3221225472,2264924160,2264924160,1465110608
1786377306060,3221225472,2767192064,2767192064,1464881592
1786377306268,3221225472,3221225472,3221225472,1464570608
1786377311279,3221225472,3221225472,3221225472,1464849160
1786377311487,0,2691694592,3221225472,1464898312
1786377311688,0,2051014656,3221225472,1464898312
1786377311891,0,1391460352,3221225472,1464898312
1786377312101,0,693108736,3221225472,1464914696
1786377312311,0,5242880,3221225472,1464931080
1786377312523,0,0,3221225472,1464947464
1786377317533,0,0,3221225472,1465062152
1786377317739,3221225472,360710144,3582935040,1465078536
1786377317941,3221225472,818937856,4040343552,1465078536
1786377318146,3221225472,1278214144,4499750912,1465078536
1786377318348,3221225472,1749024768,4971118592,1465094920
1786377318555,3221225472,2221932544,5443911680,1465094920
1786377318761,3221225472,2688548864,5910495232,1465111304
1786377318971,3221225472,3167748096,6388973568,1465111304
1786377319182,3221225472,3221225472,6442450944,1465111304
1786377324188,3221225472,3221225472,6442450944,1478087456
1786377324390,0,2717908992,6442450944,1478136608
1786377324591,0,2065694720,6442450944,1478136608
1786377324791,0,1401946112,6442450944,1478136608
1786377324993,0,743440384,6442450944,1478185760
1786377325193,0,97517568,6442450944,1478185760
1786377325404,0,0,6442450944,1478202144
