ts_ms,mem_total_kib,mem_free_kib,mem_available_kib,cached_kib,swap_free_kib,mem_some_avg10,mem_some_total_us,mem_full_avg10,mem_full_total_us,io_some_avg10,io_some_total_us,io_full_avg10,io_full_total_us,pgmajfault,pswpin,pswpout,pgscan_kswapd,pgsteal_kswapd,pgscan_direct,pgsteal_direct,kswapd_cpu_ticks
1786369875178,6036756,5369584,5552492,316492,6036476,0,36,0,36,199,504492,169,407526,278,0,0,0,0,0,0,0
1786369875430,6036756,5369236,5552492,316784,6036476,0,36,0,36,199,525298,169,427844,278,0,0,0,0,0,0,0
1786369875685,6036756,5367472,5550976,316996,6036476,0,36,0,36,199,539605,169,442109,278,0,0,0,0,0,0,0
1786369875940,5774612,5101612,5286140,316996,6036476,0,36,0,36,199,539605,169,442109,278,0,0,0,0,0,0,0
1786369876192,5774612,5101612,5286140,317000,6036476,0,36,0,36,199,539605,169,442109,278,0,0,0,0,0,0,0
1786369876446,5774612,5101612,5286140,317000,6036476,0,36,0,36,252,539605,210,442109,278,0,0,0,0,0,0,0
1786369876699,5774612,5101612,5286140,317000,6036476,0,36,0,36,252,539605,210,442109,278,0,0,0,0,0,0,0
1786369876956,5774612,5101612,5286140,317000,6036476,0,36,0,36,252,539605,210,442109,278,0,0,0,0,0,0,0
1786369877218,5774612,5101612,5286140,317000,6036476,0,36,0,36,252,539605,210,442109,278,0,0,0,0,0,0,0
1786369877472,5774612,5101612,5286140,317000,6036476,0,36,0,36,252,539605,210,442109,278,0,0,0,0,0,0,0
1786369877732,5774612,5101612,5286140,317000,6036476,0,36,0,36,252,539605,210,442109,278,0,0,0,0,0,0,0
1786369877983,5774612,5101612,5286140,317000,6036476,0,36,0,36,252,539605,210,442109,278,0,0,0,0,0,0,0
1786369878242,5579028,4908076,5093368,317000,6036476,0,36,0,36,252,539605,210,442109,278,0,0,0,0,0,0,0
1786369878493,5512468,4843564,5029116,317000,6036476,0,36,0,36,206,539605,172,442109,278,0,0,0,0,0,0,0
