ts_ms,mem_total_kib,mem_free_kib,mem_available_kib,cached_kib,swap_free_kib,mem_some_avg10,mem_some_total_us,mem_full_avg10,mem_full_total_us,io_some_avg10,io_some_total_us,io_full_avg10,io_full_total_us,pgmajfault,pswpin,pswpout,pgscan_kswapd,pgsteal_kswapd,pgscan_direct,pgsteal_direct,kswapd_cpu_ticks
1786369565063,6036760,5350368,5535236,318416,6036476,0,28,0,28,209,522900,167,432871,278,0,0,0,0,0,0,0
1786369565313,6036760,5351560,5536664,318668,6036476,0,28,0,28,209,540985,167,450551,278,0,0,0,0,0,0,0
1786369565564,6036760,5350336,5535764,318980,6036476,0,28,0,28,209,558787,167,467866,278,0,0,0,0,0,0,0
1786369565815,6036760,5348724,5534348,319172,6036476,0,28,0,28,209,576378,167,484984,278,0,0,0,0,0,0,0
1786369566067,6036760,5348720,5534736,319488,6036476,0,28,0,28,209,598799,167,507109,279,0,0,0,0,0,0,0
1786369566318,6036760,5346956,5533144,319728,6036476,0,28,0,28,209,613932,167,522185,279,0,0,0,0,0,0,0
1786369566568,6036760,4500248,4686524,319756,6036476,0,28,0,28,209,613932,167,522185,279,0,0,0,0,0,0,0
1786369566824,6036760,3661680,3847956,319756,6036476,0,28,0,28,316,613932,281,522185,279,0,0,0,0,0,0,0
1786369567096,6036760,2855516,3041792,319756,6036476,0,28,0,28,316,613932,281,522185,279,0,0,0,0,0,0,0
1786369567366,6036760,2541076,2727356,319760,6036476,0,28,0,28,316,613932,281,522185,279,0,0,0,0,0,0,0
1786369567623,6036760,2501632,2687912,319760,6036476,0,28,0,28,316,613932,281,522185,279,0,0,0,0,0,0,0
1786369567885,6036760,2477508,2663788,319760,6036476,0,28,0,28,316,613932,281,522185,279,0,0,0,0,0,0,0
1786369568136,6036760,2343760,2530192,319980,6036476,0,28,0,28,316,632287,281,538673,279,0,0,0,0,0,0,0
1786369568390,6036760,2207112,2393672,320044,6036476,0,28,0,28,316,650643,281,556972,279,0,0,0,0,0,0,0
1786369568641,6036760,2206612,2393292,320168,6036476,0,28,0,28,316,659238,281,565557,279,0,0,0,0,0,0,0
1786369568893,6036760,2206612,2393292,320176,6036476,0,28,0,28,295,659238,267,565557,279,0,0,0,0,0,0,0
1786369569151,6036760,2206612,2393292,320176,6036476,0,28,0,28,295,659238,267,565557,279,0,0,0,0,0,0,0
1786369569403,6036760,2206612,2393292,320176,6036476,0,28,0,28,295,659238,267,565557,279,0,0,0,0,0,0,0
1786369569659,6036760,2121680,2354304,366120,6036476,0,28,0,28,295,678810,267,584690,284,0,0,0,0,0,0,0
1786369569910,6036760,2150388,2346372,328980,6036476,0,28,0,28,295,725362,267,628673,285,0,0,0,0,0,0,0
1786369570160,6036760,2067940,2335508,395124,6036476,0,28,0,28,295,747034,267,645863,302,0,0,0,0,0,0,0
1786369570411,6036760,2117032,2345424,355888,6036476,0,28,0,28,295,755728,267,654534,303,0,0,0,0,0,0,0
1786369570661,6036760,2122328,2350992,356204,6036476,0,28,0,28,332,778367,309,676983,303,0,0,0,0,0,0,0
1786369570914,6036760,2121824,2350536,356204,6036476,0,28,0,28,332,778367,309,676983,303,0,0,0,0,0,0,0
1786369571166,6036760,2125744,2354524,356276,6036476,0,28,0,28,332,780906,309,678948,303,0,0,0,0,0,0,0
1786369571425,6036760,2127740,2356520,356276,6036476,0,28,0,28,332,780906,309,678948,303,0,0,0,0,0,0,0
1786369571677,6036760,2127740,2356520,356276,6036476,0,28,0,28,332,780906,309,678948,303,0,0,0,0,0,0,0
1786369571931,6036760,2127740,2356520,356276,6036476,0,28,0,28,332,780906,309,678948,303,0,0,0,0,0,0,0
1786369572190,6036760,2127740,2356520,356280,6036476,0,28,0,28,332,780906,309,678948,303,0,0,0,0,0,0,0
1786369572442,6036760,2132288,2361068,356280,6036476,0,28,0,28,332,780906,309,678948,303,0,0,0,0,0,0,0
1786369572695,6036760,2132540,2361320,356280,6036476,0,28,0,28,272,780906,252,678948,303,0,0,0,0,0,0,0
1786369572957,6036760,2132540,2361320,356280,6036476,0,28,0,28,272,780906,252,678948,303,0,0,0,0,0,0,0
1786369573214,6036760,2132540,2361320,356280,6036476,0,28,0,28,272,780906,252,678948,303,0,0,0,0,0,0,0
1786369573472,6036760,2136272,2365052,356280,6036476,0,28,0,28,272,780906,252,678948,303,0,0,0,0,0,0,0
1786369573725,6036760,2136272,2365052,356280,6036476,0,28,0,28,272,780906,252,678948,303,0,0,0,0,0,0,0
1786369573977,6036760,2132480,2362468,357604,6036476,0,28,0,28,272,804608,252,701800,306,0,0,0,0,0,0,0
1786369574227,6036760,5252772,5483360,357984,6036476,0,28,0,28,272,816961,252,713180,306,0,0,0,0,0,0,0
