ts_ms,mem_total_kib,mem_free_kib,mem_available_kib,cached_kib,swap_free_kib,mem_some_avg10,mem_some_total_us,mem_full_avg10,mem_full_total_us,io_some_avg10,io_some_total_us,io_full_avg10,io_full_total_us,pgmajfault,pswpin,pswpout,pgscan_kswapd,pgsteal_kswapd,pgscan_direct,pgsteal_direct,kswapd_cpu_ticks
1786369597263,6036756,5383144,5568236,318444,6036476,0,18,0,18,224,489086,178,393128,280,0,0,0,0,0,0,0
1786369597513,6036756,5377664,5562928,318556,6036476,0,18,0,18,256,508821,218,410912,280,0,0,0,0,0,0,0
1786369597764,6036756,5375644,5561236,318932,6036476,0,18,0,18,256,522628,218,424691,280,0,0,0,0,0,0,0
1786369598019,5774612,5117788,5304488,318944,6036476,0,18,0,18,256,522628,218,424691,280,0,0,0,0,0,0,0
1786369598279,5774612,5117788,5304488,318952,6036476,0,18,0,18,256,522628,218,424691,280,0,0,0,0,0,0,0
1786369598531,5774612,5117788,5304488,318952,6036476,0,18,0,18,256,522628,218,424691,280,0,0,0,0,0,0,0
1786369598784,5774612,5117788,5304488,318952,6036476,0,18,0,18,256,522628,218,424691,280,0,0,0,0,0,0,0
1786369599035,5774612,5117788,5304488,318952,6036476,0,18,0,18,256,522628,218,424691,280,0,0,0,0,0,0,0
1786369599293,5774612,5117788,5304488,318952,6036476,0,18,0,18,256,522628,218,424691,280,0,0,0,0,0,0,0
1786369599545,5774612,5117788,5304488,318952,6036476,0,18,0,18,209,522628,178,424691,280,0,0,0,0,0,0,0
1786369599797,5774612,5117788,5304488,318952,6036476,0,18,0,18,209,522628,178,424691,280,0,0,0,0,0,0,0
1786369600051,5774612,5117788,5304488,318952,6036476,0,18,0,18,209,522628,178,424691,280,0,0,0,0,0,0,0
1786369600303,5747988,5085604,5272408,318952,6036476,0,18,0,18,209,522628,178,424691,280,0,0,0,0,0,0,0
1786369600564,5512468,4851676,5039400,318952,6036476,0,18,0,18,209,522628,178,424691,280,0,0,0,0,0,0,0
1786369600820,5512468,4851676,5039400,318952,6036476,0,18,0,18,209,522628,178,424691,280,0,0,0,0,0,0,0
1786369601075,5512468,4851676,5039400,318952,6036476,0,18,0,18,209,522628,178,424691,280,0,0,0,0,0,0,0
1786369601328,5512468,4851676,5039400,318952,6036476,0,18,0,18,209,522628,178,424691,280,0,0,0,0,0,0,0
1786369601579,5512468,4851276,5041612,321568,6036476,0,18,0,18,171,551147,146,452973,285,0,0,0,0,0,0,0
1786369601830,5512468,4791548,4985184,324748,6036476,0,18,0,18,171,598710,146,499117,285,0,0,0,0,0,0,0
1786369602081,5512468,4720252,4988128,393380,6036476,0,18,0,18,171,625025,146,520835,303,0,0,0,0,0,0,0
1786369602331,5512468,4675784,4905092,354604,6036476,0,18,0,18,171,636939,146,532740,303,0,0,0,0,0,0,0
1786369602582,5512468,4682156,4911832,354968,6036476,0,18,0,18,171,660874,146,556215,304,0,0,0,0,0,0,0
1786369602838,5275924,4488872,4719520,354968,6036476,0,18,0,18,171,660874,146,556215,304,0,0,0,0,0,0,0
1786369603089,5250324,4464680,4695428,355040,6036476,0,18,0,18,171,661885,146,557029,304,0,0,0,0,0,0,0
1786369603351,5250324,4471484,4702228,355040,6036476,0,18,0,18,171,661885,146,557029,304,0,0,0,0,0,0,0
1786369603610,5250324,4471484,4702228,355040,6036476,0,18,0,18,249,661885,227,557029,304,0,0,0,0,0,0,0
1786369603870,5250324,4471484,4702228,355040,6036476,0,18,0,18,249,661885,227,557029,304,0,0,0,0,0,0,0
1786369604123,5250324,4471484,4702228,355044,6036476,0,18,0,18,249,661885,227,557029,304,0,0,0,0,0,0,0
1786369604376,5250324,4478420,4709164,355044,6036476,0,18,0,18,249,661885,227,557029,304,0,0,0,0,0,0,0
1786369604632,5250324,4478420,4709164,355044,6036476,0,18,0,18,249,661885,227,557029,304,0,0,0,0,0,0,0
1786369604889,5250324,4478420,4709164,355044,6036476,0,18,0,18,249,661885,227,557029,304,0,0,0,0,0,0,0
1786369605143,5213460,4438100,4668988,355044,6036476,0,18,0,18,249,661885,227,557029,304,0,0,0,0,0,0,0
1786369605404,4988180,4212308,4444076,355044,6036476,0,18,0,18,249,661885,227,557029,304,0,0,0,0,0,0,0
1786369605662,4988180,4218172,4449940,355044,6036476,0,18,0,18,204,661885,187,557029,304,0,0,0,0,0,0,0
1786369605923,4988180,4218172,4449940,355044,6036476,0,18,0,18,204,661885,187,557029,304,0,0,0,0,0,0,0
