ts_ms,target,actual,reclaimed,worker_footprint
1786369876880,268435456,268435456,267714560,1430801024
1786369878088,268435456,268435456,267714560,1430801024
1786369879296,536870912,536870912,536133632,1431505728
1786369880504,536870912,536870912,536133632,1602112536
1786369881715,805306368,805306368,800587776,1532710056
1786369882917,805306368,805306368,800587776,1532710056
1786369884125,1073741824,1073741824,1069023232,1535118696
1786369885327,1073741824,1073741824,1069023232,1535118696
1786369886529,1342177280,1342177280,1337442304,1535266344
1786369887738,1342177280,1342177280,1337442304,1535266344
1786369888946,1610612736,1610612736,1605861376,1532743400
1786369890152,1610612736,1610612736,1605861376,1532743400
1786369891354,1879048192,1879048192,1874296832,1606750216
1786369892565,1879048192,1879048192,1874296832,1607159816
1786369893776,2147483648,2147483648,2135949312,1448317008
1786369894983,2147483648,2147483648,2135949312,1448317008
1786369896187,2415919104,2415919104,2404368384,1304744040
1786369897390,2415919104,2415919104,2404368384,1309593704
1786369898594,2684354560,2684354560,2672361472,1286983952
1786369899805,2684354560,2684354560,2672361472,1286983952
1786369901014,2952790016,2952790016,2939748352,1280578000
1786369902222,2952790016,2952790016,2939748352,1386762824
1786369903433,3221225472,3221225472,3200614400,1307923136
1786369904644,3221225472,3221225472,3200614400,1307923136
1786369905851,3489660928,3489660928,3469049856,1308054400
1786369907055,3489660928,3489660928,3469049856,1308070784
1786369908266,3758096384,3758096384,3737485312,1317147736
1786369909470,3758096384,3758096384,3737485312,1317147736
1786369910676,4026531840,4026531840,4005920768,1322046744
1786369911641,4026531840,4026531840,4005920768,1516262824
1786369911852,4026531840,4026531840,4005920768,1584174552
1786369912062,4026531840,4026531840,4005920768,1717704248
1786369912273,4026531840,4026531840,4005920768,1851987608
1786369912475,4026531840,4026531840,4005920768,1919424200
1786369913480,4294967296,4294967296,4271226880,2422905192
1786369913690,4294967296,4294967296,4271226880,2430294496
1786369913899,4294967296,4294967296,4271226880,2431031776
1786369914100,4294967296,4294967296,4275077120,2427263456
1786369914300,4294967296,4294967296,4278566912,2424429024
1786369915431,0,2303721472,4278976512,2460998328
1786369915641,0,1689255936,4278976512,2460998328
1786369915844,0,1073741824,4278976512,2460998328
1786369916054,0,441450496,4278976512,2460998328
1786369916265,0,0,4278976512,2460998328
1786369917191,0,0,4278976512,2461522688
1786369917401,0,0,4278976512,2461522688
1786369917610,0,0,4278976512,2461539072
1786369917820,0,0,4278976512,2461522688
1786369918021,0,0,4278976512,2461522688
1786369918710,0,0,4278976512,2462636800
1786369918916,0,0,4278976512,2462636800
1786369919126,0,0,4278976512,2462636800
1786369919337,0,0,4278976512,2462636800
1786369919539,0,0,4278976512,2462636800
1786369919749,0,0,4278976512,2462636800
1786369919957,0,0,4278976512,2462636800
1786369920163,0,0,4278976512,2462653184
1786369920375,0,0,4278976512,2462636800
1786369920580,0,0,4278976512,2462636800
1786369920786,0,0,4278976512,2462636800
1786369920993,0,0,4278976512,2462636800
1786369921199,0,0,4278976512,2462636800
1786369921407,0,0,4278976512,2462636800
1786369921613,0,0,4278976512,2462636800
1786369921815,0,0,4278976512,2462636800
1786369922024,0,0,4278976512,2462653184
1786369922230,0,0,4278976512,2462636800
1786369922437,0,0,4278976512,2462636800
1786369922641,0,0,4278976512,2462636800
1786369922850,0,0,4278976512,2462636800
1786369923057,0,0,4278976512,2462636800
1786369923264,0,0,4278976512,2462653184
1786369923467,0,0,4278976512,2462685952
1786369923672,0,0,4278976512,2463161184
