ts_ms,target,actual,reclaimed,worker_footprint
1786369566688,0,0,0,2636238112
1786369566898,0,0,0,3330461440
1786369567107,0,0,0,3804106760
1786369567313,0,0,0,4088484040
1786369567517,0,0,0,4129575136
1786369568724,0,0,0,4440936984
1786369568929,0,0,0,4440936984
1786369569135,0,0,0,4440953368
1786369569341,0,0,0,4440936984
1786369569548,0,0,0,4443623960
1786369569749,0,0,0,4540797560
1786369569959,0,0,0,4559033000
1786369570170,0,0,0,4620833544
1786369570371,0,0,0,4635923256
1786369570582,0,0,0,4637954872
1786369570786,0,0,0,4637954872
1786369570997,0,0,0,4637954872
1786369571203,0,0,0,4637987640
1786369571405,0,0,0,4637987640
1786369571606,0,0,0,4637987640
1786369571817,0,0,0,4637987640
1786369572024,0,0,0,4637987640
1786369572230,0,0,0,4637987640
1786369572434,0,0,0,4637987640
1786369572637,0,0,0,4637987640
1786369572839,0,0,0,4637987640
1786369573048,0,0,0,4638004024
1786369573258,0,0,0,4638004024
1786369573469,0,0,0,4638020408
1786369573679,0,0,0,4638020408
