ts_ms,mem_total_kib,mem_free_kib,mem_available_kib,cached_kib,swap_free_kib,mem_some_avg10,mem_some_total_us,mem_full_avg10,mem_full_total_us,io_some_avg10,io_some_total_us,io_full_avg10,io_full_total_us,pgmajfault,pswpin,pswpout,pgscan_kswapd,pgsteal_kswapd,pgscan_direct,pgsteal_direct,kswapd_cpu_ticks
1786377351306,6117392,5214736,4953104,392144,6117360,0,315,0,34,300,555466,241,444263,560,0,0,0,0,0,0,0
1786377351556,6117392,5214736,4953216,392384,6117360,0,315,0,34,300,575365,241,462717,560,0,0,0,0,0,0,0
1786377351807,6117392,5214736,4953296,392544,6117360,0,315,0,34,282,593499,234,480796,561,0,0,0,0,0,0,0
1786377352058,6117392,5214736,4953344,392672,6117360,0,315,0,34,282,610469,234,497765,561,0,0,0,0,0,0,0
1786377352308,6117392,5214736,4953600,393168,6117360,0,315,0,34,282,628729,234,515369,562,0,0,0,0,0,0,0
1786377352559,6117392,5214736,4953680,393328,6117360,0,315,0,34,282,646161,234,532765,562,0,0,0,0,0,0,0
1786377352819,6117392,3878048,3616976,393344,6117360,0,315,0,34,282,646161,234,532765,562,0,0,0,0,0,0,0
1786377353086,6117392,2324096,2063024,393344,6117360,0,315,0,34,282,646161,234,532765,562,0,0,0,0,0,0,0
1786377353344,6117392,2030512,1769472,393360,6117360,0,315,0,34,282,646161,234,532765,562,0,0,0,0,0,0,0
1786377353619,6117392,2030512,1769472,393360,6117360,0,315,0,34,282,646161,234,532765,562,0,0,0,0,0,0,0
1786377353873,6117392,2026960,1765920,393360,6117360,0,315,0,34,267,646161,227,532765,562,0,0,0,0,0,0,0
1786377354129,6117392,2021872,1760864,393424,6117360,0,315,0,34,267,661048,227,547414,562,0,0,0,0,0,0,0
1786377354381,6117392,2020768,1759808,393504,6117360,0,315,0,34,267,661048,227,547414,562,0,0,0,0,0,0,0
1786377354634,6117392,2020768,1759808,393504,6117360,0,315,0,34,267,661048,227,547414,562,0,0,0,0,0,0,0
1786377354900,6117392,2020768,1759808,393504,6117360,0,315,0,34,267,661048,227,547414,562,0,0,0,0,0,0,0
1786377355169,6117392,2020768,1759808,393504,6117360,0,315,0,34,267,661048,227,547414,562,0,0,0,0,0,0,0
1786377355428,6117392,2020768,1759808,393504,6117360,0,315,0,34,267,661048,227,547414,562,0,0,0,0,0,0,0
1786377355679,6117392,2020768,1759808,393504,6117360,0,315,0,34,267,661048,227,547414,562,0,0,0,0,0,0,0
1786377355954,6117392,2020768,1759808,388176,6117360,0,315,0,34,218,661048,186,547414,562,0,0,0,0,0,0,0
1786377356208,6117392,2027872,1766912,388160,6117360,0,315,0,34,218,661048,186,547414,562,0,0,0,0,0,0,0
1786377356467,6117392,2027952,1766992,388048,6117360,0,315,0,34,218,661048,186,547414,562,0,0,0,0,0,0,0
1786377356724,6117392,2027952,1766992,388048,6117360,0,315,0,34,218,661048,186,547414,562,0,0,0,0,0,0,0
1786377356986,6117392,2027952,1766992,388144,6117360,0,315,0,34,218,662628,186,548857,563,0,0,0,0,0,0,0
1786377357238,6117392,2027952,1766992,388144,6117360,0,315,0,34,218,662628,186,548857,563,0,0,0,0,0,0,0
1786377357495,6117392,2027952,1766992,388144,6117360,0,315,0,34,218,662628,186,548857,563,0,0,0,0,0,0,0
1786377357754,6117392,2027952,1766992,388144,6117360,0,315,0,34,218,662628,186,548857,563,0,0,0,0,0,0,0
1786377358010,6117392,2027952,1766992,388144,6117360,0,315,0,34,179,662628,152,548857,563,0,0,0,0,0,0,0
1786377358265,6117392,2027952,1766992,388160,6117360,0,315,0,34,179,662628,152,548857,563,0,0,0,0,0,0,0
1786377358516,6117392,2027952,1766992,388160,6117360,0,315,0,34,179,662628,152,548857,563,0,0,0,0,0,0,0
1786377358766,6117392,2027952,1766992,388160,6117360,0,315,0,34,179,662628,152,548857,563,0,0,0,0,0,0,0
1786377359021,6117392,2027952,1766992,388160,6117360,0,315,0,34,179,662628,152,548857,563,0,0,0,0,0,0,0
1786377359275,6117392,2027952,1766992,388160,6117360,0,315,0,34,179,662628,152,548857,563,0,0,0,0,0,0,0
1786377359527,6117392,2027952,1766992,388160,6117360,0,315,0,34,179,662628,152,548857,563,0,0,0,0,0,0,0
1786377359779,6117392,2030912,1772608,394080,6117360,0,315,0,34,179,691972,152,577726,568,0,0,0,0,0,0,0
1786377360029,6117392,5193248,4934944,394672,6117360,0,315,0,34,164,709067,143,594821,568,0,0,0,0,0,0,0
