ts_ms,mem_total_kib,mem_free_kib,mem_available_kib,cached_kib,swap_free_kib,mem_some_avg10,mem_some_total_us,mem_full_avg10,mem_full_total_us,io_some_avg10,io_some_total_us,io_full_avg10,io_full_total_us,pgmajfault,pswpin,pswpout,pgscan_kswapd,pgsteal_kswapd,pgscan_direct,pgsteal_direct,kswapd_cpu_ticks
1786377496167,5330960,4465872,4207504,392176,6117360,0,1010,0,110,282,567986,224,437944,555,0,0,0,0,0,0,0
1786377496417,5068816,4199552,3942304,392416,6117360,0,1010,0,110,282,580222,224,449598,556,0,0,0,0,0,0,0
1786377496671,5068816,4199552,3942288,392416,6117360,0,1010,0,110,267,599032,219,468407,556,0,0,0,0,0,0,0
1786377496931,5068816,4199552,3942288,392416,6117360,0,1010,0,110,267,599032,219,468407,556,0,0,0,0,0,0,0
1786377497205,5068816,4199552,3942288,392416,6117360,0,1010,0,110,267,599032,219,468407,556,0,0,0,0,0,0,0
1786377497460,5068816,4199184,3942112,392736,6117360,0,1010,0,110,267,599032,219,468407,556,0,0,0,0,0,0,0
1786377497719,5068816,4199184,3942112,392736,6117360,0,1010,0,110,267,599032,219,468407,556,0,0,0,0,0,0,0
1786377497974,5068816,4199184,3942112,392736,6117360,0,1010,0,110,267,599032,219,468407,556,0,0,0,0,0,0,0
1786377498234,5068816,4199184,3942112,392736,6117360,0,1010,0,110,267,599032,219,468407,556,0,0,0,0,0,0,0
1786377498489,4806672,3938304,3682256,392736,6117360,0,1010,0,110,219,599032,179,468407,556,0,0,0,0,0,0,0
1786377498742,4806672,3938304,3682256,392736,6117360,0,1010,0,110,219,599032,179,468407,556,0,0,0,0,0,0,0
1786377498995,4806672,3938304,3682256,392736,6117360,0,1010,0,110,219,599032,179,468407,556,0,0,0,0,0,0,0
1786377499252,4806672,3938304,3682256,392736,6117360,0,1010,0,110,219,599032,179,468407,556,0,0,0,0,0,0,0
1786377499509,4806672,3938304,3682256,392736,6117360,0,1010,0,110,219,599032,179,468407,556,0,0,0,0,0,0,0
1786377499761,4806672,3938304,3682256,392736,6117360,0,1010,0,110,219,599032,179,468407,556,0,0,0,0,0,0,0
1786377500012,4806672,3938304,3682256,392736,6117360,0,1010,0,110,219,599032,179,468407,556,0,0,0,0,0,0,0
1786377500267,4806672,3938304,3682256,392736,6117360,0,1010,0,110,219,599032,179,468407,556,0,0,0,0,0,0,0
1786377500519,4544528,3677184,3422160,392736,6117360,0,1010,0,110,179,599032,147,468407,556,0,0,0,0,0,0,0
1786377500780,4544528,3684144,3429152,387328,6117360,0,1010,0,110,179,599032,147,468407,556,0,0,0,0,0,0,0
1786377501038,4544528,3684144,3429152,387328,6117360,0,1010,0,110,179,599032,147,468407,556,0,0,0,0,0,0,0
1786377501294,4544528,3684144,3429152,387280,6117360,0,1010,0,110,179,599032,147,468407,556,0,0,0,0,0,0,0
1786377501546,4544528,3684144,3429152,387280,6117360,0,1010,0,110,179,599032,147,468407,556,0,0,0,0,0,0,0
1786377501802,4544528,3684144,3429184,387376,6117360,0,1010,0,110,179,601026,147,470393,557,0,0,0,0,0,0,0
1786377502056,4544528,3684144,3429184,387376,6117360,0,1010,0,110,179,601026,147,470393,557,0,0,0,0,0,0,0
1786377502307,4543504,3684144,3429184,387376,6117360,0,1010,0,110,179,601026,147,470393,557,0,0,0,0,0,0,0
1786377502566,4282384,3423264,3169328,387376,6117360,0,1010,0,110,146,601026,120,470393,557,0,0,0,0,0,0,0
1786377502827,4282384,3423264,3169328,387376,6117360,0,1010,0,110,146,601026,120,470393,557,0,0,0,0,0,0,0
1786377503082,4282384,3423264,3169328,387376,6117360,0,1010,0,110,146,601026,120,470393,557,0,0,0,0,0,0,0
1786377503337,4282384,3423264,3169328,387392,6117360,0,1010,0,110,146,601026,120,470393,557,0,0,0,0,0,0,0
1786377503598,4282384,3423264,3169328,387392,6117360,0,1010,0,110,146,601026,120,470393,557,0,0,0,0,0,0,0
1786377503859,4282384,3423264,3169328,387392,6117360,0,1010,0,110,146,601026,120,470393,557,0,0,0,0,0,0,0
1786377504118,4282384,3423264,3169328,387392,6117360,0,1010,0,110,146,601026,120,470393,557,0,0,0,0,0,0,0
1786377504378,4281360,3423264,3169328,387392,6117360,0,1010,0,110,146,601026,120,470393,557,0,0,0,0,0,0,0
1786377504639,4020240,3155664,2902336,387392,6117360,0,1010,0,110,120,601026,98,470393,557,0,0,0,0,0,0,0
1786377504891,4020240,3155664,2902336,387392,6117360,0,1010,0,110,120,601026,98,470393,557,0,0,0,0,0,0,0
1786377505148,4020240,3155648,2902320,387392,6117360,0,1010,0,110,120,601026,98,470393,557,0,0,0,0,0,0,0
1786377505410,4020240,3155424,2902096,387392,6117360,0,1010,0,110,120,601026,98,470393,557,0,0,0,0,0,0,0
1786377505663,4020240,3155424,2902096,387392,6117360,0,1010,0,110,120,601026,98,470393,557,0,0,0,0,0,0,0
1786377505918,4020240,3155424,2902096,387392,6117360,0,1010,0,110,120,601026,98,470393,557,0,0,0,0,0,0,0
1786377506178,4020240,3155424,2902096,387392,6117360,0,1010,0,110,120,601026,98,470393,557,0,0,0,0,0,0,0
1786377506431,3923984,3056128,2802800,387392,6117360,0,1010,0,110,98,601026,80,470393,557,0,0,0,0,0,0,0
1786377506692,3758096,2886624,2633296,387392,6117360,0,1010,0,110,98,601026,80,470393,557,0,0,0,0,0,0,0
1786377506949,3758096,2886624,2633296,387392,6117360,0,1010,0,110,98,601026,80,470393,557,0,0,0,0,0,0,0
1786377507209,3758096,2886624,2633296,387392,6117360,0,1010,0,110,98,601026,80,470393,557,0,0,0,0,0,0,0
1786377507461,3758096,2886624,2633296,387392,6117360,0,1010,0,110,98,601026,80,470393,557,0,0,0,0,0,0,0
1786377507716,3758096,2886624,2633296,387392,6117360,0,1010,0,110,98,601026,80,470393,557,0,0,0,0,0,0,0
1786377507968,3758096,2886624,2633296,387392,6117360,0,1010,0,110,98,601026,80,470393,557,0,0,0,0,0,0,0
1786377508225,3758096,2886624,2633296,387392,6117360,0,1010,0,110,98,601026,80,470393,557,0,0,0,0,0,0,0
1786377508477,3588112,2717664,2464336,387392,6117360,0,1010,0,110,80,601026,66,470393,557,0,0,0,0,0,0,0
1786377508729,3495952,2625504,2372176,387392,6117360,0,1010,0,110,80,601026,66,470393,557,0,0,0,0,0,0,0
1786377508986,3495952,2625504,2372176,387392,6117360,0,1010,0,110,80,601026,66,470393,557,0,0,0,0,0,0,0
1786377509244,3495952,2625504,2372176,387392,6117360,0,1010,0,110,80,601026,66,470393,557,0,0,0,0,0,0,0
1786377509496,3495952,2625504,2372176,387392,6117360,0,1010,0,110,80,601026,66,470393,557,0,0,0,0,0,0,0
1786377509754,3495952,2625504,2372176,387392,6117360,0,1010,0,110,80,601026,66,470393,557,0,0,0,0,0,0,0
1786377510005,3495952,2625504,2372176,387392,6117360,0,1010,0,110,80,601026,66,470393,557,0,0,0,0,0,0,0
1786377510261,3495952,2625504,2372176,387392,6117360,0,1010,0,110,80,601026,66,470393,557,0,0,0,0,0,0,0
1786377510515,3248144,2379504,2126176,387392,6117360,0,1010,0,110,65,601026,54,470393,557,0,0,0,0,0,0,0
1786377510776,3233808,2364144,2110816,387392,6117360,0,1010,0,110,65,601026,54,470393,557,0,0,0,0,0,0,0
1786377511037,3233808,2364144,2110816,387392,6117360,0,1010,0,110,65,601026,54,470393,557,0,0,0,0,0,0,0
1786377511292,3233808,2364144,2110816,387392,6117360,0,1010,0,110,65,601026,54,470393,557,0,0,0,0,0,0,0
1786377511548,3233808,2364144,2110816,387392,6117360,0,1010,0,110,65,601026,54,470393,557,0,0,0,0,0,0,0
1786377511800,3233808,2364144,2110816,387392,6117360,0,1010,0,110,65,601026,54,470393,557,0,0,0,0,0,0,0
1786377512056,3233808,2364144,2110816,387392,6117360,0,1010,0,110,65,601026,54,470393,557,0,0,0,0,0,0,0
1786377512308,3233808,2363904,2110576,387392,6117360,0,1010,0,110,65,601026,54,470393,557,0,0,0,0,0,0,0
1786377512568,2971664,2102784,1849456,387392,6117360,0,1010,0,110,54,601026,44,470393,557,0,0,0,0,0,0,0
1786377512820,2971664,2102784,1849456,387392,6117360,0,1010,0,110,54,601026,44,470393,557,0,0,0,0,0,0,0
1786377513073,2971664,2102784,1849456,387392,6117360,0,1010,0,110,54,601026,44,470393,557,0,0,0,0,0,0,0
1786377513334,2971664,2102784,1849456,387392,6117360,0,1010,0,110,54,601026,44,470393,557,0,0,0,0,0,0,0
1786377513587,2971664,2102784,1849456,387392,6117360,0,1010,0,110,54,601026,44,470393,557,0,0,0,0,0,0,0
