ts_ms,target,actual,reclaimed,worker_footprint
1786377353088,0,0,0,3280752456
1786377353298,0,0,0,4551037584
1786377353500,0,0,0,4696527600
1786377353711,0,0,0,4696527600
1786377353913,0,0,0,4696543984
1786377354379,0,0,0,4709192480
1786377354589,0,0,0,4709241632
1786377354798,0,0,0,4709274400
1786377355004,0,0,0,4709290784
1786377355216,0,0,0,4709290784
1786377355425,0,0,0,4709323552
1786377355635,0,0,0,4709323552
1786377355846,0,0,0,4709487392
1786377356057,0,0,0,4709503776
1786377356265,0,0,0,4709503776
1786377356468,0,0,0,4709487392
1786377356680,0,0,0,4709503776
1786377356892,0,0,0,4709536544
1786377357100,0,0,0,4709536544
1786377357309,0,0,0,4709536544
1786377357519,0,0,0,4709520160
1786377357730,0,0,0,4709536544
1786377357934,0,0,0,4709520160
1786377358144,0,0,0,4709520160
1786377358355,0,0,0,4709536544
1786377358556,0,0,0,4709536544
1786377358768,0,0,0,4709536544
1786377358976,0,0,0,4709552928
1786377359181,0,0,0,4709536544
1786377359390,0,0,0,4709569312
