ts_ms,target,actual,reclaimed,worker_footprint
1786377497846,1073741824,1073741824,1073741824,1507593696
1786377499051,1342177280,1342177280,1342177280,1506119328
1786377500259,1342177280,1342177280,1342177280,1506135712
1786377501469,1610612736,1610612736,1610612736,1506660192
1786377502675,1879048192,1879048192,1879048192,1505087520
1786377503885,1879048192,1879048192,1879048192,1505120288
1786377505092,2147483648,2147483648,2147483648,1457295512
1786377506304,2147483648,2147483648,2147483648,1457361048
1786377507510,2415919104,2415919104,2415919104,1453068632
1786377508713,2684354560,2684354560,2684354560,1453216280
1786377509923,2684354560,2684354560,2684354560,1453232664
1786377511134,2952790016,2952790016,2952790016,1453396696
1786377512345,2952790016,2952790016,2952790016,1453658840
1786377513553,3221225472,3221225472,3221225472,1453839256
1786377514755,3489660928,3489660928,3489660928,1453986904
1786377515962,3489660928,3489660928,3489660928,1454003288
1786377517170,3758096384,3758096384,3758096384,1454167320
1786377518380,3758096384,3758096384,3758096384,1463145776
1786377519591,4026531840,4026531840,4026531840,1477056008
1786377520515,3595141120,3644850176,4026531840,1998395272
1786377520725,3595141120,3595141120,4026531840,2209929240
1786377520936,3595141120,3595141120,4026531840,2478938328
1786377521145,3595141120,3595141120,4026531840,2591234336
1786377521355,3595141120,3595141120,4040179712,2586679584
1786377522032,0,1628012544,4040179712,2602097600
1786377522235,0,949583872,4040179712,2602113984
1786377522441,0,256475136,4040179712,2602130368
1786377522651,0,0,4040179712,2602146752
1786377522862,0,0,4040179712,2602163136
1786377523328,0,0,4040179712,2602900464
1786377523539,0,0,4040179712,2602900464
1786377523746,0,0,4040179712,2602900464
1786377523950,0,0,4040179712,2602900464
1786377524154,0,0,4040179712,2602916848
1786377524358,0,0,4040179712,2602916848
1786377524562,0,0,4040179712,2602916848
1786377524764,0,0,4040179712,2602933232
1786377524971,0,0,4040179712,2602949616
1786377525180,0,0,4040179712,2602949616
1786377525385,0,0,4040179712,2602949616
1786377525592,0,0,4040179712,2602949616
1786377525797,0,0,4040179712,2602949616
1786377526003,0,0,4040179712,2602949616
1786377526206,0,0,4040179712,2602966000
1786377526410,0,0,4040179712,2602949616
1786377526619,0,0,4040179712,2602949616
1786377526821,0,0,4040179712,2602949616
1786377527024,0,0,4040179712,2602949616
1786377527228,0,0,4040179712,2602966000
1786377527438,0,0,4040179712,2602966000
1786377527639,0,0,4040179712,2602949616
1786377527851,0,0,4040179712,2602949616
1786377528052,0,0,4040179712,2602949616
1786377528254,0,0,4040179712,2602949616
