ts_ms,mem_total_kib,mem_free_kib,mem_available_kib,cached_kib,swap_free_kib,mem_some_avg10,mem_some_total_us,mem_full_avg10,mem_full_total_us,io_some_avg10,io_some_total_us,io_full_avg10,io_full_total_us,pgmajfault,pswpin,pswpout,pgscan_kswapd,pgsteal_kswapd,pgscan_direct,pgsteal_direct,kswapd_cpu_ticks
1786371955053,6036756,5365000,5550116,318412,6036476,0,35,0,35,199,519734,156,418336,278,0,0,0,0,0,0,0
1786371955304,6036756,5363912,5549324,318748,6036476,0,35,0,35,199,546132,156,443713,278,0,0,0,0,0,0,0
1786371955554,6036756,5363448,5549172,319060,6036476,0,35,0,35,199,563606,156,460577,278,0,0,0,0,0,0,0
1786371955805,6036756,5362112,5548064,319276,6036476,0,35,0,35,199,579992,156,476964,278,0,0,0,0,0,0,0
1786371956055,6036756,4785296,5552536,899836,6036476,0,35,0,35,199,590071,156,479759,279,0,0,0,0,0,0,0
1786371956322,6036756,4235724,5552776,1449236,6036476,0,35,0,35,199,633218,156,519122,279,0,0,0,0,0,0,0
1786371956581,6036756,3901960,5552416,1782092,6036476,0,35,0,35,199,640659,156,520759,279,0,0,0,0,0,0,0
1786371956838,6036756,3271956,5550296,2409316,6036476,0,35,0,35,344,643473,273,521209,279,0,0,0,0,0,0,0
1786371957089,6036756,2939928,5556260,2747224,6036476,0,35,0,35,344,676686,273,551676,279,0,0,0,0,0,0,0
1786371957340,6036756,2441220,5552840,3241624,6036476,0,35,0,35,344,681930,273,552511,279,0,0,0,0,0,0,0
1786371957596,6036756,2198840,5540712,3471580,6036476,0,35,0,35,344,705658,273,568115,279,0,0,0,0,0,0,0
1786371957847,6036756,2203616,5545528,3471604,6036476,0,35,0,35,344,725635,273,587584,279,0,0,0,0,0,0,0
1786371958105,6036756,2203616,5545672,3471744,6036476,0,35,0,35,344,725645,273,587595,280,0,0,0,0,0,0,0
1786371958366,6036756,2203616,5545684,3471740,6036476,0,35,0,35,344,725645,273,587595,280,0,0,0,0,0,0,0
