ts_ms,mem_total_kib,mem_free_kib,mem_available_kib,cached_kib,swap_free_kib,mem_some_avg10,mem_some_total_us,mem_full_avg10,mem_full_total_us,io_some_avg10,io_some_total_us,io_full_avg10,io_full_total_us,pgmajfault,pswpin,pswpout,pgscan_kswapd,pgsteal_kswapd,pgscan_direct,pgsteal_direct,kswapd_cpu_ticks
1786372101311,6036756,5370928,5555848,318568,6036476,0,56,0,8,224,516571,175,433523,276,0,0,0,0,0,0,0
1786372101561,6036756,5370376,5555580,318796,6036476,0,56,0,8,274,535807,234,451669,276,0,0,0,0,0,0,0
1786372101812,6036756,5370316,5555844,319044,6036476,0,56,0,8,274,546456,234,462270,276,0,0,0,0,0,0,0
1786372102062,6036756,5369844,5555568,319300,6036476,0,56,0,8,274,576766,234,492428,276,0,0,0,0,0,0,0
1786372102313,6036756,4787212,5552256,897888,6036476,0,56,0,8,274,584178,234,493869,277,0,0,0,0,0,0,0
1786372102568,6036756,4246900,5547124,1432752,6036476,0,56,0,8,274,622228,234,526327,277,0,0,0,0,0,0,0
1786372102818,6036756,3765100,5553764,1920252,6036476,0,56,0,8,274,630877,234,528188,277,0,0,0,0,0,0,0
1786372103073,6036756,3155964,5552160,2527264,6036476,0,56,0,8,274,632061,234,528246,277,0,0,0,0,0,0,0
1786372103330,6036756,2605168,5544808,3070132,6036476,0,56,0,8,274,652337,234,546829,277,0,0,0,0,0,0,0
1786372103582,6036756,2214724,5555824,3471020,6036476,0,56,0,8,274,662311,234,552762,277,0,0,0,0,0,0,0
1786372103833,6036756,2216800,5558504,3471580,6036476,0,56,0,8,333,703298,282,590245,277,0,0,0,0,0,0,0
1786372104093,5774612,1947144,5288836,3471572,6036476,0,56,0,8,333,703298,282,590245,277,0,0,0,0,0,0,0
1786372104348,5774612,1946892,5288584,3471572,6036476,0,56,0,8,333,703298,282,590245,277,0,0,0,0,0,0,0
1786372104600,5774612,1946892,5288584,3471572,6036476,0,56,0,8,333,703298,282,590245,277,0,0,0,0,0,0,0
1786372104860,5774612,1946892,5288584,3471572,6036476,0,56,0,8,333,703298,282,590245,277,0,0,0,0,0,0,0
1786372105111,5774612,1941760,5283460,3471584,6036476,0,56,0,8,333,718308,282,605188,277,0,0,0,0,0,0,0
1786372105362,5774612,1941660,5283368,3471588,6036476,0,56,0,8,333,718308,282,605188,277,0,0,0,0,0,0,0
1786372105617,5774612,1941660,5283368,3471588,6036476,0,56,0,8,309,718308,267,605188,277,0,0,0,0,0,0,0
1786372105869,5774612,1941660,5283368,3471588,6036476,0,56,0,8,309,718308,267,605188,277,0,0,0,0,0,0,0
1786372106123,5774612,1941660,5283364,3471584,6036476,0,56,0,8,309,718308,267,605188,277,0,0,0,0,0,0,0
1786372106374,5774612,1938892,5280616,3471616,6036476,0,56,0,8,309,736076,267,622850,277,0,0,0,0,0,0,0
1786372106625,5512468,1597064,4984496,3517236,6036476,0,56,0,8,309,747121,267,633715,282,0,0,0,0,0,0,0
1786372106875,5512468,1593364,4938296,3474748,6036476,0,56,0,8,309,819043,267,692113,282,0,0,0,0,0,0,0
1786372107126,5512468,1588212,4981928,3517816,6036476,0,56,0,8,309,849863,267,722879,283,0,0,0,0,0,0,0
1786372107376,5512468,1533820,4958776,3548932,6036476,0,56,0,8,309,864066,267,736373,300,0,0,0,0,0,0,0
1786372107627,5512468,1526452,4908992,3506464,6036476,0,56,0,8,398,898922,364,768195,301,0,0,0,0,0,0,0
