ts_ms,target,actual,reclaimed,worker_footprint
1786371958085,0,0,0,4452061792
1786371958291,0,0,0,4452110944
1786371958501,0,0,0,4452110944
1786371958707,0,0,0,4452110944
1786371958910,0,0,0,4452110944
1786371959352,0,0,0,4452242016
1786371959553,0,0,0,4453978720
1786371959755,0,0,0,4544205528
1786371959965,0,0,0,4612002568
1786371960167,0,0,0,4660728632
1786371960615,0,0,0,4672131896
1786371960826,0,0,0,4672131896
1786371961036,0,0,0,4672131896
1786371961246,0,0,0,4672181048
1786371961447,0,0,0,4672181048
1786371961905,0,0,0,4672361272
1786371962116,0,0,0,4672361272
1786371962326,0,0,0,4672361272
1786371962532,0,0,0,4672361272
1786371962742,0,0,0,4672361272
1786371963186,0,0,0,4672508728
1786371963397,0,0,0,4672508728
1786371963607,0,0,0,4672508728
1786371963817,0,0,0,4672508728
1786371964019,0,0,0,4672508728
1786371964464,0,0,0,4672623416
1786371964667,0,0,0,4672623416
1786371964877,0,0,0,4672623416
1786371965081,0,0,0,4672623416
1786371965292,0,0,0,4672623416
1786371965728,0,0,0,4672901944
1786371965937,0,0,0,4672901944
1786371966147,0,0,0,4672901944
1786371966356,0,0,0,4672901944
1786371966567,0,0,0,4672901944
1786371967015,0,0,0,4673491768
1786371967226,0,0,0,4673491768
1786371967436,0,0,0,4673491768
1786371967645,0,0,0,4673491768
1786371967852,0,0,0,4673491768
1786371968299,0,0,0,4673655608
1786371968509,0,0,0,4673655608
1786371968720,0,0,0,4673655608
1786371968930,0,0,0,4673655608
1786371969140,0,0,0,4673655608
1786371969584,0,0,0,4673737528
1786371969792,0,0,0,4673737528
1786371969996,0,0,0,4673737528
1786371970205,0,0,0,4673737528
1786371970415,0,0,0,4673737528
1786371971248,0,0,0,4684485432
1786371971458,0,0,0,4684485432
1786371971659,0,0,0,4684747576
1786371971869,0,0,0,4684747576
1786371972070,0,0,0,4684747576
1786371972663,0,0,0,4684878648
1786371972870,0,0,0,4684895032
1786371973074,0,0,0,4684878648
1786371973762,0,0,0,4684895032
1786371973969,0,0,0,4684895032
1786371974637,0,0,0,4685026152
1786371974847,0,0,0,4685026152
1786371975048,0,0,0,4685026152
1786371975258,0,0,0,4685026152
1786371975469,0,0,0,4685026152
1786371976603,0,0,0,4683223912
1786371976810,0,0,0,4683223912
1786371977012,0,0,0,4683223912
1786371977222,0,0,0,4683223912
1786371977433,0,0,0,4683223912
1786371977881,0,0,0,4683830120
1786371978091,0,0,0,4683830120
1786371978294,0,0,0,4683830120
1786371978504,0,0,0,4683830120
1786371978705,0,0,0,4683830120
1786371979157,0,0,0,4683977576
1786371979367,0,0,0,4684010344
1786371979567,0,0,0,4684026728
1786371979778,0,0,0,4684026728
1786371979988,0,0,0,4684026728
1786371980435,0,0,0,4684469096
1786371980637,0,0,0,4684469096
1786371980843,0,0,0,4684469096
1786371981049,0,0,0,4684469096
1786371981259,0,0,0,4684469096
1786371981704,0,0,0,4690858880
1786371981914,0,0,0,4690940800
1786371982124,0,0,0,4690940800
1786371982329,0,0,0,4690989952
1786371982538,0,0,0,4690989952
1786371982974,0,0,0,4691088256
1786371983184,0,0,0,4691088256
1786371983391,0,0,0,4691088256
1786371983601,0,0,0,4691088256
1786371983812,0,0,0,4691088256
1786371984260,0,0,0,4691284888
1786371984470,0,0,0,4691284888
1786371984677,0,0,0,4691284888
1786371984882,0,0,0,4691284888
1786371985086,0,0,0,4691284888
1786371985529,0,0,0,4691383192
