ts_ms,mem_total_kib,mem_free_kib,mem_available_kib,cached_kib,swap_free_kib,mem_some_avg10,mem_some_total_us,mem_full_avg10,mem_full_total_us,io_some_avg10,io_some_total_us,io_full_avg10,io_full_total_us,pgmajfault,pswpin,pswpout,pgscan_kswapd,pgsteal_kswapd,pgscan_direct,pgsteal_direct,kswapd_cpu_ticks
1786370746322,6036760,5373464,5562596,322552,6036476,0,27,0,5,199,515140,159,425187,280,0,0,0,0,0,0,0
1786370746572,6036760,5372512,5561884,322744,6036476,0,27,0,5,199,532935,159,442727,280,0,0,0,0,0,0,0
1786370746822,6036760,5370140,5559868,323028,6036476,0,27,0,5,199,549558,159,458766,280,0,0,0,0,0,0,0
1786370747073,6036760,5369384,5559228,323136,6036476,0,27,0,5,199,558321,159,467459,280,0,0,0,0,0,0,0
1786370747324,5838104,5175596,5366360,323324,6036476,0,27,0,5,199,575776,159,483789,280,0,0,0,0,0,0,0
1786370747581,5774616,5111084,5302168,323336,6036476,0,27,0,5,199,575776,159,483789,280,0,0,0,0,0,0,0
1786370747857,5774616,5111084,5302168,323336,6036476,0,27,0,5,290,575776,257,483789,280,0,0,0,0,0,0,0
1786370748110,5774616,5111084,5302168,323336,6036476,0,27,0,5,290,575776,257,483789,280,0,0,0,0,0,0,0
1786370748372,5774616,5111084,5302168,323336,6036476,0,27,0,5,290,575776,257,483789,280,0,0,0,0,0,0,0
1786370748633,5774616,5110328,5301632,323536,6036476,0,27,0,5,290,590113,257,497626,280,0,0,0,0,0,0,0
1786370748887,5774616,5110328,5301632,323540,6036476,0,27,0,5,290,590113,257,497626,280,0,0,0,0,0,0,0
1786370749139,5774616,5110328,5301632,323540,6036476,0,27,0,5,290,590113,257,497626,280,0,0,0,0,0,0,0
1786370749408,5774616,5110328,5301632,323540,6036476,0,27,0,5,290,590113,257,497626,280,0,0,0,0,0,0,0
1786370749662,5774616,5110328,5301632,323540,6036476,0,27,0,5,290,590113,257,497626,280,0,0,0,0,0,0,0
1786370749919,5774616,5108816,5300300,323708,6036476,0,27,0,5,237,605854,210,513287,280,0,0,0,0,0,0,0
