ts_ms,mem_total_kib,mem_free_kib,mem_available_kib,cached_kib,swap_free_kib,mem_some_avg10,mem_some_total_us,mem_full_avg10,mem_full_total_us,io_some_avg10,io_some_total_us,io_full_avg10,io_full_total_us,pgmajfault,pswpin,pswpout,pgscan_kswapd,pgsteal_kswapd,pgscan_direct,pgsteal_direct,kswapd_cpu_ticks
1786380613679,6036760,5347876,5537728,323104,6036476,0,1205,0,1185,241,516657,187,418460,273,0,0,0,0,0,0,0
1786380613930,6036760,5347876,5538112,323392,6036476,0,1205,0,1185,241,533014,187,434634,273,0,0,0,0,0,0,0
1786380614183,6036760,5347876,5538312,323676,6036476,0,1205,0,1185,241,543042,187,444582,273,0,0,0,0,0,0,0
1786380614434,5774616,5098144,5289608,323684,6036476,0,1205,0,1185,234,543042,189,444582,273,0,0,0,0,0,0,0
1786380614687,5774616,5098144,5289608,323684,6036476,0,1205,0,1185,234,543042,189,444582,273,0,0,0,0,0,0,0
1786380614940,5774616,5098144,5289608,323684,6036476,0,1205,0,1185,234,543042,189,444582,273,0,0,0,0,0,0,0
1786380615192,5774616,5098144,5289608,323684,6036476,0,1205,0,1185,234,543042,189,444582,273,0,0,0,0,0,0,0
1786380615447,5774616,5098144,5289608,323684,6036476,0,1205,0,1185,234,543042,189,444582,273,0,0,0,0,0,0,0
1786380615702,5774616,5098144,5289608,323684,6036476,0,1205,0,1185,234,543042,189,444582,273,0,0,0,0,0,0,0
1786380615953,5774616,5098144,5289608,323684,6036476,0,1205,0,1185,234,543042,189,444582,273,0,0,0,0,0,0,0
1786380616206,5774616,5098144,5289608,323684,6036476,0,1205,0,1185,234,543042,189,444582,273,0,0,0,0,0,0,0
1786380616460,5774616,5098144,5289608,323684,6036476,0,1205,0,1185,191,543042,155,444582,273,0,0,0,0,0,0,0
1786380616712,5652760,4977184,5169124,323684,6036476,0,1205,0,1185,191,543042,155,444582,273,0,0,0,0,0,0,0
1786380616968,5512472,4832032,5024520,323684,6036476,0,1205,0,1185,191,543042,155,444582,273,0,0,0,0,0,0,0
1786380617221,5512472,4832116,5024604,323684,6036476,0,1205,0,1185,191,543042,155,444582,273,0,0,0,0,0,0,0
1786380617479,5512472,4832116,5024604,323684,6036476,0,1205,0,1185,191,543042,155,444582,273,0,0,0,0,0,0,0
1786380617730,5512472,4766876,5005672,370024,6036476,0,1205,0,1185,191,582059,155,482803,278,0,0,0,0,0,0,0
1786380617981,5512472,4800556,4996388,326860,6036476,0,1205,0,1185,191,718820,155,553502,278,0,0,0,0,0,0,0
1786380618232,5512472,4732856,5003532,396340,6036476,0,1205,0,1185,191,755206,155,584782,292,0,0,0,0,0,0,0
1786380618482,5512472,4724944,4958800,359116,6036476,0,1205,0,1185,356,770552,254,600117,296,0,0,0,0,0,0,0
1786380618733,5512472,4724808,4959076,359584,6036476,0,1205,0,1185,356,794205,254,623576,297,0,0,0,0,0,0,0
1786380618984,5512472,4724808,4959076,359584,6036476,0,1205,0,1185,356,794205,254,623576,297,0,0,0,0,0,0,0
1786380619239,5250328,4458948,4694236,359656,6036476,0,1205,0,1185,356,794346,254,623691,297,0,0,0,0,0,0,0
1786380619493,5250328,4458948,4694236,359656,6036476,0,1205,0,1185,356,794346,254,623691,297,0,0,0,0,0,0,0
1786380619752,5250328,4458948,4694236,359656,6036476,0,1205,0,1185,356,794346,254,623691,297,0,0,0,0,0,0,0
1786380620011,5250328,4462780,4698068,359656,6036476,0,1205,0,1185,356,794346,254,623691,297,0,0,0,0,0,0,0
1786380620264,5250328,4462780,4698068,359660,6036476,0,1205,0,1185,356,794346,254,623691,297,0,0,0,0,0,0,0
1786380620523,5250328,4462780,4698068,359660,6036476,0,1205,0,1185,309,794346,225,623691,297,0,0,0,0,0,0,0
1786380620779,5250328,4462780,4698068,359660,6036476,0,1205,0,1185,309,794346,225,623691,297,0,0,0,0,0,0,0
1786380621033,5250328,4462780,4698068,359660,6036476,0,1205,0,1185,309,794346,225,623691,297,0,0,0,0,0,0,0
