ts_ms,mem_total_kib,mem_free_kib,mem_available_kib,cached_kib,swap_free_kib,mem_some_avg10,mem_some_total_us,mem_full_avg10,mem_full_total_us,io_some_avg10,io_some_total_us,io_full_avg10,io_full_total_us,pgmajfault,pswpin,pswpout,pgscan_kswapd,pgsteal_kswapd,pgscan_direct,pgsteal_direct,kswapd_cpu_ticks
1786380540493,6036756,5362384,5548500,319096,6036476,0,508,0,4,272,575439,217,469539,276,0,0,0,0,0,0,0
1786380540747,6036756,5362384,5548872,319576,6036476,0,508,0,4,272,596674,217,490534,276,0,0,0,0,0,0,0
1786380540998,6029588,5362384,5549100,319776,6036476,0,508,0,4,272,612676,217,505963,276,0,0,0,0,0,0,0
1786380541252,5774612,5104588,5292300,319784,6036476,0,508,0,4,272,612676,217,505963,276,0,0,0,0,0,0,0
1786380541503,5774612,5104588,5292300,319784,6036476,0,508,0,4,277,612676,214,505963,276,0,0,0,0,0,0,0
1786380541757,5774612,5104588,5292300,319784,6036476,0,508,0,4,277,612676,214,505963,276,0,0,0,0,0,0,0
1786380542009,5774612,5104588,5292300,319784,6036476,0,508,0,4,277,612676,214,505963,276,0,0,0,0,0,0,0
1786380542266,5774612,5104588,5292308,319784,6036476,0,508,0,4,277,612676,214,505963,276,0,0,0,0,0,0,0
1786380542517,5774612,5104588,5292308,319784,6036476,0,508,0,4,277,612676,214,505963,276,0,0,0,0,0,0,0
1786380542769,5774612,5104588,5292308,319784,6036476,0,508,0,4,277,612676,214,505963,276,0,0,0,0,0,0,0
1786380543021,5774612,5104588,5292308,319784,6036476,0,508,0,4,277,612676,214,505963,276,0,0,0,0,0,0,0
1786380543272,5715220,5048140,5236092,319784,6036476,0,508,0,4,227,612676,175,505963,276,0,0,0,0,0,0,0
1786380543527,5512468,4846540,5035284,319784,6036476,0,508,0,4,227,612676,175,505963,276,0,0,0,0,0,0,0
1786380543780,5512468,4846540,5035284,319784,6036476,0,508,0,4,227,612676,175,505963,276,0,0,0,0,0,0,0
1786380544034,5512468,4846540,5035284,319784,6036476,0,508,0,4,227,612676,175,505963,276,0,0,0,0,0,0,0
1786380544287,5512468,4846540,5035284,319784,6036476,0,508,0,4,227,612676,175,505963,276,0,0,0,0,0,0,0
1786380544538,5512468,4844524,5035668,322196,6036476,0,508,0,4,227,622138,175,514660,280,0,0,0,0,0,0,0
1786380544791,5512468,4758856,4951112,323212,6036476,0,508,0,4,227,671949,175,563124,281,0,0,0,0,0,0,0
1786380545041,5512468,4752248,4950420,323476,6036476,0,508,0,4,258,695331,216,586229,282,0,0,0,0,0,0,0
1786380545292,5512468,4698316,4970884,397536,6036476,0,508,0,4,258,717634,216,607037,299,0,0,0,0,0,0,0
1786380545548,5250324,4462776,4694248,355588,6036476,0,508,0,4,258,725704,216,614902,300,0,0,0,0,0,0,0
1786380545809,5250324,4458996,4690516,355588,6036476,0,508,0,4,258,725704,216,614902,300,0,0,0,0,0,0,0
1786380546070,5250324,4458996,4690512,355660,6036476,0,508,0,4,258,726644,216,615718,300,0,0,0,0,0,0,0
1786380546324,5250324,4460176,4691692,355660,6036476,0,508,0,4,258,726644,216,615718,300,0,0,0,0,0,0,0
1786380546575,5250324,4460176,4691692,355660,6036476,0,508,0,4,258,726644,216,615718,300,0,0,0,0,0,0,0
1786380546831,5250324,4460176,4691692,355660,6036476,0,508,0,4,258,726644,216,615718,300,0,0,0,0,0,0,0
1786380547086,5250324,4460176,4691692,355664,6036476,0,508,0,4,229,726644,195,615718,300,0,0,0,0,0,0,0
1786380547339,5250324,4468912,4700428,355664,6036476,0,508,0,4,229,726644,195,615718,300,0,0,0,0,0,0,0
1786380547598,5250324,4468912,4700428,355664,6036476,0,508,0,4,229,726644,195,615718,300,0,0,0,0,0,0,0
1786380547853,5244180,4461856,4693396,355664,6036476,0,508,0,4,229,726644,195,615718,300,0,0,0,0,0,0,0
1786380548105,4988180,4203808,4436348,355664,6036476,0,508,0,4,229,726644,195,615718,300,0,0,0,0,0,0,0
1786380548366,4988180,4212768,4445308,355664,6036476,0,508,0,4,229,726644,195,615718,300,0,0,0,0,0,0,0
1786380548624,4988180,4212768,4445308,355664,6036476,0,508,0,4,229,726644,195,615718,300,0,0,0,0,0,0,0
1786380548880,4988180,4212768,4445308,355664,6036476,0,508,0,4,229,726644,195,615718,300,0,0,0,0,0,0,0
1786380549134,4988180,4213980,4446396,355664,6036476,0,508,0,4,188,726644,159,615718,300,0,0,0,0,0,0,0
1786380549396,4988180,4221884,4454300,355664,6036476,0,508,0,4,188,726644,159,615718,300,0,0,0,0,0,0,0
1786380549652,4988180,4221884,4454300,355664,6036476,0,508,0,4,188,726644,159,615718,300,0,0,0,0,0,0,0
1786380549905,4988180,4221884,4454300,355668,6036476,0,508,0,4,188,726644,159,615718,300,0,0,0,0,0,0,0
1786380550167,4988180,4221884,4454300,355668,6036476,0,508,0,4,188,726644,159,615718,300,0,0,0,0,0,0,0
