ts_ms,target,actual,reclaimed,worker_footprint
1786380615398,268435456,268435456,263618560,1455295128
1786380616601,268435456,268435456,263618560,1455295128
1786380617806,536870912,536870912,532037632,1498057632
1786380619017,536870912,536870912,532037632,1601555480
1786380620219,805306368,805306368,798228480,1565609128
1786380621423,805306368,805306368,798228480,1565625512
1786380622629,1073741824,1073741824,1066663936,1568017768
1786380623835,1073741824,1073741824,1066663936,1568017768
1786380625045,1342177280,1342177280,1335099392,1568165416
1786380626253,1342177280,1342177280,1335099392,1568149032
1786380627458,1610612736,1610612736,1601536000,1563954896
1786380628659,1610612736,1610612736,1601536000,1580125928
1786380629871,1879048192,1879048192,1867268096,1629425624
1786380631074,1879048192,1879048192,1867268096,1629409240
1786380632280,2147483648,2147483648,2126823424,1416269808
1786380633482,2147483648,2147483648,2126823424,1416269808
1786380634685,2415919104,2415919104,2395242496,1306742864
1786380635894,2415919104,2415919104,2395242496,1306759248
1786380637100,2684354560,2684354560,2663677952,1298632952
1786380638306,2684354560,2684354560,2663677952,1298649336
1786380639514,2952790016,2952790016,2933522432,1281921464
1786380640726,2952790016,2952790016,2933522432,1413763632
1786380641936,3221225472,3221225472,3200319488,1320915624
1786380643139,3221225472,3221225472,3200319488,1320899240
1786380644350,3489660928,3489660928,3468738560,1321046888
1786380645557,3489660928,3489660928,3468738560,1321046888
1786380646764,3758096384,3758096384,3737174016,1330140224
1786380647974,3758096384,3758096384,3737174016,1330156608
1786380649178,4026531840,4026531840,4005609472,1335022848
1786380650119,4026531840,4026531840,4005609472,1531844080
1786380650327,4026531840,4026531840,4005609472,1609979424
1786380650530,4026531840,4026531840,4005609472,1744672408
1786380650731,4026531840,4026531840,4005609472,1936955200
1786380650931,4026531840,4026531840,4005609472,2025068424
1786380651835,3851837440,3851837440,4005609472,2312755296
1786380652045,3851837440,3851837440,4005609472,2447055040
1786380652253,3851837440,3851837440,4005609472,2564839712
1786380652463,3851837440,3851837440,4005609472,2636077392
1786380652674,3851837440,3851837440,4005609472,2689030480
1786380653583,0,1931894784,4005609472,2711787976
1786380653794,0,1306943488,4005609472,2711787976
1786380654004,0,687235072,4005609472,2711787976
1786380654214,0,48652288,4005609472,2711787976
1786380654425,0,0,4005609472,2711787976
1786380655354,0,0,4005609472,2712066576
1786380655560,0,0,4005609472,2712410640
1786380655765,0,0,4005609472,2712410640
1786380655976,0,0,4005609472,2712410640
1786380656181,0,0,4005609472,2712410640
1786380656889,0,0,4005609472,2712574528
1786380657096,0,0,4005609472,2712574528
1786380657299,0,0,4005609472,2712574528
1786380657508,0,0,4005609472,2712574528
1786380657710,0,0,4005609472,2712574528
1786380657916,0,0,4005609472,2712574528
1786380658122,0,0,4005609472,2712574528
1786380658328,0,0,4005609472,2712574528
1786380658536,0,0,4005609472,2712574528
1786380658740,0,0,4005609472,2712574528
1786380658942,0,0,4005609472,2712574528
1786380659144,0,0,4005609472,2712574528
1786380659350,0,0,4005609472,2712574528
1786380659553,0,0,4005609472,2712590912
1786380659760,0,0,4005609472,2712574528
1786380659969,0,0,4005609472,2712574528
1786380660179,0,0,4005609472,2712574528
1786380660382,0,0,4005609472,2712574528
1786380660590,0,0,4005609472,2712574528
1786380660799,0,0,4005609472,2712574528
1786380661006,0,0,4005609472,2712574528
1786380661215,0,0,4005609472,2712574528
1786380661423,0,0,4005609472,2712574528
1786380661632,0,0,4005609472,2712722008
1786380661843,0,0,4005609472,2713557640
