ts_ms,target,actual,reclaimed,worker_footprint
1786380541801,268435456,268435456,264011776,1448561304
1786380543003,268435456,268435456,264011776,1448561304
1786380544214,536870912,536870912,532447232,1449691992
1786380545416,536870912,536870912,532447232,1632799840
1786380546627,805306368,805306368,794935296,1575619824
1786380547830,805306368,805306368,794935296,1575619824
1786380549040,1073741824,1073741824,1062977536,1574243760
1786380550246,1073741824,1073741824,1062977536,1574243760
1786380551450,1342177280,1342177280,1327382528,1555418712
1786380552655,1342177280,1342177280,1327382528,1555418712
1786380553859,1610612736,1610612736,1595179008,1544654616
1786380555063,1610612736,1610612736,1595179008,1544654616
1786380556267,1879048192,1879048192,1865334784,1637961736
1786380557478,1879048192,1879048192,1865334784,1637961736
1786380558687,2147483648,2147483648,2130296832,1412616224
1786380559895,2147483648,2147483648,2130296832,1412616224
1786380561100,2415919104,2415919104,2398732288,1331908712
1786380562306,2415919104,2415919104,2398732288,1335709800
1786380563514,2684354560,2684354560,2667167744,1316884776
1786380564726,2684354560,2684354560,2667167744,1317032232
1786380565930,2952790016,2952790016,2935095296,1308611024
1786380567131,2952790016,2952790016,2935095296,1418302024
1786380568343,3221225472,3221225472,3198156800,1344967384
1786380569548,3221225472,3221225472,3198156800,1344967384
1786380570751,3489660928,3489660928,3466575872,1345082264
1786380571961,3489660928,3489660928,3466575872,1345082264
1786380573171,3758096384,3758096384,3735011328,1354175600
1786380574382,3758096384,3758096384,3735011328,1354175600
1786380575593,4026531840,4026531840,4003282944,1357944112
1786380576561,4026531840,4026531840,4003282944,1558959576
1786380576770,4026531840,4026531840,4003282944,1626101256
1786380576974,4026531840,4026531840,4003282944,1760401000
1786380577184,4026531840,4026531840,4003282944,1882101448
1786380577395,4026531840,4026531840,4003282944,1961842424
1786380578319,3900989440,3900989440,4003282944,2468223168
1786380578530,3900989440,3900989440,4003282944,2538985712
1786380578740,3900989440,3900989440,4003282944,2665339192
1786380578951,3900989440,3900989440,4003282944,2675792184
1786380579162,3900989440,3900989440,4003282944,2691455288
1786380580078,0,2019844096,4003282944,2710477256
1786380580288,0,1388601344,4003282944,2710477256
1786380580495,0,764698624,4003282944,2710477256
1786380580704,0,146038784,4003282944,2710477256
1786380580915,0,0,4003282944,2710477256
1786380581851,0,0,4003282944,2711722512
1786380582061,0,0,4003282944,2711722512
1786380582272,0,0,4003282944,2711722512
1786380582482,0,0,4003282944,2711722512
1786380582694,0,0,4003282944,2711755280
1786380583394,0,0,4003282944,2712164928
1786380583604,0,0,4003282944,2712197696
1786380583815,0,0,4003282944,2712197696
1786380584027,0,0,4003282944,2712197696
1786380584234,0,0,4003282944,2712214080
1786380584443,0,0,4003282944,2712246848
1786380584654,0,0,4003282944,2712246848
1786380584864,0,0,4003282944,2712263232
1786380585075,0,0,4003282944,2712246848
1786380585280,0,0,4003282944,2712246848
1786380585484,0,0,4003282944,2712246848
1786380585695,0,0,4003282944,2712246848
1786380585902,0,0,4003282944,2712246848
1786380586125,0,0,4003282944,2712246848
1786380586336,0,0,4003282944,2712246848
1786380586545,0,0,4003282944,2712246848
1786380586754,0,0,4003282944,2712246848
1786380586965,0,0,4003282944,2712246848
1786380587167,0,0,4003282944,2712246848
1786380587368,0,0,4003282944,2712246848
1786380587580,0,0,4003282944,2712263232
1786380587782,0,0,4003282944,2712246848
1786380587991,0,0,4003282944,2712246848
1786380588193,0,0,4003282944,2712246848
1786380588394,0,0,4003282944,2712246848
