ts_ms,target,actual,reclaimed,worker_footprint
1786372334375,0,0,0,1641204328
1786372334583,0,0,0,1641220712
1786372334792,0,0,0,1641220712
1786372334999,0,0,0,1641220712
1786372335203,0,0,0,1641220712
1786372335673,0,0,0,1641630312
1786372335879,0,0,0,1641630312
1786372336087,0,0,0,1641630312
1786372336289,0,0,0,1641630312
1786372336500,0,0,0,1641630312
1786372336960,0,0,0,1643842152
1786372337163,0,0,0,1643858536
1786372337389,0,0,0,1643842152
1786372337590,0,0,0,1644055144
1786372337800,0,0,0,1692011184
1786372338447,0,0,0,1781992232
1786372338648,0,0,0,1805224744
1786372338859,0,0,0,1805847336
1786372339062,0,0,0,1805880104
1786372339266,0,0,0,1805880104
1786372339746,0,0,0,1807780648
1786372339953,0,0,0,1807780648
1786372340158,0,0,0,1807797032
1786372340366,0,0,0,1807780648
1786372340575,0,0,0,1807797032
1786372341044,0,0,0,1808124712
1786372341252,0,0,0,1808124712
1786372341458,0,0,0,1808124712
1786372341660,0,0,0,1808124712
1786372341868,0,0,0,1808124712
1786372342326,0,0,0,1808354088
1786372342532,0,0,0,1808354088
1786372342740,0,0,0,1808370472
1786372342945,0,0,0,1808354088
1786372343155,0,0,0,1808354088
1786372343623,0,0,0,1808829224
1786372343829,0,0,0,1808829224
1786372344036,0,0,0,1808829224
1786372344244,0,0,0,1808845608
1786372344450,0,0,0,1808829224
1786372344905,0,0,0,1808894760
1786372345108,0,0,0,1808894760
1786372345313,0,0,0,1808894760
1786372345522,0,0,0,1808911144
1786372345730,0,0,0,1808894760
1786372346190,0,0,0,1809025832
1786372346397,0,0,0,1809025832
1786372346602,0,0,0,1809025832
1786372346804,0,0,0,1809025832
1786372347010,0,0,0,1809025832
1786372347473,0,0,0,1809468200
1786372347681,0,0,0,1809468200
1786372347887,0,0,0,1809468200
1786372348098,0,0,0,1809468200
1786372348307,0,0,0,1809468200
1786372348877,0,0,0,1811827496
1786372349077,0,0,0,1812319016
1786372349288,0,0,0,1812417320
1786372349490,0,0,0,1812417320
1786372349699,0,0,0,1812417320
1786372350160,0,0,0,1813023528
1786372350371,0,0,0,1813039912
1786372350577,0,0,0,1813023528
1786372350779,0,0,0,1813023528
1786372350983,0,0,0,1813023528
1786372351448,0,0,0,1813285672
1786372351654,0,0,0,1813285672
1786372351863,0,0,0,1813285672
1786372352067,0,0,0,1813285672
1786372352274,0,0,0,1813285672
1786372352740,0,0,0,1813875496
1786372352942,0,0,0,1813875496
1786372353144,0,0,0,1813875496
1786372353353,0,0,0,1813875496
1786372353561,0,0,0,1813875496
1786372354035,0,0,0,1814399784
1786372354238,0,0,0,1817250600
1786372354448,0,0,0,1817250600
1786372354660,0,0,0,1817266984
1786372354867,0,0,0,1817250600
1786372355337,0,0,0,1817414440
1786372355546,0,0,0,1817414440
1786372355749,0,0,0,1817414440
1786372355955,0,0,0,1817414440
1786372356163,0,0,0,1817414440
1786372356629,0,0,0,1817742120
1786372356839,0,0,0,1817742120
1786372357042,0,0,0,1817758504
1786372357245,0,0,0,1817758504
1786372357447,0,0,0,1817758504
1786372357905,0,0,0,1817987880
1786372358116,0,0,0,1817971496
1786372358323,0,0,0,1817971496
1786372358525,0,0,0,1817987880
1786372358728,0,0,0,1817971496
1786372359190,0,0,0,1818037032
1786372359392,0,0,0,1818053416
1786372359602,0,0,0,1818053416
1786372359812,0,0,0,1819560744
1786372360014,0,0,0,1819577128
1786372360463,0,0,0,1819642664
1786372360665,0,0,0,1819642664
1786372360873,0,0,0,1819642664
1786372361080,0,0,0,1819642664
1786372361282,0,0,0,1819642664
1786372361757,0,0,0,1819740968
1786372361964,0,0,0,1819740968
1786372362174,0,0,0,1819740968
1786372362375,0,0,0,1819740968
1786372362576,0,0,0,1819740968
1786372363043,0,0,0,1819822888
1786372363245,0,0,0,1819822888
1786372363453,0,0,0,1819839272
1786372363660,0,0,0,1819839272
1786372363862,0,0,0,1819855656
1786372364346,0,0,0,1820052264
1786372364554,0,0,0,1820052264
1786372364762,0,0,0,1820052264
1786372364964,0,0,0,1820052264
1786372365169,0,0,0,1820052264
1786372365638,0,0,0,1820101416
1786372365845,0,0,0,1820101416
1786372366047,0,0,0,1820101416
1786372366256,0,0,0,1820101416
1786372366463,0,0,0,1820101416
1786372366931,0,0,0,1820396328
1786372367137,0,0,0,1820412712
1786372367348,0,0,0,1820396328
1786372367559,0,0,0,1820412712
1786372367765,0,0,0,1820396328
1786372368235,0,0,0,1820592936
1786372368437,0,0,0,1820592936
1786372368648,0,0,0,1820592936
1786372368849,0,0,0,1820592936
1786372369060,0,0,0,1820592936
1786372369524,0,0,0,1820691240
1786372369734,0,0,0,1820691240
1786372369944,0,0,0,1820691240
