ts_ms,target,actual,reclaimed,worker_footprint
1786372719722,0,0,0,1639811664
1786372719931,0,0,0,1639860816
1786372720140,0,0,0,1639860816
1786372720342,0,0,0,1639860816
1786372720547,0,0,0,1639860816
1786372721008,268435456,268435456,266518528,1637927672
1786372721219,268435456,268435456,266518528,1637927672
1786372721428,268435456,268435456,266518528,1637927672
1786372721629,268435456,268435456,266518528,1637927672
1786372721837,268435456,268435456,266518528,1637927672
1786372722294,268435456,268435456,266518528,1638664952
1786372722496,268435456,268435456,266518528,1638664952
1786372722702,268435456,268435456,266518528,1638664952
1786372722908,268435456,268435456,266518528,1638664952
1786372723118,268435456,268435456,266518528,1638664952
1786372723582,536870912,536870912,533774336,1669417936
1786372723793,536870912,536870912,533774336,1696615424
1786372723993,536870912,536870912,533774336,1698417664
1786372724196,536870912,536870912,533774336,1756318816
1786372724397,536870912,536870912,533774336,1784515728
1786372724845,536870912,536870912,533774336,1785924752
1786372725055,536870912,536870912,533774336,1785957520
1786372725256,536870912,536870912,533774336,1785957520
1786372725461,536870912,536870912,533774336,1785957520
1786372725662,536870912,536870912,533774336,1785957520
1786372726129,805306368,805306368,799014912,1736150304
1786372726340,805306368,805306368,799014912,1736150304
1786372726543,805306368,805306368,799014912,1736150304
1786372726753,805306368,805306368,799014912,1736150304
1786372726963,805306368,805306368,799014912,1736150304
1786372727424,805306368,805306368,799014912,1736412448
1786372727630,805306368,805306368,799014912,1736412448
1786372727837,805306368,805306368,799014912,1736412448
1786372728046,805306368,805306368,799014912,1736412448
1786372728253,805306368,805306368,799014912,1736412448
1786372728731,1073741824,1073741824,1066795008,1737723360
1786372728941,1073741824,1073741824,1066795008,1737723360
1786372729144,1073741824,1073741824,1066795008,1737723360
1786372729346,1073741824,1073741824,1066795008,1737723360
1786372729556,1073741824,1073741824,1066795008,1737723360
1786372730024,1073741824,1073741824,1066795008,1739738592
1786372730226,1073741824,1073741824,1066795008,1739738592
1786372730437,1073741824,1073741824,1066795008,1739738592
1786372730639,1073741824,1073741824,1066795008,1739738592
1786372730841,1073741824,1073741824,1066795008,1739738592
1786372731309,1342177280,1342177280,1333805056,1734069944
1786372731520,1342177280,1342177280,1333805056,1734069944
1786372731722,1342177280,1342177280,1333805056,1734069944
1786372731931,1342177280,1342177280,1333805056,1734069944
1786372732132,1342177280,1342177280,1333805056,1734086328
1786372732609,1342177280,1342177280,1333805056,1736052432
1786372732811,1342177280,1342177280,1333805056,1736036048
1786372733015,1342177280,1342177280,1333805056,1736036048
1786372733220,1342177280,1342177280,1333805056,1736036048
1786372733430,1342177280,1342177280,1333805056,1736052432
1786372733887,1610612736,1610612736,1598832640,1735921552
1786372734098,1610612736,1610612736,1598832640,1735921552
