ts_ms,mem_total_kib,mem_free_kib,mem_available_kib,cached_kib,swap_free_kib,mem_some_avg10,mem_some_total_us,mem_full_avg10,mem_full_total_us,io_some_avg10,io_some_total_us,io_full_avg10,io_full_total_us,pgmajfault,pswpin,pswpout,pgscan_kswapd,pgsteal_kswapd,pgscan_direct,pgsteal_direct,kswapd_cpu_ticks
1786373437017,16325864,15540764,15675444,322548,8388604,0,30,0,30,193,493277,151,401384,286,0,0,0,0,0,0,0
1786373437275,16325864,15535500,15670684,323004,8388604,0,30,0,30,193,512311,151,419828,286,0,0,0,0,0,0,0
1786373437530,16325864,15535248,15670664,323212,8388604,0,30,0,30,193,528628,151,436095,286,0,0,0,0,0,0,0
1786373437781,16325864,15535248,15670664,323212,8388604,0,30,0,30,193,528628,151,436095,286,0,0,0,0,0,0,0
1786373438034,16325864,15535248,15670672,323220,8388604,0,30,0,30,193,528628,151,436095,286,0,0,0,0,0,0,0
1786373438289,16325864,15536572,15671996,323220,8388604,0,30,0,30,193,528628,151,436095,286,0,0,0,0,0,0,0
1786373438547,16325864,15536572,15671996,323220,8388604,0,30,0,30,248,528628,214,436095,286,0,0,0,0,0,0,0
1786373438800,16325864,15535576,15671208,323468,8388604,0,30,0,30,248,549994,214,456765,286,0,0,0,0,0,0,0
1786373439055,16325864,15535576,15671208,323468,8388604,0,30,0,30,248,549994,214,456765,286,0,0,0,0,0,0,0
1786373439316,16325864,15535576,15671264,323480,8388604,0,30,0,30,248,549994,214,456765,286,0,0,0,0,0,0,0
1786373439577,16325864,15535576,15671264,323480,8388604,0,30,0,30,248,549994,214,456765,286,0,0,0,0,0,0,0
1786373439830,16325864,15535576,15671264,323480,8388604,0,30,0,30,248,549994,214,456765,286,0,0,0,0,0,0,0
1786373440081,16325864,15543940,15679816,323668,8388604,0,30,0,30,248,565868,214,472376,286,0,0,0,0,0,0,0
1786373440334,16325864,15543828,15679708,323684,8388604,0,30,0,30,248,565868,214,472376,286,0,0,0,0,0,0,0
1786373440586,16325864,15543828,15679708,323688,8388604,0,30,0,30,221,565868,193,472376,286,0,0,0,0,0,0,0
1786373440847,16325864,15543828,15679708,323688,8388604,0,30,0,30,221,565868,193,472376,286,0,0,0,0,0,0,0
1786373441100,16325864,15543828,15679708,323688,8388604,0,30,0,30,221,565868,193,472376,286,0,0,0,0,0,0,0
1786373441351,16325864,15550072,15686052,323844,8388604,0,30,0,30,221,583557,193,489996,286,0,0,0,0,0,0,0
1786373441602,16325864,15475928,15657604,369388,8388604,0,30,0,30,221,606894,193,510212,291,0,0,0,0,0,0,0
1786373441853,16325864,15471084,15610660,327388,8388604,0,30,0,30,221,639570,193,541056,291,0,0,0,0,0,0,0
1786373442103,16325864,15425036,15638988,396024,8388604,0,30,0,30,221,650774,193,551565,305,0,0,0,0,0,0,0
1786373442354,16325864,15482108,15659644,359348,8388604,0,30,0,30,221,667113,193,567330,309,0,0,0,0,0,0,0
1786373442605,16325864,15482068,15660240,359972,8388604,0,30,0,30,272,708900,229,605828,310,0,0,0,0,0,0,0
1786373442868,16325864,15482068,15660272,359996,8388604,0,30,0,30,272,708900,229,605828,310,0,0,0,0,0,0,0
1786373443120,16325864,15482068,15660268,360088,8388604,0,30,0,30,272,709475,229,606389,310,0,0,0,0,0,0,0
1786373443380,16325864,15482068,15660268,360088,8388604,0,30,0,30,272,709475,229,606389,310,0,0,0,0,0,0,0
1786373443635,16325864,15482068,15660268,360088,8388604,0,30,0,30,272,709475,229,606389,310,0,0,0,0,0,0,0
1786373443887,16325864,15482068,15660632,360364,8388604,0,30,0,30,272,729131,229,624852,310,0,0,0,0,0,0,0
1786373444139,16325864,15482068,15660660,360392,8388604,0,30,0,30,272,729131,229,624852,310,0,0,0,0,0,0,0
1786373444391,16325864,15482068,15660660,360396,8388604,0,30,0,30,277,729131,225,624852,310,0,0,0,0,0,0,0
1786373444649,16325864,15482068,15660660,360396,8388604,0,30,0,30,277,729131,225,624852,310,0,0,0,0,0,0,0
1786373444909,16325864,15482068,15660660,360396,8388604,0,30,0,30,277,729131,225,624852,310,0,0,0,0,0,0,0
1786373445161,16325864,15482460,15661188,360520,8388604,0,30,0,30,277,741030,225,636699,310,0,0,0,0,0,0,0
1786373445412,16325864,15482476,15661288,360604,8388604,0,30,0,30,277,741030,225,636699,310,0,0,0,0,0,0,0
1786373445663,16325864,15482476,15661288,360604,8388604,0,30,0,30,277,741030,225,636699,310,0,0,0,0,0,0,0
1786373445916,16325864,15482476,15661288,360604,8388604,0,30,0,30,277,741030,225,636699,310,0,0,0,0,0,0,0
1786373446169,16325864,15482476,15661164,360608,8388604,0,30,0,30,277,741030,225,636699,310,0,0,0,0,0,0,0
1786373446420,16325864,15490508,15669196,360616,8388604,0,30,0,30,227,741030,184,636699,310,0,0,0,0,0,0,0
1786373446673,16325864,15490004,15668952,360864,8388604,0,30,0,30,227,761951,184,656876,310,0,0,0,0,0,0,0
1786373446932,16325864,15490004,15668952,360868,8388604,0,30,0,30,227,761951,184,656876,310,0,0,0,0,0,0,0
1786373447185,16325864,15490004,15668952,360868,8388604,0,30,0,30,227,761951,184,656876,310,0,0,0,0,0,0,0
1786373447438,16325864,15490004,15668952,360868,8388604,0,30,0,30,227,761951,184,656876,310,0,0,0,0,0,0,0
1786373447689,16325864,15496156,15675116,360868,8388604,0,30,0,30,227,761951,184,656876,310,0,0,0,0,0,0,0
1786373447941,16325864,15498788,15677976,361104,8388604,0,30,0,30,227,779395,184,674319,310,0,0,0,0,0,0,0
1786373448192,16325864,15499152,15678340,361108,8388604,0,30,0,30,227,779395,184,674319,310,0,0,0,0,0,0,0
1786373448445,16325864,15499152,15678340,361108,8388604,0,30,0,30,204,779395,169,674319,310,0,0,0,0,0,0,0
1786373448703,16325864,15499152,15678340,361108,8388604,0,30,0,30,204,779395,169,674319,310,0,0,0,0,0,0,0
1786373448964,16325864,15499152,15678340,361108,8388604,0,30,0,30,204,779395,169,674319,310,0,0,0,0,0,0,0
1786373449218,16325864,15506376,15685828,361360,8388604,0,30,0,30,204,800903,169,695186,310,0,0,0,0,0,0,0
1786373449483,16325864,15511560,15691012,361360,8388604,0,30,0,30,204,800903,169,695186,310,0,0,0,0,0,0,0
1786373449741,16325864,15511928,15691384,361364,8388604,0,30,0,30,204,800903,169,695186,310,0,0,0,0,0,0,0
1786373450001,16325864,15511928,15691384,361364,8388604,0,30,0,30,204,800903,169,695186,310,0,0,0,0,0,0,0
1786373450253,16325864,15517704,15697160,361364,8388604,0,30,0,30,204,800903,169,695186,310,0,0,0,0,0,0,0
1786373450513,16325864,15527568,15707252,361600,8388604,0,30,0,30,202,820918,174,715172,310,0,0,0,0,0,0,0
1786373450771,16325864,15527568,15707252,361600,8388604,0,30,0,30,202,820918,174,715172,310,0,0,0,0,0,0,0
1786373451027,16325864,15527568,15707252,361600,8388604,0,30,0,30,202,820918,174,715172,310,0,0,0,0,0,0,0
1786373451285,16325864,15538440,15718124,361600,8388604,0,30,0,30,202,820918,174,715172,310,0,0,0,0,0,0,0
1786373451544,16325864,15538440,15718124,361600,8388604,0,30,0,30,202,820918,174,715172,310,0,0,0,0,0,0,0
1786373451798,16325864,15539708,15719604,361808,8388604,0,30,0,30,202,839693,174,733882,310,0,0,0,0,0,0,0
1786373452058,16325864,15539708,15719604,361808,8388604,0,30,0,30,202,839693,174,733882,310,0,0,0,0,0,0,0
1786373452312,16325864,15545240,15725136,361808,8388604,0,30,0,30,202,839693,174,733882,310,0,0,0,0,0,0,0
1786373452564,16325864,15547444,15727528,362080,8388604,0,30,0,30,166,856023,143,749307,310,0,0,0,0,0,0,0
1786373452819,16325864,15558728,15739600,362764,8388604,0,30,0,30,166,888631,143,780617,310,0,0,0,0,0,0,0
1786373453069,16325864,15487856,15712656,406572,8388604,0,30,0,30,166,899701,143,789340,310,0,0,0,0,0,0,0
1786373453320,16325864,15558796,15740248,363340,8388604,0,30,0,30,166,922600,143,811852,310,0,0,0,0,0,0,0
1786373453587,16325864,15558796,15740248,363340,8388604,0,30,0,30,166,922600,143,811852,310,0,0,0,0,0,0,0
1786373453849,16325864,15558796,15740248,363340,8388604,0,30,0,30,166,922600,143,811852,310,0,0,0,0,0,0,0
1786373454102,16325864,15558796,15740248,363340,8388604,0,30,0,30,166,922600,143,811852,310,0,0,0,0,0,0,0
1786373454364,16325864,15558040,15739912,363668,8388604,0,30,0,30,166,960621,143,848035,310,0,0,0,0,0,0,0
1786373454616,16325864,15558040,15739912,363676,8388604,0,30,0,30,244,960621,206,848035,310,0,0,0,0,0,0,0
1786373454875,16325864,15558040,15739920,363676,8388604,0,30,0,30,244,960621,206,848035,310,0,0,0,0,0,0,0
1786373455129,16325864,15558040,15739920,363676,8388604,0,30,0,30,244,960621,206,848035,310,0,0,0,0,0,0,0
1786373455385,16325864,15558040,15739920,363676,8388604,0,30,0,30,244,960621,206,848035,310,0,0,0,0,0,0,0
1786373455639,16325864,15557788,15739876,363888,8388604,0,30,0,30,244,986318,206,873722,310,0,0,0,0,0,0,0
1786373455890,16325864,15557788,15739876,363884,8388604,0,30,0,30,244,986318,206,873722,310,0,0,0,0,0,0,0
1786373456144,16325864,15557788,15739876,363892,8388604,0,30,0,30,244,986318,206,873722,310,0,0,0,0,0,0,0
1786373456402,16325864,15559016,15741104,363892,8388604,0,30,0,30,218,986318,188,873722,310,0,0,0,0,0,0,0
1786373456661,16325864,15559016,15741104,363892,8388604,0,30,0,30,218,986318,188,873722,310,0,0,0,0,0,0,0
1786373456922,16325864,15561512,15743856,364144,8388604,0,30,0,30,218,1011881,188,898804,310,0,0,0,0,0,0,0
1786373457173,16325864,15561512,15743856,364144,8388604,0,30,0,30,218,1011881,188,898804,310,0,0,0,0,0,0,0
1786373457435,16325864,15561512,15743856,364144,8388604,0,30,0,30,218,1011881,188,898804,310,0,0,0,0,0,0,0
1786373457690,16325864,15561512,15743856,364144,8388604,0,30,0,30,218,1011881,188,898804,310,0,0,0,0,0,0,0
1786373457950,16325864,15561512,15743856,364144,8388604,0,30,0,30,218,1011881,188,898804,310,0,0,0,0,0,0,0
1786373458202,16325864,15565572,15748140,364368,8388604,0,30,0,30,218,1030884,188,917799,310,0,0,0,0,0,0,0
1786373458462,16325864,15566616,15749212,364448,8388604,0,30,0,30,269,1094014,244,980796,310,0,0,0,0,0,0,0
1786373458722,16325864,15566616,15749368,364560,8388604,0,30,0,30,269,1094014,244,980796,310,0,0,0,0,0,0,0
1786373458979,16325864,15566616,15749368,364560,8388604,0,30,0,30,269,1094014,244,980796,310,0,0,0,0,0,0,0
1786373459234,16325864,15568388,15751140,364560,8388604,0,30,0,30,269,1094014,244,980796,310,0,0,0,0,0,0,0
1786373459486,16325864,15570444,15753340,364764,8388604,0,30,0,30,269,1105042,244,991818,310,0,0,0,0,0,0,0
1786373459740,16325864,15570352,15753316,364768,8388604,0,30,0,30,269,1105042,244,991818,310,0,0,0,0,0,0,0
1786373460001,16325864,15570352,15753316,364768,8388604,0,30,0,30,269,1105042,244,991818,310,0,0,0,0,0,0,0
1786373460254,16325864,15572240,15755204,364768,8388604,0,30,0,30,269,1105042,244,991818,310,0,0,0,0,0,0,0
1786373460515,16325864,15574712,15757676,364768,8388604,0,30,0,30,220,1105042,200,991818,310,0,0,0,0,0,0,0
1786373460767,16325864,15575508,15758612,364936,8388604,0,30,0,30,220,1120837,200,1007543,310,0,0,0,0,0,0,0
1786373461027,16325864,15575452,15758568,364924,8388604,0,30,0,30,220,1120837,200,1007543,310,0,0,0,0,0,0,0
1786373461279,16325864,15578404,15761520,364924,8388604,0,30,0,30,220,1120837,200,1007543,310,0,0,0,0,0,0,0
1786373461536,16325864,15578496,15761620,364924,8388604,0,30,0,30,220,1120837,200,1007543,310,0,0,0,0,0,0,0
1786373461793,16325864,15578496,15761620,364924,8388604,0,30,0,30,220,1120837,200,1007543,310,0,0,0,0,0,0,0
1786373462045,16325864,15578328,15761456,364952,8388604,0,30,0,30,220,1134450,200,1021115,310,0,0,0,0,0,0,0
1786373462296,16325864,15579160,15762264,364932,8388604,0,30,0,30,220,1134450,200,1021115,310,0,0,0,0,0,0,0
1786373462553,16325864,15579160,15762272,364940,8388604,0,30,0,30,198,1134450,182,1021115,310,0,0,0,0,0,0,0
1786373462805,16325864,15579484,15762600,364940,8388604,0,30,0,30,198,1134635,182,1021300,310,0,0,0,0,0,0,0
1786373463063,16325864,15579484,15762600,364940,8388604,0,30,0,30,198,1134635,182,1021300,310,0,0,0,0,0,0,0
1786373463315,16325864,15579176,15762324,364960,8388604,0,30,0,30,198,1161943,182,1046493,310,0,0,0,0,0,0,0
1786373463566,16325864,15571784,15759248,369292,8388604,0,30,0,30,198,1177387,182,1061911,310,0,0,0,0,0,0,0
1786373463826,16325864,15514944,15698340,365188,8388604,0,30,0,30,198,1209988,182,1093654,310,0,0,0,0,0,0,0
1786373464077,16325864,15512200,15695804,365392,8388604,0,30,0,30,198,1209988,182,1093654,310,0,0,0,0,0,0,0
1786373464328,16325864,15478908,15705864,408740,8388604,0,30,0,30,198,1209988,182,1093654,310,0,0,0,0,0,0,0
1786373464578,16325864,15517844,15701296,365244,8388604,0,30,0,30,217,1249142,202,1131536,310,0,0,0,0,0,0,0
1786373464839,16325864,15518008,15701460,365240,8388604,0,30,0,30,217,1249142,202,1131536,310,0,0,0,0,0,0,0
1786373465095,16325864,15518008,15701464,365244,8388604,0,30,0,30,217,1249555,202,1131948,310,0,0,0,0,0,0,0
1786373465347,16325864,15525768,15709224,365244,8388604,0,30,0,30,217,1249555,202,1131948,310,0,0,0,0,0,0,0
1786373465601,16325864,15525768,15709224,365244,8388604,0,30,0,30,217,1262519,202,1136572,310,0,0,0,0,0,0,0
1786373465853,16325864,15525796,15709260,365256,8388604,0,30,0,30,217,1271160,202,1145200,310,0,0,0,0,0,0,0
1786373466108,16325864,15526116,15709560,365232,8388604,0,30,0,30,217,1281982,202,1155987,310,0,0,0,0,0,0,0
1786373466364,16325864,15526116,15709628,365308,8388604,0,30,0,30,217,1281982,202,1155987,310,0,0,0,0,0,0,0
1786373466625,16325864,15533464,15716976,365308,8388604,0,30,0,30,231,1281982,221,1155987,310,0,0,0,0,0,0,0
1786373466885,16325864,15533464,15716976,365308,8388604,0,30,0,30,231,1281982,221,1155987,310,0,0,0,0,0,0,0
1786373467136,16325864,15535408,15718976,365372,8388604,0,30,0,30,231,1300545,221,1174550,310,0,0,0,0,0,0,0
1786373467386,16325864,15536032,15719600,365356,8388604,0,30,0,30,231,1310051,221,1183601,310,0,0,0,0,0,0,0
1786373467642,16325864,15536032,15719600,365356,8388604,0,30,0,30,231,1310051,221,1183601,310,0,0,0,0,0,0,0
1786373467902,16325864,15536032,15719600,365356,8388604,0,30,0,30,231,1310051,221,1183601,310,0,0,0,0,0,0,0
1786373468164,16325864,15536032,15719600,365356,8388604,0,30,0,30,231,1310051,221,1183601,310,0,0,0,0,0,0,0
1786373468416,16325864,15541976,15725552,365360,8388604,0,30,0,30,208,1310051,199,1183601,310,0,0,0,0,0,0,0
1786373468677,16325864,15543044,15726688,365428,8388604,0,30,0,30,208,1326876,199,1200358,310,0,0,0,0,0,0,0
1786373468938,16325864,15543044,15726688,365432,8388604,0,30,0,30,208,1326876,199,1200358,310,0,0,0,0,0,0,0
1786373469199,16325864,15548264,15731908,365432,8388604,0,30,0,30,208,1326876,199,1200358,310,0,0,0,0,0,0,0
1786373469453,16325864,15548264,15731916,365436,8388604,0,30,0,30,208,1326876,199,1200358,310,0,0,0,0,0,0,0
1786373469704,16325864,15548264,15731920,365440,8388604,0,30,0,30,208,1326876,199,1200358,310,0,0,0,0,0,0,0
1786373469965,16325864,15549620,15733336,365496,8388604,0,30,0,30,208,1347964,199,1221436,310,0,0,0,0,0,0,0
1786373470217,16325864,15553096,15736816,365500,8388604,0,30,0,30,208,1355932,199,1228803,310,0,0,0,0,0,0,0
1786373470471,16325864,15553096,15736816,365500,8388604,0,30,0,30,206,1365709,199,1238581,310,0,0,0,0,0,0,0
1786373470724,16325864,15553096,15736816,365500,8388604,0,30,0,30,206,1365709,199,1238581,310,0,0,0,0,0,0,0
1786373470976,16325864,15553096,15736816,365500,8388604,0,30,0,30,206,1365709,199,1238581,310,0,0,0,0,0,0,0
1786373471227,16325864,15558216,15741992,365564,8388604,0,30,0,30,206,1394360,199,1263275,310,0,0,0,0,0,0,0
1786373471485,16325864,15558216,15741992,365564,8388604,0,30,0,30,206,1394360,199,1263275,310,0,0,0,0,0,0,0
1786373471737,16325864,15558216,15741992,365564,8388604,0,30,0,30,206,1394360,199,1263275,310,0,0,0,0,0,0,0
1786373471990,16325864,15558216,15741992,365564,8388604,0,30,0,30,206,1394360,199,1263275,310,0,0,0,0,0,0,0
1786373472243,16325864,15562088,15745864,365564,8388604,0,30,0,30,206,1394360,199,1263275,310,0,0,0,0,0,0,0
1786373472497,16325864,15562760,15746560,365572,8388604,0,30,0,30,204,1408788,181,1277683,310,0,0,0,0,0,0,0
1786373472757,16325864,15562760,15746560,365572,8388604,0,30,0,30,204,1408788,181,1277683,310,0,0,0,0,0,0,0
1786373473016,16325864,15562760,15746560,365572,8388604,0,30,0,30,204,1408788,181,1277683,310,0,0,0,0,0,0,0
1786373473274,16325864,15562780,15746652,365644,8388604,0,30,0,30,204,1408788,181,1277683,310,0,0,0,0,0,0,0
1786373473526,16325864,15562780,15746652,365644,8388604,0,30,0,30,204,1408788,181,1277683,310,0,0,0,0,0,0,0
1786373473787,16325864,15566136,15750004,365660,8388604,0,30,0,30,204,1425974,181,1294198,310,0,0,0,0,0,0,0
1786373474041,16325864,15566136,15750004,365660,8388604,0,30,0,30,204,1425974,181,1294198,310,0,0,0,0,0,0,0
1786373474302,16325864,15566620,15750488,365660,8388604,0,30,0,30,204,1425974,181,1294198,310,0,0,0,0,0,0,0
1786373474555,16325864,15567208,15751084,365672,8388604,0,30,0,30,168,1437931,148,1306156,310,0,0,0,0,0,0,0
1786373474806,16325864,15528680,15713188,366276,8388604,0,30,0,30,168,1475194,148,1340389,310,0,0,0,0,0,0,0
1786373475058,16325864,15528680,15713216,366308,8388604,0,30,0,30,168,1503426,148,1367781,310,0,0,0,0,0,0,0
