ts_ms,mem_total_kib,mem_free_kib,mem_available_kib,cached_kib,swap_free_kib,mem_some_avg10,mem_some_total_us,mem_full_avg10,mem_full_total_us,io_some_avg10,io_some_total_us,io_full_avg10,io_full_total_us,pgmajfault,pswpin,pswpout,pgscan_kswapd,pgsteal_kswapd,pgscan_direct,pgsteal_direct,kswapd_cpu_ticks
1786383844028,10280960,9304448,8938688,392160,8388592,0,610,0,170,236,533415,174,414873,556,0,0,0,0,0,0,0
1786383844279,10280960,9312752,8947184,392592,8388592,0,610,0,170,236,551047,174,431559,557,0,0,0,0,0,0,0
1786383844530,10280960,9311568,8946080,392720,8388592,0,610,0,170,236,565882,174,446369,557,0,0,0,0,0,0,0
1786383844781,10280960,9309408,8944048,393072,8388592,0,610,0,170,236,580743,174,460699,559,0,0,0,0,0,0,0
1786383845037,10280960,8732864,8680480,962992,8388592,0,610,0,170,236,597095,174,476352,560,0,0,0,0,0,0,0
1786383845290,10280960,8296128,8624560,1343120,8388592,0,610,0,170,338,679368,269,528161,560,0,0,0,0,0,0,0
1786383845544,10280960,7374704,8651104,2291776,8388592,0,610,0,170,338,759414,269,604561,560,0,0,0,0,0,0,0
1786383845797,10280960,6591632,8654256,3077424,8388592,0,610,0,170,338,769692,269,611808,560,0,0,0,0,0,0,0
1786383846047,10280960,5939536,8677136,3751744,8388592,0,610,0,170,338,783521,269,619641,560,0,0,0,0,0,0,0
1786383846298,10280960,5244256,8690160,4459696,8388592,0,610,0,170,338,798422,269,627948,560,0,0,0,0,0,0,0
1786383846548,10280960,4391888,8694992,5316800,8388592,0,610,0,170,338,805851,269,630471,560,0,0,0,0,0,0,0
1786383846799,10280960,3447232,8696096,6262320,8388592,0,610,0,170,338,811733,269,634546,560,0,0,0,0,0,0,0
1786383847049,10280960,2781456,8690480,6922992,8388592,0,610,0,170,338,826724,269,636234,560,0,0,0,0,0,0,0
1786383847300,10280960,2214832,8686656,7484752,8388592,0,610,0,170,404,839574,311,642332,560,0,0,0,0,0,0,0
1786383847553,10280960,1557120,8687360,8143168,8388592,0,610,0,170,404,853765,311,642908,560,0,0,0,0,0,0,0
1786383847807,10280960,894128,8676720,8795424,8388592,0,610,0,170,404,865260,311,648549,561,0,0,0,0,0,0,0
1786383848065,10280960,887568,8671168,8796256,8388592,0,610,0,170,404,896276,311,664726,561,0,0,0,0,0,0,0
1786383848319,10280960,887568,8671408,8796256,8388592,0,610,0,170,404,896276,311,664726,561,0,0,0,0,0,0,0
1786383848570,10280960,887568,8671408,8796256,8388592,0,610,0,170,404,896276,311,664726,561,0,0,0,0,0,0,0
1786383848822,10280960,890048,8673920,8791424,8388592,0,610,0,170,404,896276,311,664726,561,0,0,0,0,0,0,0
1786383849072,10280960,890048,8673920,8791424,8388592,0,610,0,170,385,896276,273,664726,561,0,0,0,0,0,0,0
1786383849323,10280960,890048,8673936,8790816,8388592,0,610,0,170,385,896276,273,664726,561,0,0,0,0,0,0,0
1786383849575,10280960,890048,8673904,8790784,8388592,0,610,0,170,385,896276,273,664726,561,0,0,0,0,0,0,0
1786383849828,10280960,890048,8673904,8790784,8388592,0,610,0,170,385,897193,273,665613,561,0,0,0,0,0,0,0
1786383850083,10280960,889808,8673648,8790880,8388592,0,610,0,170,385,898000,273,666346,562,0,0,0,0,0,0,0
1786383850343,10280960,889808,8673648,8790880,8388592,0,610,0,170,385,898000,273,666346,562,0,0,0,0,0,0,0
1786383850605,10280960,889808,8673648,8790880,8388592,0,610,0,170,385,898000,273,666346,562,0,0,0,0,0,0,0
1786383850867,10280960,889808,8673648,8790896,8388592,0,610,0,170,385,898000,273,666346,562,0,0,0,0,0,0,0
1786383851118,10280960,889808,8673648,8790896,8388592,0,610,0,170,315,898000,223,666346,562,0,0,0,0,0,0,0
1786383851373,10280960,889808,8673648,8790896,8388592,0,610,0,170,315,898000,223,666346,562,0,0,0,0,0,0,0
1786383851632,10280960,889808,8673648,8790896,8388592,0,610,0,170,315,898000,223,666346,562,0,0,0,0,0,0,0
1786383851888,10280960,889808,8673648,8790896,8388592,0,610,0,170,315,898000,223,666346,562,0,0,0,0,0,0,0
1786383852142,10280960,889808,8673648,8790896,8388592,0,610,0,170,315,898000,223,666346,562,0,0,0,0,0,0,0
1786383852394,10280960,889808,8673648,8790896,8388592,0,610,0,170,315,898000,223,666346,562,0,0,0,0,0,0,0
1786383852645,10280960,889104,8673104,8790992,8388592,0,610,0,170,315,915452,223,683752,562,0,0,0,0,0,0,0
1786383852906,10280960,886944,8670976,8790992,8388592,0,610,0,170,315,931835,223,699878,562,0,0,0,0,0,0,0
1786383853162,10280960,884080,8668208,8791120,8388592,0,610,0,170,276,954343,200,722386,562,0,0,0,0,0,0,0
1786383853415,10228736,835776,8620176,8791312,8388592,0,610,0,170,276,965305,200,732502,563,0,0,0,0,0,0,0
1786383853666,9844736,664064,8315392,8658144,8388592,0,10434,0,8135,276,965305,200,732502,563,0,0,8465,8330,0,0,1
1786383853917,9362432,596960,7861152,8269344,8388592,0,13269,0,10970,276,965305,200,732502,563,0,0,32936,32620,0,0,2
1786383854167,8834048,565632,7337184,7775600,8388592,0,16161,0,13860,276,965305,200,732502,563,0,0,64022,63551,0,0,3
1786383854420,8345600,537792,6849696,7314912,8388592,0,18945,0,16643,276,965305,200,732502,563,0,0,92927,92396,0,0,5
1786383854673,8183808,593120,6689152,7098688,8388592,0,20322,0,18021,276,965325,200,732514,565,0,0,106494,105927,0,0,5
1786383854928,8183808,593120,6689152,7098688,8388592,0,20322,0,18021,276,965325,200,732514,565,0,0,106494,105927,0,0,5
1786383855189,8183808,593120,6689152,7098688,8388592,0,20322,0,18021,244,965325,182,732514,565,0,0,106494,105927,0,0,5
1786383855442,8183808,593120,6689152,7098688,8388592,0,20322,0,18021,244,965325,182,732514,565,0,0,106494,105927,0,0,5
1786383855699,8183808,593120,6689152,7098688,8388592,0,20322,0,18021,244,965325,182,732514,565,0,0,106494,105927,0,0,5
1786383855951,8183808,593120,6689152,7098688,8388592,0,20322,0,18021,244,965325,182,732514,565,0,0,106494,105927,0,0,5
1786383856210,8183808,593120,6689152,7098688,8388592,0,20322,0,18021,244,965325,182,732514,565,0,0,106494,105927,0,0,5
1786383856461,8183808,593120,6689152,7098688,8388592,0,20322,0,18021,244,965325,182,732514,565,0,0,106494,105927,0,0,5
1786383856717,8183808,593120,6689152,7098688,8388592,0,20322,0,18021,244,965325,182,732514,565,0,0,106494,105927,0,0,5
1786383856974,8183808,593120,6689152,7098688,8388592,0,20322,0,18021,244,965325,182,732514,565,0,0,106494,105927,0,0,5
1786383857227,8183808,593120,6689152,7098688,8388592,0,20322,0,18021,200,965325,149,732514,565,0,0,106494,105927,0,0,5
1786383857480,8183808,593120,6689152,7098688,8388592,0,20322,0,18021,200,965325,149,732514,565,0,0,106494,105927,0,0,5
1786383857741,8183808,593120,6689152,7098736,8388592,0,20322,0,18021,200,966654,149,733617,566,0,0,106494,105927,0,0,5
1786383858002,8183808,593120,6689152,7098736,8388592,0,20322,0,18021,200,966654,149,733617,566,0,0,106494,105927,0,0,5
1786383858257,8183808,593120,6689152,7098736,8388592,0,20322,0,18021,200,966654,149,733617,566,0,0,106494,105927,0,0,5
1786383858515,8183808,593120,6689152,7098736,8388592,0,20322,0,18021,200,966654,149,733617,566,0,0,106494,105927,0,0,5
1786383858774,8183808,593120,6689152,7098736,8388592,0,20322,0,18021,200,966654,149,733617,566,0,0,106494,105927,0,0,5
1786383859030,8183808,593120,6689152,7098736,8388592,0,20322,0,18021,163,966654,122,733617,566,0,0,106494,105927,0,0,5
1786383859284,8183808,593120,6689152,7098736,8388592,0,20322,0,18021,163,966654,122,733617,566,0,0,106494,105927,0,0,5
1786383859537,8183808,593120,6689152,7098848,8388592,0,20322,0,18021,163,969900,122,736446,570,0,0,106494,105927,0,0,5
1786383859797,8183808,593120,6689152,7098848,8388592,0,20322,0,18021,163,969900,122,736446,570,0,0,106494,105927,0,0,5
1786383860053,8183808,593120,6689152,7098848,8388592,0,20322,0,18021,163,969900,122,736446,570,0,0,106494,105927,0,0,5
1786383860309,8183808,592880,6688912,7098944,8388592,0,20322,0,18021,163,969900,122,736446,570,0,0,106494,105927,0,0,5
1786383860570,8183808,592880,6688912,7098944,8388592,0,20322,0,18021,163,969900,122,736446,570,0,0,106494,105927,0,0,5
1786383860832,8183808,592880,6688912,7098944,8388592,0,20322,0,18021,163,969900,122,736446,570,0,0,106494,105927,0,0,5
1786383861091,8183808,592880,6688912,7098944,8388592,0,20322,0,18021,134,969900,100,736446,570,0,0,106494,105927,0,0,5
1786383861353,8183808,592880,6688912,7098944,8388592,0,20322,0,18021,134,969900,100,736446,570,0,0,106494,105927,0,0,5
