ts_ms,ic_balance,ic_credit,ic_debit,phys_footprint,swappedout_segs
1786401393310,0,0,0,10261750611,14560
1786401463196,1550483193,3210488053,1661078601,10260676870,40654
1786401463417,1550483193,3210488053,1661078601,10260676870,40652
1786401523428,1467805073,8104603287,6636798214,6900938702,60590
1786401590712,1464583847,8104603287,6640019439,5702642827,17120
1786401658386,1268089094,8104603287,6836514193,7435662131,17027
1786401728455,1277752770,8122856898,6845104128,9618579259,43926
1786401738656,1277752770,8122856898,6845104128,9618579259,43696
1786401748673,1277752770,8122856898,6845104128,9618579259,42785
1786401758869,1277752770,8122856898,6846177869,9618579259,42494
1786401768909,1277752770,8122856898,6846177869,9618579259,41988
1786401779109,1276679028,8122856898,6846177869,9618579259,41660
1786401789310,1275605286,8122856898,6847251611,9618579259,41515
1786401799469,1275605286,8122856898,6847251611,9618579259,41384
1786401809671,1275605286,8122856898,6847251611,9618579259,41356
1786401819745,1409823014,8258148368,6848325353,9658307706,43214
1786401829768,1440961527,8289286881,6848325353,9763534405,43835
1786401839768,1567663063,8450348154,6882685091,9853728718,45687
1786401849947,1566589321,8450348154,6883758833,9862318653,47827
1786401859989,1566589321,8450348154,6883758833,9862318653,47803
1786401870159,1565515579,8450348154,6884832575,9862318653,47763
1786401880184,1565515579,8450348154,6884832575,9862318653,47756
1786401890198,1555851902,8450348154,6894496251,9862318653,47708
1786401900246,1554778161,8450348154,6895569993,9862318653,47685
1786401910248,1554778161,8450348154,6896643735,9862318653,47651
1786401920458,1553704419,8450348154,6896643735,9862318653,50137
1786401930523,1553704419,8450348154,6896643735,9862318653,50113
1786401940540,1552630677,8450348154,6897717477,9862318653,50084
1786401950716,1552630677,8450348154,6897717477,9862318653,50038
1786401960737,1552630677,8450348154,6897717477,9862318653,50129
1786401970756,1547261968,8450348154,6903086186,9862318653,50108
1786401980919,1545114484,8450348154,6905233670,9862318653,51146
1786401991145,1545114484,8450348154,6905233670,9862318653,51129
1786402001177,1542967001,8450348154,6907381153,9862318653,51118
1786402011178,1542967001,8450348154,6907381153,9862318653,51108
1786402021196,1542967001,8450348154,6907381153,9862318653,51070
1786402031396,1542967001,8450348154,6907381153,9862318653,51061
1786402041584,1541893259,8450348154,6908454895,9862318653,50935
1786402051592,1541893259,8450348154,6908454895,9862318653,50787
1786402061611,1542967001,8451421896,6908454895,9913858260,52991
1786402071638,1542967001,8451421896,6909528637,9913858260,52958
1786402078742,1539745775,8451421896,6911676121,9907415810,52830
1786402138775,1415191724,8667244003,7252052279,7224134991,68350
1786402207052,1410896756,8667244003,7256347246,6003290537,22074
1786402275084,1209033293,8667244003,7458210709,7174742867,21850
1786402344993,2837899640,12851615891,10013716250,8779986894,67922
1786402345217,2837899640,12851615891,10013716250,8779986894,67853
1786402405284,1875826966,13517335822,11641508855,7847978991,82763
1786402472364,1758789107,13517335822,11758546714,6201932775,23048
1786402540354,1496796102,13517335822,12020539719,6166499295,22745
1786402610471,3961033588,17559973789,13600013942,10378788470,67203
1786402610685,3958886105,17559973789,13601087684,10378788470,67202
1786402670774,2101312749,19241453486,17139066994,8093865869,82711
1786402737956,2050846883,19241453486,17189532860,6573447446,23259
1786402805648,1665373569,19241453486,17576079917,6767794716,22711
1786402875591,3961033588,23261542875,19300509286,9863392395,73167
1786402875804,3953517395,23261542875,19309099220,9817221496,73130
1786402935833,1999307276,23502061043,21502753767,7985417945,78015
1786403003271,1987496116,23502061043,21515638669,6649683116,23140
