[virglrs] vrend video: 29 frames  0.02 ms/frame  max 0.05 ms/command  0.0% of wall  (n=58 command over 2.0s)
[virglrs] vrend video: 61 frames  0.01 ms/frame  max 0.02 ms/command  0.0% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.03 ms/frame  max 0.08 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.03 ms/frame  max 0.07 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.04 ms/frame  max 0.34 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  0.04 ms/frame  max 0.46 ms/command  0.1% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 62 frames  0.04 ms/frame  max 0.14 ms/command  0.1% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 61 frames  0.04 ms/frame  max 0.12 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.04 ms/frame  max 0.11 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 65 frames  0.05 ms/frame  max 0.16 ms/command  0.1% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 65 frames  0.03 ms/frame  max 0.07 ms/command  0.1% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 63 frames  0.04 ms/frame  max 0.34 ms/command  0.1% of wall  (n=126 command over 2.0s)
[virglrs] vrend video: 61 frames  0.04 ms/frame  max 0.76 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.04 ms/frame  max 0.36 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  0.03 ms/frame  max 0.06 ms/command  0.1% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 64 frames  0.03 ms/frame  max 0.07 ms/command  0.1% of wall  (n=128 command over 2.0s)
[virglrs] vrend video: 65 frames  0.04 ms/frame  max 0.08 ms/command  0.1% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 64 frames  0.04 ms/frame  max 0.10 ms/command  0.1% of wall  (n=128 command over 2.0s)
[virglrs] vrend video: 61 frames  0.04 ms/frame  max 0.07 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 62 frames  0.04 ms/frame  max 0.09 ms/command  0.1% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 66 frames  0.04 ms/frame  max 0.13 ms/command  0.1% of wall  (n=132 command over 2.0s)
[virglrs] vrend video: 64 frames  0.05 ms/frame  max 0.88 ms/command  0.2% of wall  (n=128 command over 2.0s)
[virglrs] vrend video: 65 frames  0.05 ms/frame  max 0.37 ms/command  0.2% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 63 frames  0.04 ms/frame  max 0.08 ms/command  0.1% of wall  (n=126 command over 2.0s)
[virglrs] vrend video: 65 frames  0.05 ms/frame  max 0.47 ms/command  0.2% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 63 frames  0.04 ms/frame  max 0.14 ms/command  0.1% of wall  (n=126 command over 2.0s)
[virglrs] vrend video: 65 frames  0.04 ms/frame  max 0.16 ms/command  0.1% of wall  (n=130 command over 2.0s)
