[virglrs] video: VIRGLRS_DECODE_DELAY_MS makes every decode 15ms late
[virglrs] vrend video: 45 frames  0.01 ms/frame  max 0.05 ms/command  0.0% of wall  (n=90 command over 2.0s)
[virglrs] vrend video: 60 frames  0.02 ms/frame  max 0.04 ms/command  0.0% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  0.03 ms/frame  max 0.07 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.03 ms/frame  max 0.13 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.03 ms/frame  max 0.06 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.03 ms/frame  max 0.11 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 62 frames  0.04 ms/frame  max 0.21 ms/command  0.1% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 60 frames  0.04 ms/frame  max 0.27 ms/command  0.1% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  0.04 ms/frame  max 0.21 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 66 frames  0.04 ms/frame  max 0.29 ms/command  0.1% of wall  (n=132 command over 2.0s)
[virglrs] vrend video: 65 frames  0.04 ms/frame  max 0.28 ms/command  0.1% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 60 frames  0.04 ms/frame  max 0.07 ms/command  0.1% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 60 frames  0.03 ms/frame  max 0.29 ms/command  0.1% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 62 frames  0.03 ms/frame  max 0.07 ms/command  0.1% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 60 frames  0.04 ms/frame  max 0.40 ms/command  0.1% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 64 frames  0.03 ms/frame  max 0.08 ms/command  0.1% of wall  (n=128 command over 2.0s)
[virglrs] vrend video: 67 frames  0.03 ms/frame  max 0.07 ms/command  0.1% of wall  (n=134 command over 2.0s)
[virglrs] vrend video: 62 frames  0.03 ms/frame  max 0.10 ms/command  0.1% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 60 frames  0.03 ms/frame  max 0.06 ms/command  0.1% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 64 frames  0.04 ms/frame  max 0.08 ms/command  0.1% of wall  (n=128 command over 2.0s)
[virglrs] vrend video: 65 frames  0.03 ms/frame  max 0.10 ms/command  0.1% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 63 frames  0.04 ms/frame  max 0.08 ms/command  0.1% of wall  (n=126 command over 2.0s)
[virglrs] vrend video: 66 frames  0.03 ms/frame  max 0.09 ms/command  0.1% of wall  (n=132 command over 2.0s)
[virglrs] vrend video: 62 frames  0.04 ms/frame  max 0.09 ms/command  0.1% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 65 frames  0.03 ms/frame  max 0.07 ms/command  0.1% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 61 frames  0.04 ms/frame  max 0.19 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 65 frames  0.03 ms/frame  max 0.07 ms/command  0.1% of wall  (n=130 command over 2.0s)
