[virglrs] vrend video: 43 frames  0.02 ms/frame  max 0.06 ms/command  0.0% of wall  (n=86 command over 2.0s)
[virglrs] vrend video: 61 frames  0.02 ms/frame  max 0.04 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.03 ms/frame  max 0.09 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  0.04 ms/frame  max 0.18 ms/command  0.1% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  0.04 ms/frame  max 0.12 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.04 ms/frame  max 0.13 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.04 ms/frame  max 0.10 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.04 ms/frame  max 0.11 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.05 ms/frame  max 0.14 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  0.04 ms/frame  max 0.10 ms/command  0.1% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 62 frames  0.04 ms/frame  max 0.17 ms/command  0.1% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 60 frames  0.05 ms/frame  max 0.73 ms/command  0.2% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  0.03 ms/frame  max 0.10 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.05 ms/frame  max 0.10 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  0.05 ms/frame  max 0.17 ms/command  0.1% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 65 frames  0.03 ms/frame  max 0.10 ms/command  0.1% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 61 frames  0.04 ms/frame  max 0.10 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 65 frames  0.04 ms/frame  max 0.10 ms/command  0.1% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 63 frames  0.05 ms/frame  max 0.73 ms/command  0.2% of wall  (n=126 command over 2.0s)
[virglrs] vrend video: 63 frames  0.04 ms/frame  max 0.10 ms/command  0.1% of wall  (n=126 command over 2.0s)
[virglrs] vrend video: 64 frames  0.04 ms/frame  max 0.18 ms/command  0.1% of wall  (n=128 command over 2.0s)
[virglrs] vrend video: 64 frames  0.04 ms/frame  max 0.22 ms/command  0.1% of wall  (n=128 command over 2.0s)
[virglrs] vrend video: 59 frames  0.04 ms/frame  max 0.10 ms/command  0.1% of wall  (n=118 command over 2.0s)
[virglrs] vrend video: 62 frames  0.04 ms/frame  max 0.09 ms/command  0.1% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 59 frames  0.04 ms/frame  max 0.10 ms/command  0.1% of wall  (n=118 command over 2.0s)
[virglrs] vrend video: 62 frames  0.05 ms/frame  max 0.21 ms/command  0.2% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 65 frames  0.04 ms/frame  max 0.10 ms/command  0.1% of wall  (n=130 command over 2.0s)
