[virglrs] vrend video: 41 frames  7.52 ms/frame  max 79.61 ms/command  15.2% of wall  (n=82 command over 2.0s)
[virglrs] vrend video: 60 frames  5.27 ms/frame  max 6.81 ms/command  15.8% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  6.40 ms/frame  max 10.78 ms/command  19.5% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  6.08 ms/frame  max 8.55 ms/command  18.5% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  6.72 ms/frame  max 11.86 ms/command  20.4% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  6.92 ms/frame  max 13.79 ms/command  20.7% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  6.87 ms/frame  max 10.57 ms/command  20.9% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  7.09 ms/frame  max 14.10 ms/command  21.5% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  7.44 ms/frame  max 12.57 ms/command  22.6% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  6.78 ms/frame  max 9.41 ms/command  20.3% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 60 frames  6.80 ms/frame  max 11.19 ms/command  20.4% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  7.17 ms/frame  max 11.50 ms/command  21.8% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  6.68 ms/frame  max 11.45 ms/command  19.9% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 62 frames  6.76 ms/frame  max 10.31 ms/command  20.9% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 60 frames  6.97 ms/frame  max 10.87 ms/command  20.6% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 62 frames  6.67 ms/frame  max 12.82 ms/command  20.6% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 60 frames  6.72 ms/frame  max 9.15 ms/command  20.2% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  7.50 ms/frame  max 14.51 ms/command  22.7% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  7.16 ms/frame  max 11.39 ms/command  21.4% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 62 frames  7.24 ms/frame  max 10.80 ms/command  22.4% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 60 frames  7.41 ms/frame  max 12.53 ms/command  22.2% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  6.89 ms/frame  max 10.71 ms/command  20.9% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  6.62 ms/frame  max 10.37 ms/command  19.8% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  7.02 ms/frame  max 14.42 ms/command  21.4% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  6.94 ms/frame  max 12.37 ms/command  20.8% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  6.70 ms/frame  max 11.00 ms/command  20.4% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  7.10 ms/frame  max 10.61 ms/command  21.6% of wall  (n=122 command over 2.0s)
