[virglrs] vrend video: 44 frames  2.88 ms/frame  max 63.85 ms/command  6.3% of wall  (n=88 command over 2.0s)
[virglrs] vrend video: 60 frames  1.46 ms/frame  max 2.48 ms/command  4.4% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 62 frames  2.43 ms/frame  max 9.22 ms/command  7.5% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 60 frames  2.16 ms/frame  max 4.04 ms/command  6.5% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  2.29 ms/frame  max 6.95 ms/command  6.9% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  2.41 ms/frame  max 6.68 ms/command  7.3% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 62 frames  2.32 ms/frame  max 3.98 ms/command  7.2% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 61 frames  2.53 ms/frame  max 7.09 ms/command  7.7% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  2.73 ms/frame  max 6.57 ms/command  8.2% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 65 frames  2.47 ms/frame  max 12.02 ms/command  8.0% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 67 frames  2.38 ms/frame  max 6.91 ms/command  7.9% of wall  (n=134 command over 2.0s)
[virglrs] vrend video: 60 frames  2.66 ms/frame  max 8.32 ms/command  7.9% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 60 frames  2.15 ms/frame  max 5.68 ms/command  6.4% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 62 frames  3.21 ms/frame  max 11.14 ms/command  9.9% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 60 frames  2.44 ms/frame  max 7.17 ms/command  7.3% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 65 frames  2.24 ms/frame  max 5.54 ms/command  7.3% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 64 frames  2.51 ms/frame  max 6.94 ms/command  8.0% of wall  (n=128 command over 2.0s)
[virglrs] vrend video: 64 frames  2.55 ms/frame  max 6.31 ms/command  8.2% of wall  (n=128 command over 2.0s)
[virglrs] vrend video: 60 frames  2.46 ms/frame  max 6.10 ms/command  7.3% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 63 frames  2.65 ms/frame  max 8.47 ms/command  8.3% of wall  (n=126 command over 2.0s)
[virglrs] vrend video: 66 frames  2.40 ms/frame  max 6.25 ms/command  7.9% of wall  (n=132 command over 2.0s)
[virglrs] vrend video: 63 frames  2.38 ms/frame  max 8.29 ms/command  7.3% of wall  (n=126 command over 2.0s)
[virglrs] vrend video: 66 frames  2.45 ms/frame  max 7.46 ms/command  8.0% of wall  (n=132 command over 2.0s)
[virglrs] vrend video: 63 frames  3.00 ms/frame  max 10.33 ms/command  9.3% of wall  (n=126 command over 2.0s)
[virglrs] vrend video: 65 frames  2.62 ms/frame  max 8.68 ms/command  8.5% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 63 frames  2.46 ms/frame  max 7.69 ms/command  7.7% of wall  (n=126 command over 2.0s)
[virglrs] vrend video: 66 frames  2.27 ms/frame  max 5.07 ms/command  7.5% of wall  (n=132 command over 2.0s)
