[virglrs] video: VIRGLRS_DECODE_DELAY_MS makes every decode 15ms late
[virglrs] vrend video: 42 frames  20.57 ms/frame  max 82.08 ms/command  43.1% of wall  (n=84 command over 2.0s)
[virglrs] vrend video: 60 frames  18.83 ms/frame  max 24.01 ms/command  56.1% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 62 frames  21.42 ms/frame  max 27.90 ms/command  65.9% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 60 frames  22.01 ms/frame  max 33.16 ms/command  65.6% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  22.25 ms/frame  max 28.37 ms/command  67.8% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  21.54 ms/frame  max 31.37 ms/command  64.2% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 63 frames  23.05 ms/frame  max 36.09 ms/command  72.1% of wall  (n=126 command over 2.0s)
[virglrs] vrend video: 60 frames  22.89 ms/frame  max 28.41 ms/command  68.7% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  22.61 ms/frame  max 29.23 ms/command  68.8% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 65 frames  23.16 ms/frame  max 36.84 ms/command  75.2% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 65 frames  22.56 ms/frame  max 28.54 ms/command  73.2% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 61 frames  21.75 ms/frame  max 26.16 ms/command  66.2% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  21.44 ms/frame  max 29.62 ms/command  64.9% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  23.36 ms/frame  max 30.03 ms/command  70.7% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  22.72 ms/frame  max 31.63 ms/command  68.0% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 65 frames  22.00 ms/frame  max 32.50 ms/command  70.8% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 65 frames  22.97 ms/frame  max 29.12 ms/command  74.4% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 63 frames  22.47 ms/frame  max 30.12 ms/command  70.7% of wall  (n=126 command over 2.0s)
[virglrs] vrend video: 60 frames  22.96 ms/frame  max 29.25 ms/command  68.6% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 64 frames  23.51 ms/frame  max 30.82 ms/command  74.7% of wall  (n=128 command over 2.0s)
[virglrs] vrend video: 65 frames  23.03 ms/frame  max 33.23 ms/command  74.8% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 62 frames  23.01 ms/frame  max 31.84 ms/command  71.3% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 65 frames  22.73 ms/frame  max 30.23 ms/command  73.6% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 63 frames  23.45 ms/frame  max 31.30 ms/command  73.3% of wall  (n=126 command over 2.0s)
[virglrs] vrend video: 66 frames  22.82 ms/frame  max 38.08 ms/command  75.0% of wall  (n=132 command over 2.0s)
[virglrs] vrend video: 61 frames  22.27 ms/frame  max 26.81 ms/command  67.4% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 65 frames  23.21 ms/frame  max 33.17 ms/command  75.4% of wall  (n=130 command over 2.0s)
