ts,gfx_mb,gfx_regions,iosurface_mb,guest_blobs,guest_blob_mb,guest_fb,guest_clients
20:11:04,644,3299,311,79,594,5,14
20:11:19,644,3299,311,79,594,5,14
20:11:35,1365,7541,400,108,889,5,17
20:11:50,676,3098,311,81,603,5,14
20:12:05,676,3098,311,81,603,5,14
20:12:20,676,3098,311,82,611,5,14
20:12:36,914,4606,345,90,848,5,15
20:12:51,914,4609,345,90,848,5,15
20:13:06,912,4576,345,90,848,5,15
20:13:22,912,4576,345,90,848,5,15
20:13:37,912,4576,345,90,848,5,15
20:13:52,910,4575,345,90,848,5,15
20:14:07,912,4598,345,89,846,5,15
20:14:23,912,4598,345,89,846,5,15
20:14:38,912,4598,345,89,846,5,15
20:14:53,912,4598,345,89,846,5,15
20:15:09,910,4574,345,89,846,5,15
20:15:24,910,4574,345,89,846,5,15
20:15:39,910,4574,345,89,846,5,15
20:15:54,913,4577,345,89,846,5,15
20:16:10,912,4598,345,89,846,5,15
20:16:25,912,4598,345,89,846,5,15
20:16:40,912,4598,345,89,846,5,15
20:16:56,912,4598,345,89,846,5,15
20:17:11,910,4574,345,89,846,5,15
20:17:26,910,4574,345,89,846,5,15
20:17:41,910,4574,345,90,847,5,15
20:17:57,912,4576,345,91,849,5,15
20:18:12,914,4600,345,91,849,5,15
20:18:27,914,4600,345,91,849,5,15
20:18:43,914,4600,345,91,849,5,15
20:18:58,914,4600,345,91,849,5,15
20:19:13,912,4576,345,91,849,5,15
20:19:28,632,3198,311,80,606,5,14
20:19:44,640,3334,311,80,606,5,14
20:19:59,640,3334,311,80,606,5,14
20:20:14,642,3358,311,80,606,5,14
20:20:29,642,3358,311,80,606,5,14
20:20:45,642,3358,311,80,606,5,14
20:21:00,642,3358,311,80,606,5,14
20:21:15,640,3334,311,80,606,5,14
20:21:31,805,4297,333,89,701,5,15
20:21:46,751,3769,333,89,701,5,15
20:22:01,757,3796,333,89,701,5,15
20:22:16,636,3334,311,80,606,5,14
20:22:32,746,3756,333,90,709,5,15
20:22:47,746,3756,333,90,709,5,15
20:23:02,749,3782,333,90,709,5,15
20:23:17,744,3734,333,90,709,5,15
20:23:33,748,3766,333,90,709,5,15
20:23:48,748,3766,333,90,709,5,15
20:24:03,744,3653,333,89,701,5,15
20:24:18,744,3653,333,90,709,5,15
20:24:34,788,4189,333,88,699,5,15
20:24:49,744,3757,333,89,707,5,15
20:25:04,670,3688,311,92,721,5,15
20:25:19,746,3775,333,89,707,5,15
20:25:35,746,3774,333,89,707,5,15
20:25:50,746,3760,333,89,707,5,15
20:26:05,743,3736,333,89,707,5,15
20:26:20,743,3736,333,89,707,5,15
20:26:36,809,4385,333,88,699,5,15
20:26:51,774,4049,333,88,699,5,15
20:27:06,809,4385,333,88,699,5,15
20:27:22,745,3762,333,88,699,5,15
20:27:37,793,4191,333,88,699,5,15
20:27:52,747,3772,333,90,709,5,15
20:28:07,807,4275,333,89,701,5,15
20:28:23,743,3651,333,89,701,5,15
20:28:38,743,3651,333,89,701,5,15
20:28:53,743,3651,333,89,701,5,15
20:29:08,746,3675,333,89,701,5,15
20:29:24,927,4716,355,98,796,5,16
20:29:39,927,4716,355,98,796,5,16
20:29:54,882,4460,355,98,796,5,16
20:30:09,991,5378,330,92,845,5,15
20:30:25,923,4706,330,92,845,5,15
20:30:40,923,4706,330,92,845,5,15
