ts,gfx_mb,gfx_regions,iosurface_mb,guest_blobs,guest_blob_mb,guest_fb,guest_clients
20:23:52,748,3766,333,90,709,5,15
20:24:07,744,3653,333,90,709,5,15
20:24:22,747,3656,333,90,709,5,15
20:24:38,744,3757,333,89,707,5,15
20:24:53,744,3757,333,89,707,5,15
20:25:08,746,3772,333,88,699,5,15
20:25:23,746,3772,333,89,707,5,15
20:25:39,809,4384,333,88,699,5,15
20:25:54,746,3760,333,89,707,5,15
20:26:09,743,3736,333,89,707,5,15
20:26:24,809,4385,333,88,699,5,15
20:26:40,809,4385,333,88,699,5,15
20:26:55,774,4049,333,88,699,5,15
20:27:10,755,3858,333,88,699,5,15
20:27:25,745,3762,333,88,699,5,15
20:27:41,745,3756,333,89,707,5,15
20:27:56,747,3772,333,90,709,5,15
20:28:11,802,4227,333,89,701,5,15
20:28:26,743,3651,333,89,701,5,15
20:28:42,743,3651,333,89,701,5,15
20:28:57,743,3651,333,89,701,5,15
20:29:12,763,3843,333,89,701,5,15
20:29:28,927,4716,355,98,796,5,16
20:29:43,899,4569,355,98,796,5,16
20:29:58,871,4376,355,98,796,5,16
20:30:13,923,4706,330,92,845,5,15
20:30:29,923,4706,330,92,845,5,15
