ts,gfx_mb,gfx_regions,iosurface_mb,guest_blobs,guest_blob_mb,guest_fb,guest_clients
20:40:31,526,3654,285,44,257,6,6
20:40:47,526,3654,285,44,257,6,6
20:41:03,528,3678,285,44,257,6,6
20:41:19,528,3678,285,44,257,6,6
20:41:35,528,3678,285,44,257,6,6
20:41:51,528,3678,285,44,257,6,6
20:42:07,526,3654,285,44,257,6,6
20:42:23,526,3654,285,44,257,6,6
20:42:39,526,3654,285,44,257,6,6
20:42:55,526,3654,285,44,257,6,6
20:43:11,528,3678,285,44,257,6,6
20:43:27,528,3678,285,44,257,6,6
20:43:43,528,3678,285,44,257,6,6
20:43:59,528,3678,285,44,257,6,6
20:44:15,526,3654,285,44,257,6,6
20:44:31,526,3654,285,44,257,6,6
20:44:47,526,3654,285,44,257,6,6
20:45:03,528,3678,285,44,257,6,6
20:45:19,528,3678,285,44,257,6,6
20:45:35,528,3678,285,44,257,6,6
20:45:50,528,3678,285,44,257,6,6
20:46:06,526,3654,285,44,257,6,6
20:46:22,526,3654,285,44,257,6,6
20:46:38,526,3654,285,44,257,6,6
20:46:54,526,3654,285,44,257,6,6
20:47:10,528,3678,285,44,257,6,6
20:47:26,528,3678,285,44,257,6,6
20:47:42,528,3678,285,44,257,6,6
20:47:58,528,3678,285,44,257,6,6
20:48:14,532,3661,298,50,281,6,6
20:48:30,532,3661,298,50,281,6,6
20:48:46,532,3661,298,50,281,6,6
20:49:02,535,3685,298,50,281,6,6
20:49:18,535,3685,298,50,281,6,6
20:49:34,535,3685,298,50,281,6,6
20:49:50,535,3685,298,50,281,6,6
20:50:06,532,3661,298,50,281,6,6
20:50:22,532,3661,298,50,281,6,6
20:50:38,532,3661,298,50,281,6,6
20:50:54,532,3661,298,50,281,6,6
20:51:10,574,4059,298,65,314,6,9
20:51:26,574,4059,298,65,314,6,9
20:51:42,574,4059,298,65,314,6,9
20:51:58,574,4059,298,65,314,6,9
20:52:14,577,4083,298,65,314,6,9
20:52:30,577,4083,298,65,314,6,9
20:52:46,577,4083,298,65,314,6,9
20:53:02,574,4059,298,65,314,6,9
20:53:18,574,4059,298,65,314,6,9
20:53:34,574,4059,298,65,314,6,9
20:53:50,574,4059,298,65,314,6,9
20:54:06,577,4083,298,65,314,6,9
20:54:23,577,4083,298,65,314,6,9
20:54:38,577,4083,298,65,314,6,9
20:54:54,577,4083,298,65,314,6,9
20:55:10,574,4059,298,65,314,6,9
20:55:26,574,4059,298,65,314,6,9
20:55:42,574,4059,298,65,314,6,9
20:55:58,574,4059,298,65,314,6,9
20:56:14,532,3661,298,50,281,6,6
20:56:30,532,3661,298,50,281,6,6
20:56:46,532,3661,298,50,281,6,6
20:57:02,535,3685,298,50,281,6,6
20:57:18,535,3685,298,50,281,6,6
20:57:34,535,3685,298,50,281,6,6
20:57:51,535,3685,298,50,281,6,6
20:58:07,532,3661,298,50,281,6,6
20:58:23,572,4035,298,65,314,6,9
20:58:39,572,4035,298,65,314,6,9
20:58:55,532,3661,298,50,281,6,6
20:59:11,535,3685,298,50,281,6,6
20:59:27,535,3685,298,50,281,6,6
20:59:43,535,3685,298,50,281,6,6
20:59:59,574,4059,298,65,314,6,9
21:00:15,577,4083,298,65,314,6,9
21:00:31,532,3661,298,50,281,6,6
21:00:47,532,3661,298,50,281,6,6
21:01:03,535,3685,298,50,281,6,6
21:01:19,535,3685,298,50,281,6,6
21:01:34,574,4051,298,65,314,6,9
21:01:51,574,4058,298,65,314,6,9
21:02:06,577,4082,298,65,314,6,9
21:02:23,532,3661,298,50,281,6,6
21:02:39,532,3661,298,50,281,6,6
21:02:55,532,3661,298,50,281,6,6
21:03:10,568,3987,298,63,298,6,9
21:03:26,574,4059,298,65,314,6,9
21:03:42,574,4059,298,65,314,6,9
21:03:58,535,3685,298,50,281,6,6
21:04:14,532,3661,298,50,281,6,6
21:04:30,532,3661,298,50,281,6,6
21:04:46,532,3661,298,50,281,6,6
21:05:02,574,4059,298,65,314,6,9
21:05:18,574,4059,298,65,314,6,9
21:05:34,535,3685,298,50,281,6,6
21:05:50,535,3685,298,50,281,6,6
21:06:06,532,3661,298,50,281,6,6
21:06:22,532,3661,298,50,281,6,6
21:06:38,572,4035,298,65,314,6,9
21:06:54,572,4035,298,65,314,6,9
21:07:10,535,3685,298,50,281,6,6
21:07:26,535,3685,298,50,281,6,6
21:07:42,535,3685,298,50,281,6,6
21:07:58,535,3685,298,50,281,6,6
21:08:14,532,3661,298,50,281,6,6
21:08:30,532,3661,298,50,281,6,6
21:08:45,532,3661,298,50,281,6,6
21:09:02,535,3685,298,50,281,6,6
21:09:17,535,3685,298,50,281,6,6
21:09:34,535,3685,298,50,281,6,6
21:09:50,535,3685,298,50,281,6,6
21:10:06,532,3661,298,50,281,6,6
21:10:22,532,3661,298,50,281,6,6
21:10:38,532,3661,298,50,281,6,6
21:10:53,532,3661,298,50,281,6,6
21:11:09,535,3685,298,50,281,6,6
21:11:25,535,3685,298,50,281,6,6
21:11:41,535,3685,298,50,281,6,6
21:11:57,535,3685,298,50,281,6,6
