ts,gfx_mb,gfx_regions,iosurface_mb,guest_blobs,guest_blob_mb,guest_fb,guest_clients,footprint_mb,compressed_mb,balloon_mb,guest_free_mb
07:47:55,1765,7798,511,98,1061,5,16,9816,1544,18128,1120
07:48:11,1768,7822,511,98,1061,5,16,9834,1543,18128,1119
07:48:27,1768,7822,511,98,1061,5,16,9822,1543,18146,1109
07:48:43,1768,7822,511,98,1061,5,16,9825,1543,18146,1108
07:48:59,1768,7822,511,98,1061,5,16,9830,1543,18146,1103
07:49:15,1765,7798,511,98,1061,5,16,9827,1543,18146,1103
07:49:31,1765,7798,511,98,1061,5,16,9597,1543,18146,1102
07:49:46,1765,7798,511,98,1061,5,16,9811,1542,18146,1102
07:50:02,2177,10269,510,114,1086,5,19,11787,1536,17547,870
07:50:18,1997,8493,510,114,1086,5,19,11594,1535,17514,867
07:50:34,1997,8493,510,114,1086,5,19,11685,1535,17496,857
07:50:50,1997,8493,510,114,1086,5,19,11691,1535,17496,856
07:51:06,1990,8421,510,114,1086,5,19,11715,1535,17496,857
07:51:22,2328,11538,510,116,1096,5,19,12102,1537,17496,852
07:51:37,2043,8754,510,116,1096,5,19,11846,1537,17473,843
07:51:53,2043,8754,510,116,1096,5,19,11878,1537,17457,833
07:52:09,2042,8730,510,116,1096,5,19,11941,1537,17420,850
07:52:25,2042,8730,510,116,1096,5,19,11970,1536,17420,844
07:52:41,2042,8730,510,116,1096,5,19,12006,1535,17420,841
07:52:57,4067,39274,510,139,1225,5,19,15523,1665,17352,483
07:53:13,5302,38959,548,162,1299,5,19,16172,2430,16809,884
07:53:29,4934,35752,548,143,1257,5,19,15858,2418,16809,880
07:53:45,4918,35608,548,143,1255,5,19,15662,2402,17018,926
07:54:01,4303,38001,589,303,1837,5,19,14744,2383,17041,877
07:54:17,4727,33412,589,267,1593,5,19,16554,2321,16083,978
07:54:33,2912,12109,538,332,1675,5,19,14167,2298,16782,825
07:54:49,2998,12407,519,328,1649,5,19,14059,2292,16907,718
07:55:05,2900,11400,519,328,1649,5,19,13983,2289,16907,708
07:55:20,2900,11400,519,328,1649,5,19,13974,2289,16907,708
07:55:36,2900,11400,519,328,1649,5,19,13618,2288,17167,711
07:55:52,2900,11400,519,328,1649,5,19,13653,2287,17137,712
07:56:08,2888,11280,519,328,1649,5,19,13742,2284,17081,721
07:56:24,2888,11280,519,328,1649,5,19,13724,2283,17081,716
07:56:40,2888,11280,519,328,1649,5,19,13622,2283,17168,707
07:56:56,2888,11280,519,328,1649,5,19,13623,2282,17168,711
