ts,pid,ic_bal_g,ic_cred_g,ic_deb_g,int_bal_g,reus_bal_g,reus_cred_g,pf_g,stored_pages,occupied_pages,seg_total,seg_swapped,swap_used_mb
1786390383,1218,4.086,4.357,0.271,3.629,2.990,18.469,8.531,341786,199944,53589,0,0.00
1786390685,1218,4.064,5.400,1.336,6.580,1.601,19.971,11.730,753826,398654,118014,0,0.00
1786390985,1218,5.360,9.787,4.427,7.236,2.257,23.339,14.791,1166561,547262,156123,0,0.00
1786391285,1218,5.171,9.787,4.617,7.650,2.405,23.487,14.955,1046625,512640,156123,0,0.00
1786391585,1218,3.549,9.787,6.238,9.429,3.218,24.300,15.447,935781,452996,151493,0,0.00
1786391885,1218,2.785,10.710,7.925,7.208,9.955,34.289,12.404,1134711,494503,146043,0,0.00
1786392186,1218,2.925,11.032,8.107,6.962,10.108,35.548,12.309,1147638,500976,151428,0,0.00
1786392486,1218,3.370,11.561,8.191,7.634,9.704,36.171,13.430,1151041,497755,149476,0,0.00
1786392786,1218,9.261,20.262,11.000,6.759,9.345,53.425,18.440,1528214,709664,202785,0,0.00
1786393086,1218,7.560,21.036,13.476,8.053,9.644,58.187,18.024,1465411,632820,174781,0,0.00
1786393386,1218,7.789,22.233,14.444,7.262,9.620,67.280,17.455,1459180,630135,175141,0,0.00
1786393686,1218,12.800,37.045,24.245,4.600,11.423,89.808,19.802,1772859,791931,223931,0,0.00
1786393986,1218,11.606,37.773,26.167,4.956,8.920,91.197,19.110,1509444,697322,198040,0,0.00
1786394288,1218,11.407,37.875,26.468,5.176,7.681,91.240,19.207,1442549,666545,191337,0,0.00
1786394588,1218,11.290,37.895,26.605,5.310,7.436,91.248,19.009,1390915,648707,186553,0,0.00
1786394888,1218,6.074,38.913,32.839,7.470,8.426,107.368,16.188,1104189,496450,147678,0,0.00
1786395188,1218,5.649,39.029,33.380,7.484,8.046,109.015,16.408,1108615,475868,148406,0,0.00
1786395488,1218,5.710,39.215,33.505,7.322,7.365,109.357,16.511,1120390,479323,149983,0,0.00
1786395788,1218,5.453,39.230,33.777,7.278,7.730,109.795,16.340,1081277,463338,150286,0,0.00
1786396088,1218,4.976,39.449,34.473,6.798,11.083,116.458,15.006,1167140,465696,127751,0,0.00
1786396388,1218,4.953,39.478,34.525,6.722,10.676,116.778,14.908,1136116,456693,128376,0,0.00
1786396688,1218,4.904,39.483,34.579,6.670,10.774,116.996,14.808,1127340,453308,128637,0,0.00
1786396988,1218,4.932,39.514,34.582,6.707,10.481,117.005,14.874,1118146,450732,129221,0,0.00
1786397288,1218,5.027,39.616,34.589,6.745,9.842,117.130,15.050,1113602,449211,129874,0,0.00
1786397588,1218,5.020,39.616,34.596,6.796,9.853,117.141,15.052,1104811,447388,129874,0,0.00
1786397890,1218,5.160,39.760,34.599,6.848,9.484,117.143,15.243,1107385,449977,130863,0,0.00
1786398190,1218,5.158,39.760,34.601,6.799,9.542,117.201,15.185,1104742,448941,130863,0,0.00
1786398490,1218,5.323,39.985,34.662,6.976,8.388,117.360,15.983,1079252,452909,134235,0,0.00
1786398790,1218,5.403,40.086,34.683,7.038,8.160,117.380,16.110,1057294,453876,135249,0,0.00
1786399090,1218,5.609,40.296,34.686,7.060,7.808,117.399,16.552,1071122,460926,137481,0,0.00
1786399391,1218,5.592,40.326,34.734,7.013,7.909,117.550,16.477,1070336,459545,138542,0,0.00
1786399691,1218,5.594,40.331,34.738,7.004,7.907,117.562,16.470,1067355,458269,139005,0,0.00
1786399991,1218,5.900,40.640,34.741,6.935,7.547,117.571,16.707,1093897,472902,147321,0,0.00
1786400291,1218,5.896,40.640,34.744,6.932,7.555,117.579,16.693,1085328,468524,147321,0,0.00
1786400591,1218,5.898,40.647,34.749,6.923,7.568,117.592,16.689,1089041,468422,148087,0,0.00
1786400891,1218,5.898,40.650,34.752,6.927,7.573,117.598,16.483,1081680,463725,149417,0,0.00
