ts,gfx_mb,gfx_regions,iosurface_mb,guest_blobs,guest_blob_mb,guest_fb,guest_clients,footprint_mb,compressed_mb,balloon_mb,guest_free_mb
09:04:43,603,3055,283,58,540,5,11,15567,1310,13691,3188
09:05:14,606,3079,283,58,540,5,11,15457,1299,13691,3105
09:05:45,606,3079,283,58,540,5,11,15466,1297,13691,3100
09:06:16,603,3057,283,58,540,5,11,15489,1297,13691,3100
09:06:47,603,3057,283,58,540,5,11,15467,1296,13691,3095
09:07:18,606,3081,283,58,540,5,11,15474,1421,13691,3091
09:07:49,606,3082,283,58,540,5,11,13162,2240,15483,1341
09:08:20,608,3106,283,58,540,5,11,11927,2276,16507,666
09:08:52,608,3106,283,58,540,5,11,11928,2274,16507,661
09:09:23,606,3082,283,58,540,5,11,11922,2273,16507,658
09:09:54,606,3082,283,58,540,5,11,11923,2273,16507,657
09:10:24,608,3106,283,58,540,5,11,11934,2430,16507,661
09:10:55,608,3106,283,58,540,5,11,11935,2429,16507,660
09:11:26,606,3082,283,58,540,5,11,11931,2606,16507,661
09:11:57,606,3082,283,58,540,5,11,11959,2603,16507,665
09:12:28,608,3106,283,58,540,5,11,11941,3369,16507,661
09:12:59,608,3106,283,58,540,5,11,11942,3360,16507,713
09:13:30,608,3154,283,58,540,5,11,11943,3358,16507,713
09:14:01,612,3229,283,58,540,5,11,11934,3357,16507,713
09:14:32,565,3198,283,58,540,5,11,11921,3348,16507,663
09:15:03,563,3174,283,58,540,5,11,11925,3348,16507,669
09:15:34,563,3174,283,58,540,5,11,11922,3341,16507,662
09:16:05,565,3198,283,58,540,5,11,11925,3339,16507,657
09:16:36,565,3198,283,58,540,5,11,11927,3338,16507,660
09:17:06,563,3174,283,58,540,5,11,11925,3337,16507,661
09:17:37,563,3174,283,58,540,5,11,11926,3336,16507,654
09:18:08,565,3198,283,58,540,5,11,11930,3333,16507,652
09:18:39,719,4046,305,67,635,5,12,12126,3318,16507,634
09:19:10,727,4297,305,68,643,5,12,11950,2962,16763,605
09:19:41,727,4297,305,68,643,5,12,11928,3236,16763,603
09:20:12,727,4297,305,68,643,5,12,11954,3224,16763,587
09:20:43,727,4297,305,68,643,5,12,11972,3223,16763,589
09:21:14,727,4297,305,68,643,5,12,11971,3222,16763,587
09:21:45,580,3219,283,59,546,5,11,11787,3201,16763,596
09:22:16,577,3195,283,59,546,5,11,11789,4365,16763,601
09:22:47,577,3195,283,59,546,5,11,11792,4365,16763,592
09:23:20,4,12,12,,,,,11379,4237,17019,588
09:23:51,938,4942,304,41,512,5,8,10056,2257,18355,855
09:24:22,1145,6073,339,43,513,5,13,11355,2050,18056,591
09:24:53,1235,6461,325,42,527,5,8,11461,2037,17998,1031
