i,target_us,queued_us,actual_us,headroom_us,missed
0,318430604,318424019,318430370,6585,0
1,318447038,318438442,318447039,8596,0
2,318480375,318477990,318480376,2385,0
3,318497044,318487349,318497044,9695,0
4,318513712,318504029,318513712,9683,0
5,318530380,318521640,318530381,8740,0
6,318547049,318537330,318547049,9719,0
7,318563717,318554924,318563717,8793,0
8,318597053,318591308,318597054,5745,0
9,318613722,318605567,318613722,8155,0
10,318630390,318620544,318630391,9846,0
11,318647059,318638530,318647059,8529,0
12,318663727,318655034,318663727,8693,0
13,318697063,318688495,318697064,8568,0
14,318730400,318722143,318730401,8257,0
15,318747069,318739467,318747069,7602,0
16,318763737,318754083,318763737,9654,0
17,318780405,318772940,318780406,7465,0
18,318813742,318808772,318813742,4970,0
19,318847078,318842423,318847079,4655,0
20,318863747,318854541,318863747,9206,0
21,318897083,318894592,318897084,2491,0
22,318913752,318905012,318913752,8740,0
23,318930420,318922185,318930421,8235,0
24,318947089,318938640,318947089,8449,0
25,318963757,318954976,318963757,8781,0
26,318980425,318972227,318980426,8198,0
27,318997094,318988637,318997094,8457,0
28,319013762,319005059,319013762,8703,0
29,319047098,319042897,319047099,4201,0
30,319080435,319078240,319080436,2195,0
31,319097104,319087195,319097104,9909,0
32,319113772,319104094,319113772,9678,0
33,319130440,319120625,322680797,9815,213
34,322697465,322688586,322697465,8879,0
35,322730801,322728626,322730802,2175,0
36,322747470,322737720,322747470,9750,0
37,322764138,322754776,322764139,9362,0
38,322780807,322771266,322780807,9541,0
39,322797475,322788073,322797475,9402,0
40,322814143,322804295,322814144,9848,0
41,322830812,322821191,322830812,9621,0
42,322847480,322837690,322847480,9790,0
43,322864148,322854497,322864149,9651,0
44,322880817,322871269,322880817,9548,0
45,322897485,322887653,322897485,9832,0
46,322914153,322904447,322914154,9706,0
47,322930822,322921269,322930822,9553,0
48,322947490,322938757,322947490,8733,0
49,322964158,322954312,322964159,9846,0
50,322980827,322971235,322980827,9592,0
51,322997495,322987751,322997495,9744,0
52,323014163,323004501,323014164,9662,0
53,323030832,323023754,323030832,7078,0
54,323064168,323058145,323064169,6023,0
55,323097505,323094413,323097505,3092,0
56,323114173,323104257,323114174,9916,0
