i,target_us,queued_us,actual_us,headroom_us,missed
0,384089573,384089920,384086958,-347,0
1,385120395,385120566,385120395,-171,0
2,386137163,386132324,386137164,4839,0
3,387153932,387149682,387153932,4250,0
4,388187369,388182794,388187369,4575,0
5,389204137,389199187,389204138,4950,0
6,390220906,390218013,390220907,2893,0
7,391237675,391232843,391237675,4832,0
8,392271112,392270778,392271112,334,0
9,393304549,393301628,393304549,2921,0
10,394321317,394318019,394321318,3298,0
11,395338086,395336213,395338087,1873,0
12,396371524,396373874,396388192,-2350,1
13,397404960,397401474,397404961,3486,0
14,398421729,398417329,398421729,4400,0
15,399455166,399456521,399455166,-1355,0
16,400488603,400484973,400488603,3630,0
17,401522040,401519172,401522040,2868,0
18,402555477,402550826,402555477,4651,0
19,403572245,403567410,403572246,4835,0
20,404589014,404588083,404589015,931,0
21,405622452,405618518,405622452,3934,0
22,406655889,406653792,406655889,2097,0
23,407672657,407670258,407672657,2399,0
24,408689425,408687352,408689426,2073,0
25,409706194,409703214,409706195,2980,0
26,410739632,410739410,410739632,222,0
27,411756400,411752827,411756401,3573,0
28,412789838,412789119,412789838,719,0
29,413806606,413802529,413806606,4077,0
30,414840043,414837482,414840043,2561,0
31,415856811,415853529,415856812,3282,0
32,416873580,416870396,416873581,3184,0
33,417907018,417904663,417907018,2355,0
34,418923786,418919407,418923786,4379,0
35,419940554,419935941,419940555,4613,0
36,420957323,420953398,420957324,3925,0
37,421990761,421986708,421990761,4053,0
38,423024198,423020176,423024198,4022,0
39,424040966,424037959,424040966,3007,0
40,425057734,425054044,425057735,3690,0
41,426091172,426086957,426091172,4215,0
42,427124609,427121567,427124609,3042,0
43,428141377,428139421,428141378,1956,0
44,429158146,429153648,429158146,4498,0
45,430174914,430173021,430174915,1893,0
46,431191683,431188630,431191684,3053,0
47,432208452,432203590,432208453,4862,0
48,433241890,433237753,433241890,4137,0
49,434258658,434257386,434258658,1272,0
50,435292095,435291937,435292095,158,0
51,436308863,436304763,436308864,4100,0
52,437342301,437344612,437358969,-2311,1
53,438375737,438374372,438375738,1365,0
54,439392506,439387707,439392507,4799,0
55,440409275,440404886,440409275,4389,0
56,441426043,441423080,441426044,2963,0
57,442442812,442438859,442442813,3953,0
58,443476250,443472420,443476250,3830,0
59,444493018,444488664,444493018,4354,0
