# mode=cont n=300 gap=6.0s card=/dev/dri/card0
seq,vbl_us,ret_us
5269,89042012,89042241
5270,89058681,89058843
5271,89075349,89077946
5272,89092017,89095276
5273,89108686,89111165
5274,89125354,89128690
5275,89142022,89145425
5276,89158691,89162093
5277,89175359,89176516
5278,89192027,89193129
5279,89208696,89209077
5280,89225364,89226509
5281,89242032,89246036
5282,89258701,89261151
5283,89275369,89276477
5284,89292037,89295992
5285,89308706,89311967
5286,89325374,89328821
5287,89342042,89342243
5288,89358711,89362150
5289,89375379,89375762
5290,89392047,89395120
5291,89408716,89412206
5292,89425384,89426624
5293,89442052,89446015
5294,89458721,89460019
5295,89475389,89479363
5296,89492057,89495387
5297,89508726,89510395
5298,89525394,89527390
5299,89542062,89543862
5300,89558731,89562534
5301,89575399,89579423
5302,89592068,89595222
5303,89608736,89612302
5304,89625404,89631310
5305,89642073,89643249
5306,89658741,89662795
5307,89675409,89677219
5308,89692078,89693494
5309,89708746,89711966
5310,89725414,89728099
5311,89742083,89743778
5312,89758751,89759888
5313,89775419,89777263
5314,89792088,89794784
5315,89808756,89810035
5316,89825424,89827169
5317,89842093,89844283
5318,89858761,89859361
5319,89875429,89878084
5320,89892098,89895093
5321,89908766,89909137
5322,89925434,89927131
5323,89942103,89943326
5324,89958771,89960936
5325,89975439,89976792
5326,89992108,89992480
5327,90008776,90009998
5328,90025444,90027490
5329,90042113,90042830
5330,90058781,90061817
5331,90075449,90078815
5332,90092118,90092981
5333,90108786,90110523
5334,90125454,90126901
5335,90142123,90143060
5336,90158791,90159389
5337,90175459,90177651
5338,90192128,90193534
5339,90208796,90210678
5340,90225464,90228836
5341,90242133,90243671
5342,90258801,90259029
5343,90275469,90278036
5344,90292138,90293862
5345,90308806,90312261
5346,90325474,90327245
5347,90342143,90342821
5348,90358811,90360031
5349,90375479,90376470
5350,90392148,90394109
5351,90408816,90409789
5352,90425484,90427476
5353,90442153,90444186
5354,90458821,90459224
5355,90475489,90476146
5356,90492158,90496382
5357,90508826,90509264
5358,90525494,90526542
5359,90542163,90544671
5360,90558831,90560244
5361,90575500,90577392
5362,90592168,90592238
5363,90608836,90609037
5364,90625505,90626362
5365,90642173,90642342
5366,90658841,90659311
5367,90675510,90676064
5368,90692178,90695278
5369,90708846,90712122
5370,90725515,90726168
5371,90742183,90746303
5372,90758851,90760442
5373,90775520,90776277
5374,90792188,90793208
5375,90808856,90812757
5376,90825525,90826612
5377,90842193,90844689
5378,90858861,90861425
5379,90875530,90879243
5380,90892198,90892352
5381,90908866,90910735
5382,90925535,90927049
5383,90942203,90942299
5384,90958871,90958929
5385,90975540,90976670
5386,90992208,90992231
5387,91008876,91009063
5388,91025545,91029443
5389,91042213,91043112
5390,91058881,91059871
5391,91075550,91079539
5392,91092218,91093277
5393,91108886,91109913
5394,91125555,91127247
5395,91142223,91143078
5396,91158891,91160210
5397,91175560,91176586
5398,91192228,91192402
5399,91208896,91210891
5400,91225565,91228176
5401,91242233,91242560
5402,91258901,91260153
5403,91275570,91275823
5404,91292238,91293311
5405,91308906,91309829
5406,91325575,91328256
5407,91342243,91342314
5408,91358911,91360829
5409,91375580,91379361
5410,91392248,91393213
5411,91408916,91409683
5412,91425585,91429439
5413,91442253,91445782
5414,91458921,91463582
5415,91475590,91476356
5416,91492258,91493088
5417,91508926,91509851
5418,91525595,91525813
5419,91542263,91544017
5420,91558932,91560216
5421,91575600,91578427
5422,91592268,91595130
5423,91608937,91612505
5424,91625605,91628718
5425,91642273,91642996
5426,91658942,91660912
5427,91675610,91678914
5428,91692278,91693419
5429,91708947,91710392
5430,91725615,91727140
5431,91742283,91742585
5432,91758952,91759035
5433,91775620,91775681
5434,91792288,91792346
5435,91808957,91809254
5436,91825625,91826610
5437,91842293,91843868
5438,91858962,91862796
5439,91875630,91878680
5440,91892298,91895833
5441,91908967,91910640
5442,91925635,91929562
5443,91942303,91945059
5444,91958972,91961520
5445,91975640,91978458
5446,91992308,91995741
5447,92008977,92011255
5448,92025645,92025733
5449,92042313,92042377
5450,92058982,92059239
5451,92075650,92075805
5452,92092318,92093684
5453,92108987,92112422
5454,92125655,92128121
5455,92142323,92146055
5456,92158992,92162053
5457,92175660,92176895
5458,92192328,92194766
5459,92208997,92210379
5460,92225665,92228058
5461,92242333,92246034
5462,92259002,92260967
5463,92275670,92276842
5464,92292338,92296245
5465,92309007,92309395
5466,92325675,92326038
5467,92342343,92342399
5468,92359012,92359502
5469,92375680,92375731
5470,92392348,92392396
5471,92409017,92409115
5472,92425685,92425735
5473,92442353,92442412
5474,92459022,92459090
5475,92475690,92475747
5476,92492358,92492437
5477,92509027,92509095
5478,92525695,92525877
5479,92542364,92542429
5480,92559032,92559101
5481,92575700,92575765
5482,92592369,92592415
5483,92609037,92609085
5484,92625705,92625769
5485,92642374,92642426
5486,92659042,92659107
5487,92675710,92675786
5488,92692379,92692449
5489,92709047,92709097
5490,92725715,92725767
5491,92742384,92742451
5492,92759052,92759103
5493,92775720,92775776
5494,92792389,92792441
5495,92809057,92809122
5496,92825725,92825804
5497,92842394,92842447
5498,92859062,92859119
5499,92875730,92875841
5500,92892399,92892472
5501,92909067,92909126
5502,92925735,92925793
5503,92942404,92942440
5504,92959072,92959124
5505,92975740,92975811
5506,92992409,92992433
5507,93009077,93009117
5508,93025745,93025801
5509,93042414,93042469
5510,93059082,93059138
5511,93075750,93075814
5512,93092419,93092494
5513,93109087,93109140
5514,93125755,93125808
5515,93142424,93142471
5516,93159092,93159145
5517,93175760,93175812
5518,93192429,93192477
5519,93209097,93209151
5520,93225765,93225823
5521,93242434,93242495
5522,93259102,93259163
5523,93275770,93275828
5524,93292439,93292502
5525,93309107,93309178
5526,93325775,93325850
5527,93342444,93342531
5528,93359112,93359166
5529,93375780,93375832
5530,93392449,93392503
5531,93409117,93409174
5532,93425785,93425840
5533,93442454,93442511
5534,93459122,93459202
5535,93475790,93475850
5536,93492459,93492517
5537,93509127,93509171
5538,93525796,93525861
5539,93542464,93542529
5540,93559132,93559171
5541,93575801,93575853
5542,93592469,93592529
5543,93609137,93609171
5544,93625806,93625869
5545,93642474,93642525
5546,93659142,93659234
5547,93675811,93675871
5548,93692479,93692538
5549,93709147,93709195
5550,93725816,93725876
5551,93742484,93742537
5552,93759152,93759215
5553,93775821,93775904
5554,93792489,93792543
5555,93809157,93809199
5556,93825826,93825879
5557,93842494,93842542
