# mode=gap n=20 gap=1.0s card=/dev/dri/card0
seq,vbl_us,ret_us
6264,105627010,105627238
6325,106643778,106646511
6386,107660547,107661057
6447,108677316,108678074
6507,109677416,109679203
6568,110694185,110694509
6628,111694285,111697170
6689,112711054,112711484
6750,113727822,113730722
6811,114744591,114746696
6872,115761360,115764823
6933,116778128,116780221
6994,117794897,117796922
7055,118811666,118815454
7116,119828434,119830502
7177,120845203,120852027
7238,121861972,121865300
7299,122878740,122882841
7360,123895509,123900039
7421,124912278,124914197
