REAL=1788175820.461405 MONO=1381.344667 RAW=1381.138745 BOOT=1512.006069
REAL=1788175820.481549 MONO=1381.364808 RAW=1381.158891 BOOT=1512.026211
REAL=1788175820.501687 MONO=1381.384945 RAW=1381.179032 BOOT=1512.046348
REAL=1788175820.521823 MONO=1381.405083 RAW=1381.199173 BOOT=1512.066485
REAL=1788175820.541949 MONO=1381.425206 RAW=1381.219300 BOOT=1512.086608
REAL=1788175820.562073 MONO=1381.445331 RAW=1381.239428 BOOT=1512.106733
REAL=1788175820.582227 MONO=1381.465485 RAW=1381.259587 BOOT=1512.126889
REAL=1788175820.602346 MONO=1381.485604 RAW=1381.279709 BOOT=1512.147006
REAL=1788175820.622464 MONO=1381.505722 RAW=1381.299830 BOOT=1512.167124
REAL=1788175820.642576 MONO=1381.525832 RAW=1381.319944 BOOT=1512.187234
REAL=1788175820.662682 MONO=1381.545937 RAW=1381.340053 BOOT=1512.207339
REAL=1788175820.682802 MONO=1381.566059 RAW=1381.360179 BOOT=1512.227461
REAL=1788175820.702939 MONO=1381.586197 RAW=1381.380320 BOOT=1512.247599
REAL=1788175820.723051 MONO=1381.606308 RAW=1381.400435 BOOT=1512.267710
REAL=1788175820.743167 MONO=1381.626422 RAW=1381.420554 BOOT=1512.287824
REAL=1788175820.763264 MONO=1381.646520 RAW=1381.440655 BOOT=1512.307922
REAL=1788175820.783370 MONO=1381.666625 RAW=1381.460764 BOOT=1512.328027
REAL=1788175820.803466 MONO=1381.686721 RAW=1381.480864 BOOT=1512.348123
REAL=1788175820.823572 MONO=1381.706828 RAW=1381.500975 BOOT=1512.368230
REAL=1788175820.843706 MONO=1381.726968 RAW=1381.521119 BOOT=1512.388370
REAL=1788175820.863868 MONO=1381.747126 RAW=1381.541280 BOOT=1512.408528
REAL=1788175820.884019 MONO=1381.767277 RAW=1381.561436 BOOT=1512.428680
REAL=1788175820.904135 MONO=1381.787390 RAW=1381.581552 BOOT=1512.448792
REAL=1788175820.924240 MONO=1381.807495 RAW=1381.601660 BOOT=1512.468897
REAL=1788175820.944347 MONO=1381.827605 RAW=1381.621775 BOOT=1512.489007
REAL=1788175820.964469 MONO=1381.847726 RAW=1381.641900 BOOT=1512.509129
REAL=1788175820.984598 MONO=1381.867855 RAW=1381.662032 BOOT=1512.529258
REAL=1788175821.004735 MONO=1381.887991 RAW=1381.682173 BOOT=1512.549394
REAL=1788175821.024911 MONO=1381.908172 RAW=1381.702357 BOOT=1512.569575
REAL=1788175821.045043 MONO=1381.928301 RAW=1381.722490 BOOT=1512.589704
