[2026-08-31T11:21:14.640562Z INFO  limina_vmm::power] host sleep: registered (guest will s2idle around host sleep)
[2026-08-31T11:21:14.651380Z INFO  krun_devices::virtio::gpu::device] virtio_gpu: holding DRIVER_OK for the staged snapshot replay
[2026-08-31T11:21:16.455966Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=270 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456093Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=290 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456223Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=110679 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456234Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=130807 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456237Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=130822 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456241Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=130960 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456246Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=131028 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456249Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=131080 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456253Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=131129 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456257Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=131443 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456262Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=131458 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456265Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=132055 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456269Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=132062 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456274Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=132344 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456278Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=132351 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456281Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=132548 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456284Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=132555 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456288Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=132752 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456291Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=132759 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456295Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=132957 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456298Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=132964 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456302Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=133162 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456305Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=133169 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456308Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=133391 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456312Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=133398 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456315Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=133593 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456319Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=133600 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456322Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=133795 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456326Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=133802 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456330Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=133997 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456334Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=134004 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456337Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=134200 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456341Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=134207 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456344Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=134403 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456350Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=134410 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456353Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=134605 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456357Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=134612 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456361Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=134807 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456364Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=134814 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456368Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=135009 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456372Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=135016 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456375Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=135211 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456379Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=135218 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456383Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=135414 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456386Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=135421 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456390Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=135617 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456394Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=135624 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456397Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=135819 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456401Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=135826 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456404Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=136022 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456408Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=136029 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456412Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=136224 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456415Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=136231 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456419Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=136426 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456422Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=136433 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456426Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=136629 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456430Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=136636 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456434Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=136832 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456438Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=136839 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456441Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=137034 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456445Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=137041 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456450Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=137236 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456454Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=137243 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456457Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=137438 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456461Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=137445 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456464Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=137640 klass=6 cmd=1 ring=0x0 size=28
[2026-08-31T11:21:16.456468Z WARN  krun_devices::virtio::gpu::virtio_gpu] gpu restore: dropped LOAD-BEARING ring entry ctx=6 seq=137647 klass=6 cmd=1 ring=0x0 size=28
