# Controlled A/B on the dogfood VM, 2026-08-07. Phase A (4K wallpaper) starts at
# epoch 1786071776; Phase B (solid colour) starts at 1786072084. Columns:
# ts,rss_kb,phys_footprint,vm_regions,ownunmap_size,ownunmap_regions,fds

ts,rss_kb,phys_footprint,vm_regions,ownunmap_size,ownunmap_regions,fds
1786071726,17643440,8.5G,3519,23.2M,70,280
1786071744,17657776,8.5G,3459,17.1M,21,280
1786071760,18040976,8.5G,3462,17.1M,21,280
1786071778,17029056,8.4G,3462,17.1M,21,280
1786071795,16742112,8.0G,3462,17.1M,21,280
1786071812,15068992,9.2G,5935,296.2M,187,366
1786071829,15104416,9.7G,8610,86.3M,204,414
1786071846,13041440,9.9G,8741,227.0M,197,424
1786071867,13036880,9.5G,8632,241.9M,118,416
1786071885,13037056,9.5G,8632,241.9M,118,416
1786071902,13063104,9.8G,9396,232.2M,176,416
1786071919,13068480,9.7G,9291,280.9M,117,416
1786071939,13069024,9.7G,9291,280.9M,117,416
1786071956,13132448,9.6G,9291,280.9M,117,416
1786071973,13132624,9.6G,9291,280.9M,117,416
1786071991,13132640,9.6G,9291,280.9M,117,416
1786072008,13136096,9.6G,9291,280.9M,117,416
1786072025,13254256,10.2G,12124,259.5M,190,416
1786072042,13616496,9.9G,12195,238.2M,181,416
1786072059,13557072,9.7G,12251,239.3M,190,416
1786072076,13549040,9.8G,12302,322.5M,231,418
1786072093,13555216,10.0G,12252,282.2M,181,418
1786072113,13560896,10.2G,12347,449.8M,236,418
1786072130,13568128,10.0G,12344,277.7M,232,418
1786072148,13604304,10.0G,12696,229.0M,247,420
1786072165,13606000,9.7G,12532,214.6M,132,420
1786072185,13606208,9.7G,12596,220.7M,181,420
1786072202,13656880,9.8G,12605,220.7M,181,420
1786072220,13792432,9.6G,12532,214.6M,132,420
1786072240,13802208,9.3G,12532,214.6M,132,420
1786072257,13820016,9.3G,12532,214.6M,132,420
1786072274,13821520,9.3G,12532,214.6M,132,420
1786072291,13821584,9.3G,12532,214.6M,132,420
1786072309,13821616,9.3G,12532,214.6M,132,420
1786072326,13821616,9.3G,12594,220.7M,181,420
1786072343,13837056,9.6G,13218,221.8M,190,420
# done 1786072360
